date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150902|0:15|21|Andrew D'Souza |none|3|Mario Rodrigo Gutierrez Samayoa|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:15|21|Andrew D'Souza |none|11|Mario Rodrigo Gutierrez Samayoa|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:25|21|Mauricio Casillas|none|13|Ivan Rodrigo Leon Garcia|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:25|21|Mauricio Casillas|none|15|Ivan Rodrigo Leon Garcia|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:25|21|Kari Gunnarsson |none|12|Christopher Alexander Martinez Salvador|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:25|21|Kari Gunnarsson |none|11|Christopher Alexander Martinez Salvador|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:13|21|Brandon Samayoa|none|8|Luis Bernal|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:13|21|Brandon Samayoa|none|6|Luis Bernal|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Arturo Hernandez |none|4|Victor Hugo Del Valle|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Arturo Hernandez |none|7|Victor Hugo Del Valle|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:17|21|Umana Ruiz Mario|none|13|Guardado Jassiel|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:17|21|Umana Ruiz Mario|none|6|Guardado Jassiel|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Bastian Andree Lizama |none|13|Raul Anguiano|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Bastian Andree Lizama |none|18|Raul Anguiano|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Jose Espnoza|none|6|Renzo Osorio|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|12|Jose Espnoza|none|21|Renzo Osorio|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:23|21|Jose Espnoza|none|7|Renzo Osorio|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:24|21|Niks Podosinoviks|none|8|Carlos Daniel Albanes Cordon|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:24|21|Niks Podosinoviks|none|14|Carlos Daniel Albanes Cordon|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:19|21|B. R. Sankeerth |none|8|Antonio Esteban Ortiz|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:19|21|B. R. Sankeerth |none|6|Antonio Esteban Ortiz|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:20|21|Timothy Lam|none|4|Jose Luis Granados Morales|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:20|21|Timothy Lam|none|8|Jose Luis Granados Morales|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:17|21|Ruben Castellanos |none|6|Carlos Rodriguez|none|6F044D75-C09F-4849-8394-7175021448CB|singles
20150902|0:17|21|Ruben Castellanos |none|7|Carlos Rodriguez|none|6F044D75-C09F-4849-8394-7175021448CB|singles
