date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181130|0:24|21|Robby Bronselaer|Caroline Racloz|10|Jose Miguel Rodriguez|Albin Fatima|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:24|21|Robby Bronselaer|Caroline Racloz|16|Jose Miguel Rodriguez|Albin Fatima|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:27|21|Nicolas Hoareau|Laeticia Jaffrennou|13|Hugo Fernandes|Ana Marques|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:27|21|Nicolas Hoareau|Laeticia Jaffrennou|13|Hugo Fernandes|Ana Marques|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:20|21|Elie Bime|Eva Segal|9|Rodrigo Dias|Joana T. Santos|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:20|21|Elie Bime|Eva Segal|19|Rodrigo Dias|Joana T. Santos|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:18|21|Adam Mcallister |Rachael Woods|10|Miguel Carvalho|Filipa A. Pinto|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:18|21|Adam Mcallister |Rachael Woods|6|Miguel Carvalho|Filipa A. Pinto|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:12|21|Simon Koellemann|Judith Mair|9|Francisco Marreiros|Nadia Oliveira|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:12|21|Simon Koellemann|Judith Mair|6|Francisco Marreiros|Nadia Oliveira|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:33|10|Enrique Rodriguez|Andrea Ibañez|21|David Duarte|Mariana Afonso|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:33|21|Enrique Rodriguez|Andrea Ibañez|13|David Duarte|Mariana Afonso|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:33|21|Enrique Rodriguez|Andrea Ibañez|19|David Duarte|Mariana Afonso|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:15|21|Yann Orteu|Julie Franconville|10|Diogo R. Dias|Catarina G. Silva|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:15|21|Yann Orteu|Julie Franconville|3|Diogo R. Dias|Catarina G. Silva|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130||Walkover Win|Pedro Rocha|Ana Cruz|Walkover Loss|Enogat Roy|Alison Drouard|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:25|21|Enrico Baroni|Chiara Passeri|14|Rafael Javier Vilaplana|Ainoa Cuervas|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:25|21|Enrico Baroni|Chiara Passeri|16|Rafael Javier Vilaplana|Ainoa Cuervas|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:22|21|Gabriel Rodrigues|Chloé Segrestan|10|Martins Pedro F.|Margarida L. Eduardo|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:22|21|Gabriel Rodrigues|Chloé Segrestan|11|Martins Pedro F.|Margarida L. Eduardo|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:42|23|Rodrigo Almeida|Mariana Neves|21|Calle Fredholm [3]|Martina Corsini|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:42|6|Rodrigo Almeida|Mariana Neves|21|Calle Fredholm [3]|Martina Corsini|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:42|22|Rodrigo Almeida|Mariana Neves|20|Calle Fredholm [3]|Martina Corsini|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:29|21|Alejandro De Pablo|Elena Lorenzo|13|Tomas Coelho|Ines Pardilho|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
20181130|0:29|24|Alejandro De Pablo|Elena Lorenzo|22|Tomas Coelho|Ines Pardilho|723700DC-0A01-4A28-8D35-823DCBFE8CD4|doubles
