date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170213|0:23|21|Huaidong Tang|none|18|Joey Santino|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Huaidong Tang|none|13|Joey Santino|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:16|21|Dylan Soedjasa|none|11|Yohan De Geoffroy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:16|21|Dylan Soedjasa|none|3|Yohan De Geoffroy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:17|21|Niccolo Tagle|none|17|Jeremy Lemaitre|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:17|21|Niccolo Tagle|none|11|Jeremy Lemaitre|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:22|21|Jacob Schueler|none|13|Carl Nguela|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:22|21|Jacob Schueler|none|10|Carl Nguela|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Daxxon Vong|none|11|Morgan Paitio|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Daxxon Vong|none|8|Morgan Paitio|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Daniel Fan|none|15|Arnaud Franzi|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Daniel Fan|none|6|Arnaud Franzi|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Tiffany Ho|none|5|Cecilia Moussy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Tiffany Ho|none|1|Cecilia Moussy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:24|21|Dhanny Oud|Jasmin Chung Man Ng|16|Anthony Joe [2]|Joy Lai|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:24|21|Dhanny Oud|Jasmin Chung Man Ng|17|Anthony Joe [2]|Joy Lai|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:15|21|Pit Seng Low |none|9|Heimana Tavita|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:15|21|Pit Seng Low |none|5|Heimana Tavita|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:52|15|Ashwant Gobinathan |none|21|Dylan Soedjasa|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:52|21|Ashwant Gobinathan |none|15|Dylan Soedjasa|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:52|21|Ashwant Gobinathan |none|19|Dylan Soedjasa|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Huaidong Tang|Jennifer Tam|18|Jonathan Curtin|Kelly Stern|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Huaidong Tang|Jennifer Tam|16|Jonathan Curtin|Kelly Stern|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Mitchell Wheller|Hsuan-Yu Wendy Chen|17|Niccolo Tagle|Anona Pak|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Mitchell Wheller|Hsuan-Yu Wendy Chen|9|Niccolo Tagle|Anona Pak|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Kevin Dennerly-Minturn |Danielle Tahuri|10|Toby Wong|Claudia Lam|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Kevin Dennerly-Minturn |Danielle Tahuri|9|Toby Wong|Claudia Lam|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Sawan Serasinghe |Setyana Mapasa|9|Daxxon Vong|Erena Calder -Hawkins|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Sawan Serasinghe |Setyana Mapasa|12|Daxxon Vong|Erena Calder -Hawkins|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:25|21|Joel Findlay|Gronya Somerville|14|Morgan Paitio|Johanna Kou|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:25|21|Joel Findlay|Gronya Somerville|14|Morgan Paitio|Johanna Kou|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:19|21|Jacob Schueler|none|12|Thommy Sargito|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:19|21|Jacob Schueler|none|8|Thommy Sargito|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:17|21|Matthew Chau|Louisa Ma|5|Joey Santino|Cecilia Moussy|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:17|21|Matthew Chau|Louisa Ma|12|Joey Santino|Cecilia Moussy|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:45|21|Simon Wing Hang Leung |Tiffany Ho|17|Dylan Soedjasa|Susannah Leydon-Davis|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:45|21|Simon Wing Hang Leung |Tiffany Ho|18|Dylan Soedjasa|Susannah Leydon-Davis|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:19|21|Daniel Fan|none|7|Damien Esposito|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:19|21|Daniel Fan|none|9|Damien Esposito|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Jennifer Tam|none|7|Kelly Stern|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:23|21|Jennifer Tam|none|10|Kelly Stern|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Michael Fariman|Eric Vuong|5|Florian Cugola|Heimana Tavita|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:20|21|Michael Fariman|Eric Vuong|12|Florian Cugola|Heimana Tavita|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:30|21|Anthony Joe |none|9|Glenn Gowet|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:30|21|Anthony Joe |none|11|Glenn Gowet|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:24|21|Daxxon Vong|none|18|Nathan Tang [4]|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:24|21|Daxxon Vong|none|16|Nathan Tang [4]|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:25|21|Niccolo Tagle|none|15|Brendan Tieu|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:25|21|Niccolo Tagle|none|12|Brendan Tieu|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:19|21|Huaidong Tang|none|13|Thomas Lahaut|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:19|21|Huaidong Tang|none|14|Thomas Lahaut|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170213|0:20|21|Setyana Mapasa |Gronya Somerville|6|Erena Calder -Hawkins|Jasmin Chung Man Ng|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:20|21|Setyana Mapasa |Gronya Somerville|6|Erena Calder -Hawkins|Jasmin Chung Man Ng|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:22|21|Joel Findlay|Jeff Tho|10|Yohan De Geoffroy|Carl Nguela|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:22|21|Joel Findlay|Jeff Tho|13|Yohan De Geoffroy|Carl Nguela|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:22|21|Susannah Leydon-Davis|Danielle Tahuri|6|Cathy Camerota|Nadia Kasimun|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:22|21|Susannah Leydon-Davis|Danielle Tahuri|7|Cathy Camerota|Nadia Kasimun|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:21|21|Tiffany Ho|Joy Lai|6|Johanna Kou|Cecilia Moussy|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:21|21|Tiffany Ho|Joy Lai|9|Johanna Kou|Cecilia Moussy|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Vicki Copeland |Anona Pak|12|Claudia Lam|Ruwindi Serasinghe|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:26|21|Vicki Copeland |Anona Pak|8|Claudia Lam|Ruwindi Serasinghe|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Kevin Dennerly-Minturn|Niccolo Tagle|12|Daniel Fan|Pit Seng Low|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Kevin Dennerly-Minturn|Niccolo Tagle|13|Daniel Fan|Pit Seng Low|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:19|21|Jonathan Curtin|Dhanny Oud|13|Glenn Gowet|Thommy Sargito|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:19|21|Jonathan Curtin|Dhanny Oud|12|Glenn Gowet|Thommy Sargito|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Jacob Schueler|Huaidong Tang|17|Clement Bertaud|Arnaud Franzi|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Jacob Schueler|Huaidong Tang|12|Clement Bertaud|Arnaud Franzi|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Brendan Tieu|Toby Wong|14|Thomas Lahaut|Joey Santino|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170213|0:23|21|Brendan Tieu|Toby Wong|10|Thomas Lahaut|Joey Santino|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170214|0:23|21|Huaidong Tang|none|18|Joey Santino|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:23|21|Huaidong Tang|none|13|Joey Santino|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:16|21|Dylan Soedjasa|none|11|Yohan De Geoffroy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:16|21|Dylan Soedjasa|none|3|Yohan De Geoffroy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:17|21|Niccolo Tagle|none|17|Jeremy Lemaitre|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:17|21|Niccolo Tagle|none|11|Jeremy Lemaitre|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:22|21|Jacob Schueler|none|13|Carl Nguela|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:22|21|Jacob Schueler|none|10|Carl Nguela|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:23|21|Daxxon Vong|none|11|Morgan Paitio|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:23|21|Daxxon Vong|none|8|Morgan Paitio|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:20|21|Daniel Fan|none|15|Arnaud Franzi|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:20|21|Daniel Fan|none|6|Arnaud Franzi|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:20|21|Tiffany Ho|none|5|Cecilia Moussy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:20|21|Tiffany Ho|none|1|Cecilia Moussy|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:24|21|Dhanny Oud|Jasmin Chung Man Ng|16|Anthony Joe [2]|Joy Lai|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170214|0:24|21|Dhanny Oud|Jasmin Chung Man Ng|17|Anthony Joe [2]|Joy Lai|738C35E9-F078-42F5-9585-02EA8A82460E|doubles
20170214|0:15|21|Pit Seng Low |none|9|Heimana Tavita|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:15|21|Pit Seng Low |none|5|Heimana Tavita|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:52|15|Ashwant Gobinathan |none|21|Dylan Soedjasa|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
20170214|0:52|21|Ashwant Gobinathan |none|15|Dylan Soedjasa|none|738C35E9-F078-42F5-9585-02EA8A82460E|singles
