date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161027||21|Abhishek Yelegar|none|12|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Abhishek Yelegar|none|14|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Denis Grachev|none|13|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Denis Grachev|none|12|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Anatoliy Yartsev|none|8|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Anatoliy Yartsev|none|13|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Siddharath Thakur|none|15|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Siddharath Thakur|none|16|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Hemanth M.Gowda|none|4|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Hemanth M.Gowda|none|9|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||Walkover Win|Arun Kumar Ashok Kumar|none|Walkover Loss|Elyas Jaffar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||Walkover Win|Heri Setiawan|none|Walkover Loss|C. Rohit Yadav|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Harshit Aggarwal|none|8|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Harshit Aggarwal|none|23|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161027||21|Harshit Aggarwal|none|17|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Abhishek Yelegar|none|12|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Abhishek Yelegar|none|14|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Denis Grachev|none|13|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Denis Grachev|none|12|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Anatoliy Yartsev|none|8|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Anatoliy Yartsev|none|13|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Siddharath Thakur|none|15|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Siddharath Thakur|none|16|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Hemanth M.Gowda|none|4|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Hemanth M.Gowda|none|9|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||Walkover Win|Arun Kumar Ashok Kumar|none|Walkover Loss|Elyas Jaffar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||Walkover Win|Heri Setiawan|none|Walkover Loss|C. Rohit Yadav|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Harshit Aggarwal|none|8|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Harshit Aggarwal|none|23|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161028||21|Harshit Aggarwal|none|17|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Abhishek Yelegar|none|12|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Abhishek Yelegar|none|14|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Denis Grachev|none|13|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Denis Grachev|none|12|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Anatoliy Yartsev|none|8|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Anatoliy Yartsev|none|13|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Siddharath Thakur|none|15|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Siddharath Thakur|none|16|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Hemanth M.Gowda|none|4|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Hemanth M.Gowda|none|9|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||Walkover Win|Arun Kumar Ashok Kumar|none|Walkover Loss|Elyas Jaffar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||Walkover Win|Heri Setiawan|none|Walkover Loss|C. Rohit Yadav|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Harshit Aggarwal|none|8|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Harshit Aggarwal|none|23|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161029||21|Harshit Aggarwal|none|17|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Abhishek Yelegar|none|12|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Abhishek Yelegar|none|14|Vishnu Sreekumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Denis Grachev|none|13|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Denis Grachev|none|12|Rohit Jaykumar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Anatoliy Yartsev|none|8|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Anatoliy Yartsev|none|13|Sanjay Jaimy|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Siddharath Thakur|none|15|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Siddharath Thakur|none|16|Adnan Ebrahim|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Shreyansh Jaiswal|none|9|Wahid Thakiyudheen|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Hemanth M.Gowda|none|4|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Hemanth M.Gowda|none|9|Jisham Kunju Mohamed|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||Walkover Win|Arun Kumar Ashok Kumar|none|Walkover Loss|Elyas Jaffar|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||Walkover Win|Heri Setiawan|none|Walkover Loss|C. Rohit Yadav|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Harshit Aggarwal|none|8|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Harshit Aggarwal|none|23|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
20161030||21|Harshit Aggarwal|none|17|Karono Suwarno|none|73F3B158-1FF4-4B1B-BAB5-F1CAC3367782|singles
