date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151217|0:20|21|Ömer Altinkopru|none|17|Ilker Tuzcu|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:20|21|Ömer Altinkopru|none|10|Ilker Tuzcu|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:42|14|Kubilay Sadi|none|21|Mert Tunco|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:42|21|Kubilay Sadi|none|12|Mert Tunco|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:42|21|Kubilay Sadi|none|19|Mert Tunco|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:21|21|Danylo Bosniuk |none|7|Ahmet Takmak|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:21|21|Danylo Bosniuk |none|14|Ahmet Takmak|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:22|21|Nuh Baskin|none|9|Mehmet Ozturk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:22|21|Nuh Baskin|none|16|Mehmet Ozturk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:15|21|Mustafa Kutlu|none|8|Hasan Ulaş Dağli|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:15|21|Mustafa Kutlu|none|13|Hasan Ulaş Dağli|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:23|21|Ramazan Tekdemİr|none|9|Yavuz Zurnaci|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:23|21|Ramazan Tekdemİr|none|14|Yavuz Zurnaci|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217||Walkover Win|Selehattin Demir|none|Walkover Loss|Justin Teeuwen [10]|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217||Walkover Win|Ferhat Cavuldak|none|Walkover Loss|Igor Cimbur|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217||Walkover Win|Akin Deniz|none|Walkover Loss|Ashwant Gobinathan [4]|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:27|21|Ali Bugra Akdogan|none|16|Sinan Er|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:27|16|Ali Bugra Akdogan|none|21|Sinan Er|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:27|21|Ali Bugra Akdogan|none|10|Sinan Er|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:26|21|Orkhan Qalandarov |none|11|Metin Pehlivan|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:26|21|Orkhan Qalandarov |none|17|Metin Pehlivan|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:31|21|Ahmetcan Oruc|none|23|Bugrahan Perk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:31|21|Ahmetcan Oruc|none|11|Bugrahan Perk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:31|21|Ahmetcan Oruc|none|12|Bugrahan Perk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217||Walkover Win|Burakhan Corapci|none|Walkover Loss|Muhammed Ali Kurt [7]|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:23|22|Murat Saka|none|20|Gokhan Zembilci|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:23|21|Murat Saka|none|17|Gokhan Zembilci|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217||Walkover Win|Fethican Degirmenci|none|Walkover Loss|Ahmad Shekib Iqbal [14]|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:47|21|Vladzislav Kushnir|none|11|Ozgur Potuk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:47|19|Vladzislav Kushnir|none|21|Ozgur Potuk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:47|21|Vladzislav Kushnir|none|19|Ozgur Potuk|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|21|Dzmitry Saidakou|none|17|Yazgan Calisir|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|12|Dzmitry Saidakou|none|21|Yazgan Calisir|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|21|Dzmitry Saidakou|none|15|Yazgan Calisir|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|20|Emre Lale |none|22|Haktan Doğan|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|21|Emre Lale |none|16|Haktan Doğan|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:43|21|Emre Lale |none|11|Haktan Doğan|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:26|21|Umit Basaran|none|12|Murat Gungor|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:26|21|Umit Basaran|none|10|Murat Gungor|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:25|21|Alexander Bass |none|17|Cengizhan Bayrak|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:25|21|Alexander Bass |none|7|Cengizhan Bayrak|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:20|21|Shai Geffen|none|11|Baran Yuksel|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:20|21|Shai Geffen|none|6|Baran Yuksel|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:46|19|Povilas Bartusis |none|21|Yusuf Ramazan Bay|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:46|22|Povilas Bartusis |none|20|Yusuf Ramazan Bay|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:46|21|Povilas Bartusis |none|19|Yusuf Ramazan Bay|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
20151217|0:36|14|Yunus Bas|none|21|Mehmet Capar|none|76A31CD2-FE09-4E4C-BC34-50BE766CD16A|singles
