date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150305|0:19|21|Dominik Buetikofer|none|6|Alexander Niesner|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:19|21|Dominik Buetikofer|none|8|Alexander Niesner|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:21|21|Pavel Kotsarenko|none|7|Lukas Vogel|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:21|21|Pavel Kotsarenko|none|10|Lukas Vogel|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:50|18|Mateusz Biernacki|none|21|Jan Colin Völker|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:50|21|Mateusz Biernacki|none|11|Jan Colin Völker|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:50|23|Mateusz Biernacki|none|21|Jan Colin Völker|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:29|21|David King|none|12|Dennis Gankin|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:29|21|David King|none|15|Dennis Gankin|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:20|21|Keita Ogawa|none|6|Lukas Rupp|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:20|21|Keita Ogawa|none|5|Lukas Rupp|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:19|21|Ditlev Jaeger Holm|none|6|Rover Jay Babatido|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:19|21|Ditlev Jaeger Holm|none|9|Rover Jay Babatido|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:17|21|Yoshitaka Ogura|none|8|Miha Ivanic|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:17|21|Yoshitaka Ogura|none|7|Miha Ivanic|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:25|21|Siril Verma|none|9|Hannes Gerberich|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:25|21|Siril Verma|none|10|Hannes Gerberich|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:35|21|Samuel Hsiao|none|16|Sergey Molodov|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:35|24|Samuel Hsiao|none|22|Sergey Molodov|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:28|21|Ansal Yadav|none|16|Dmitrii Riabov|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:28|21|Ansal Yadav|none|15|Dmitrii Riabov|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
20150305|0:27|21|Angus Pedersen|none|19|Cristian Savin|none|770AE676-7E31-4F10-A61E-E8B6C2F8B00F|singles
