date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171114|0:30|21|Bouksani Abderrahim|none|9|Fares Hesham Fouad Eltohamy|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Bouksani Abderrahim|none|18|Fares Hesham Fouad Eltohamy|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Samy Khaldi|none|13|Mark Abela|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Samy Khaldi|none|16|Mark Abela|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|21|Basel Hesham Mohamed Ibrahim|none|18|Tahar Skander Medel|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|22|Basel Hesham Mohamed Ibrahim|none|20|Tahar Skander Medel|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:26|21|Mohamed Abdelaziz Ouchefoun|none|11|Omar Yasser Hafez Kamel|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:26|21|Mohamed Abdelaziz Ouchefoun|none|12|Omar Yasser Hafez Kamel|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|21|Ganna Tarek Mohamed Reda Elwazery|none|16|Ines Ziani|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|21|Ganna Tarek Mohamed Reda Elwazery|none|12|Ines Ziani|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|21|Nour Ahmed Youssri|none|18|Yasmina Chibah|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:25|21|Nour Ahmed Youssri|none|10|Yasmina Chibah|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:23|21|Mennatallah Ashraf Said Mohamed|none|15|Bounaas Melissa|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:23|21|Mennatallah Ashraf Said Mohamed|none|17|Bounaas Melissa|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Mohamed Mostafa Kamel |none|11|Kareem Mahmoud Ahmed|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Mohamed Mostafa Kamel |none|15|Kareem Mahmoud Ahmed|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:26|21|Samuel Cassar|none|18|Bouksani Abderrahim|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:26|21|Samuel Cassar|none|16|Bouksani Abderrahim|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:45|20|Sean Sze Jing Ng|none|22|John Riad [3]|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:45|21|Sean Sze Jing Ng|none|12|John Riad [3]|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:45|21|Sean Sze Jing Ng|none|11|John Riad [3]|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:55|21|Majed Yacine Balahoune|none|14|Samy Khaldi|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:55|12|Majed Yacine Balahoune|none|21|Samy Khaldi|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:55|21|Majed Yacine Balahoune|none|16|Samy Khaldi|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:55|Walkover Win|Majed Yacine Balahoune|none|Walkover Loss|Samy Khaldi|none|77D07691-CD93-44CE-9153-865B98F0727A|1
20171114|0:20|21|Sifeddine Larbaoui |none|4|Basel Hesham Mohamed Ibrahim|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:20|21|Sifeddine Larbaoui |none|8|Basel Hesham Mohamed Ibrahim|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|21|Mohamed Abdelaziz Ouchefoun|none|12|Aly Ashraf Mahmoud|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:30|22|Mohamed Abdelaziz Ouchefoun|none|20|Aly Ashraf Mahmoud|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:20|21|Mahmoud Montaser Mahmoud |none|11|Raouf Lamrani|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:20|21|Mahmoud Montaser Mahmoud |none|9|Raouf Lamrani|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:15|21|Veronika Dobiášová |none|3|Imane Chekkal|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
20171114|0:15|21|Veronika Dobiášová |none|5|Imane Chekkal|none|77D07691-CD93-44CE-9153-865B98F0727A|singles
