date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170127|0:28|11|Zechen Ma|Carla Kivikko|6|Adam Moore|Nomin Sukhbaatar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|11|Zechen Ma|Carla Kivikko|4|Adam Moore|Nomin Sukhbaatar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|8|Zechen Ma|Carla Kivikko|11|Adam Moore|Nomin Sukhbaatar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|11|Zechen Ma|Carla Kivikko|7|Adam Moore|Nomin Sukhbaatar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|11|Aaron Sonnenschein|Leona Michalski|8|Oscar Reuterhall|Gunjan Randhawa|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|12|Aaron Sonnenschein|Leona Michalski|10|Oscar Reuterhall|Gunjan Randhawa|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|11|Aaron Sonnenschein|Leona Michalski|9|Oscar Reuterhall|Gunjan Randhawa|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|11|Albin Thorsélius|Cecilia Wang|5|Danila Gataullin|Jenny Rajkumar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|11|Albin Thorsélius|Cecilia Wang|1|Danila Gataullin|Jenny Rajkumar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:20|11|Albin Thorsélius|Cecilia Wang|8|Danila Gataullin|Jenny Rajkumar|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:22|15|Joel Hansson |Alice Lindhe|13|Jonas Braun|Xenia Kölmel|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:22|11|Joel Hansson |Alice Lindhe|7|Jonas Braun|Xenia Kölmel|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:22|12|Joel Hansson |Alice Lindhe|10|Jonas Braun|Xenia Kölmel|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|14|Gustav Bjorkler|Edith Urell|12|Enrico Baroni|Chiara Passeri|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|11|Gustav Bjorkler|Edith Urell|8|Enrico Baroni|Chiara Passeri|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|5|Gustav Bjorkler|Edith Urell|11|Enrico Baroni|Chiara Passeri|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:28|11|Gustav Bjorkler|Edith Urell|9|Enrico Baroni|Chiara Passeri|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:21|11|Max Svensson|Miranda Johansson|4|Eero Kiiski|Tuuli Vasikkaniemi|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:21|11|Max Svensson|Miranda Johansson|5|Eero Kiiski|Tuuli Vasikkaniemi|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:21|11|Max Svensson|Miranda Johansson|6|Eero Kiiski|Tuuli Vasikkaniemi|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:19|11|Jacob Ekman|Emmy Robertsson|4|Øystein Hovden Eimind|Victoria Økland|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:19|11|Jacob Ekman|Emmy Robertsson|3|Øystein Hovden Eimind|Victoria Økland|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:19|12|Jacob Ekman|Emmy Robertsson|10|Øystein Hovden Eimind|Victoria Økland|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:31|6|Axel Roberts|Ella Hellman|11|Ludvig Smith-Meyer|Emilia Petersen Norberg|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:31|14|Axel Roberts|Ella Hellman|12|Ludvig Smith-Meyer|Emilia Petersen Norberg|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:31|11|Axel Roberts|Ella Hellman|9|Ludvig Smith-Meyer|Emilia Petersen Norberg|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:31|11|Axel Roberts|Ella Hellman|8|Ludvig Smith-Meyer|Emilia Petersen Norberg|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:23|15|Joshua Apiliga|Rachel Sugden|13|Nikita Makoveev|Vera Kramarenko|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:23|11|Joshua Apiliga|Rachel Sugden|8|Nikita Makoveev|Vera Kramarenko|787BA288-6201-42C3-9326-5009F3731289|doubles
20170127|0:23|11|Joshua Apiliga|Rachel Sugden|7|Nikita Makoveev|Vera Kramarenko|787BA288-6201-42C3-9326-5009F3731289|doubles
