date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161202|0:30|21|Jacob Maliekal |none|12|Christopher Paul|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:30|21|Jacob Maliekal |none|12|Christopher Paul|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:35|21|Khabir Teeluck|none|18|Jovica Rujevic|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:35|22|Khabir Teeluck|none|24|Jovica Rujevic|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:35|21|Khabir Teeluck|none|17|Jovica Rujevic|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:25|21|Maxime Moreels |none|9|Jason Coetzer|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:25|21|Maxime Moreels |none|10|Jason Coetzer|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:32|16|Bongani Von Bodenstein|none|21|Tejraj Pultoo|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:32|21|Bongani Von Bodenstein|none|10|Tejraj Pultoo|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:32|21|Bongani Von Bodenstein|none|10|Tejraj Pultoo|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:13|21|Aatish Lubah |none|7|Chrispin Chilokwa|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:13|21|Aatish Lubah |none|6|Chrispin Chilokwa|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:44|21|Abdelrahman Abdelhakim|none|13|Cameron Coetzer|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:44|19|Abdelrahman Abdelhakim|none|21|Cameron Coetzer|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:44|21|Abdelrahman Abdelhakim|none|12|Cameron Coetzer|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:24|21|Jean Bernard Bongout|none|15|Juma Muwowo|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:24|21|Jean Bernard Bongout|none|16|Juma Muwowo|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:17|21|Nkanyiso Sibanyoni|none|18|Tamizhininiyen Canagasaby|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
20161202|0:17|21|Nkanyiso Sibanyoni|none|14|Tamizhininiyen Canagasaby|none|7B1F6390-5AF5-4120-A73F-AC1593BAC32B|singles
