date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141031|0:36|10|Yonathan Levit|Polyvia Tzika|11|Thomas Rougklios|Maria Eleni Rougkliou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:36|10|Yonathan Levit|Polyvia Tzika|11|Thomas Rougklios|Maria Eleni Rougkliou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:36|11|Yonathan Levit|Polyvia Tzika|5|Thomas Rougklios|Maria Eleni Rougkliou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:36|11|Yonathan Levit|Polyvia Tzika|9|Thomas Rougklios|Maria Eleni Rougkliou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:36|11|Yonathan Levit|Polyvia Tzika|5|Thomas Rougklios|Maria Eleni Rougkliou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:21|11|Philippos Kneknas|Stephanie Pinharry|8|Marios Michail Boulios|Pantelia Bartzou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:21|11|Philippos Kneknas|Stephanie Pinharry|8|Marios Michail Boulios|Pantelia Bartzou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:21|11|Philippos Kneknas|Stephanie Pinharry|9|Marios Michail Boulios|Pantelia Bartzou|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:27|11|Vojtech Lapacek|Tereza Svabikova|10|Kyriacos Pissis|Anastasia Kchatap|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:27|6|Vojtech Lapacek|Tereza Svabikova|11|Kyriacos Pissis|Anastasia Kchatap|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:27|11|Vojtech Lapacek|Tereza Svabikova|10|Kyriacos Pissis|Anastasia Kchatap|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:27|11|Vojtech Lapacek|Tereza Svabikova|9|Kyriacos Pissis|Anastasia Kchatap|7D6E9AB7-F736-4E33-85E1-7B1A64083163|doubles
20141031|0:22|11|Wolfgang Gnedt |none|1|Christakis Temereas|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:22|11|Wolfgang Gnedt |none|5|Christakis Temereas|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:22|11|Wolfgang Gnedt |none|5|Christakis Temereas|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:25|11|Petr Beran |none|5|Elias Nicolaou|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:25|11|Petr Beran |none|9|Elias Nicolaou|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:25|11|Petr Beran |none|2|Elias Nicolaou|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:34|8|Panagiotis Botelis|none|11|Savvas Charalambous|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:34|6|Panagiotis Botelis|none|11|Savvas Charalambous|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:34|11|Panagiotis Botelis|none|10|Savvas Charalambous|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:34|11|Panagiotis Botelis|none|9|Savvas Charalambous|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:34|11|Panagiotis Botelis|none|6|Savvas Charalambous|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
20141031|0:14|11|Collins Valentine Filimon |none|1|Antonis Topoligas|none|7D6E9AB7-F736-4E33-85E1-7B1A64083163|singles
