date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170929|0:38|11|Nicolas A. Mueller|Indira Dickhäuser|21|Kenji Lovang|Charlotte Ganci|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:38|21|Nicolas A. Mueller|Indira Dickhäuser|19|Kenji Lovang|Charlotte Ganci|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:38|21|Nicolas A. Mueller|Indira Dickhäuser|19|Kenji Lovang|Charlotte Ganci|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929||Walkover Win|Minh Quang Pham|Milena Schnider|Walkover Loss|Maximilien Lamblot|Anais Begaud|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:22|21|Kilian Meusburger|Sabrina Herbst|16|Nicolas Gerber|Julie Franconville|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:22|21|Kilian Meusburger|Sabrina Herbst|18|Nicolas Gerber|Julie Franconville|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:34|21|Yann Orteu|Dounia Pelupessy|19|Senne Houthoofd|Kirstin Boonen|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:34|19|Yann Orteu|Dounia Pelupessy|21|Senne Houthoofd|Kirstin Boonen|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:34|22|Yann Orteu|Dounia Pelupessy|20|Senne Houthoofd|Kirstin Boonen|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:45|21|Andreas Bittner|Serena Au Yeong|12|Cyprien Samson|Emmy Guilbard|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:45|29|Andreas Bittner|Serena Au Yeong|30|Cyprien Samson|Emmy Guilbard|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:45|21|Andreas Bittner|Serena Au Yeong|18|Cyprien Samson|Emmy Guilbard|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Julien Scheiwiller|Jenjira Stadelmann|15|Vincent Ziegler|Romane Cloteaux-Foucault|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Julien Scheiwiller|Jenjira Stadelmann|8|Vincent Ziegler|Romane Cloteaux-Foucault|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Samy Corvee|Sharone Bauer|16|Dennis Koppen|Sabine De Wit|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Samy Corvee|Sharone Bauer|13|Dennis Koppen|Sabine De Wit|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:37|21|Rafael Gavois|none|10|Nicolas Müller|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:37|16|Rafael Gavois|none|21|Nicolas Müller|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:37|21|Rafael Gavois|none|18|Nicolas Müller|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:16|21|Lalaina Ramanana-Rahary|none|12|Aleksei Shestirko|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:16|21|Lalaina Ramanana-Rahary|none|9|Aleksei Shestirko|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|David Orteu|none|10|Dimitri Jacquart|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|David Orteu|none|16|Dimitri Jacquart|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|21|Clement Allain|none|16|Georgii Lebedev|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|21|Clement Allain|none|10|Georgii Lebedev|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:27|21|Martin Ouazzen|none|14|Soen Rimmer|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:27|21|Martin Ouazzen|none|19|Soen Rimmer|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:15|21|Su Li Yang|Hsieh Yu Ying|5|Artur Pechenkin|Tatiana Samburskaia|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:15|21|Su Li Yang|Hsieh Yu Ying|10|Artur Pechenkin|Tatiana Samburskaia|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:32|21|Alexis Vanhaecke|none|14|Senne Houthoofd|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:32|14|Alexis Vanhaecke|none|21|Senne Houthoofd|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:32|21|Alexis Vanhaecke|none|13|Senne Houthoofd|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Thomas Gaucher|none|Walkover Loss|Aman Farogh Sanjay ,|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:14|21|Yann Orteu|none|8|Vladimir Orlov|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:14|21|Yann Orteu|none|6|Vladimir Orlov|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Nicolas A. Mueller|none|14|Martin Abrami|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Nicolas A. Mueller|none|19|Martin Abrami|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:25|21|Minh Quang Pham|none|17|Guilhem Hoyaux|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:25|22|Minh Quang Pham|none|20|Guilhem Hoyaux|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|21|Milena Schnider|none|10|Camille Benetreau|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|22|Milena Schnider|none|20|Camille Benetreau|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Sabine De Wit|none|Walkover Loss|Elsa Cristiani|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Arnaud Merkle |none|13|Joachim Cansse|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Arnaud Merkle |none|11|Joachim Cansse|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:25|21|Yanis Gaudin|none|14|Andreas Bittner|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:25|21|Yanis Gaudin|none|18|Andreas Bittner|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:38|18|Artur Pechenkin|none|21|Nicolas Gerber|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:38|21|Artur Pechenkin|none|14|Nicolas Gerber|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:38|21|Artur Pechenkin|none|18|Nicolas Gerber|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:20|21|Vincent Ziegler|none|9|Rafael Gavois|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:20|21|Vincent Ziegler|none|14|Rafael Gavois|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Su Li Yang |none|13|Lalaina Ramanana-Rahary|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Su Li Yang |none|11|Lalaina Ramanana-Rahary|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:37|21|David Orteu|none|23|Victor Boulay|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:37|21|David Orteu|none|11|Victor Boulay|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:37|21|David Orteu|none|7|Victor Boulay|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:19|21|Leo Rossi |none|12|Cyprien Samson|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:19|21|Leo Rossi |none|7|Cyprien Samson|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Maria Delcheva |none|Walkover Loss|Sian Kelly|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Clara Lassaux|none|Walkover Loss|Julie Ferrier|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:48|21|Clement Allain|none|17|Kilian Meusburger|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:48|17|Clement Allain|none|21|Kilian Meusburger|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:48|24|Clement Allain|none|22|Kilian Meusburger|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:27|21|Julien Carraggi |none|10|Martin Ouazzen|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:27|24|Julien Carraggi |none|22|Martin Ouazzen|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:19|21|Nicolas A. Mueller|none|12|Logan Dorso|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:19|21|Nicolas A. Mueller|none|10|Logan Dorso|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:20|21|Julien Scheiwiller|none|10|Artur Pechenkin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:20|21|Julien Scheiwiller|none|5|Artur Pechenkin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:30|14|Alexandre Lallemand |none|21|Alexis Vanhaecke|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:30|21|Alexandre Lallemand |none|11|Alexis Vanhaecke|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:30|21|Alexandre Lallemand |none|7|Alexis Vanhaecke|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:45|13|Ethan Rose|none|21|Yanis Gaudin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:45|21|Ethan Rose|none|18|Yanis Gaudin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:45|22|Ethan Rose|none|20|Yanis Gaudin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:17|21|Christo Popov |none|5|Robby Bronselaer|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:17|21|Christo Popov |none|13|Robby Bronselaer|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Robin Gerber|none|11|Yann Orteu|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|24|Robin Gerber|none|22|Yann Orteu|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:31|21|Dennis Koppen |none|13|Thomas Gaucher|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:31|19|Dennis Koppen |none|21|Thomas Gaucher|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:31|21|Dennis Koppen |none|9|Thomas Gaucher|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Valentin Singer|none|13|Minh Quang Pham|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|25|Valentin Singer|none|23|Minh Quang Pham|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Shiau Cheng Chen |none|Walkover Loss|Maximilien Lamblot|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|16|Ana Carbon|none|21|Kirstin Boonen|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|21|Ana Carbon|none|12|Kirstin Boonen|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|21|Ana Carbon|none|10|Kirstin Boonen|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:22|21|Eloi Adam |Juliette Moinard|17|Nicolas A. Mueller|Indira Dickhäuser|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:22|21|Eloi Adam |Juliette Moinard|15|Nicolas A. Mueller|Indira Dickhäuser|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:21|21|Jona Van Nieuwkerke |Joke De Langhe|15|Kilian Meusburger|Sabrina Herbst|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:21|21|Jona Van Nieuwkerke |Joke De Langhe|14|Kilian Meusburger|Sabrina Herbst|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Su Li Yang|Hsieh Yu Ying|12|Calixte Courbon|Lisa Gagelin|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:20|21|Su Li Yang|Hsieh Yu Ying|10|Calixte Courbon|Lisa Gagelin|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:18|21|Julien Scheiwiller|Jenjira Stadelmann|8|Georgii Lebedev|Alina Busygina|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:18|21|Julien Scheiwiller|Jenjira Stadelmann|12|Georgii Lebedev|Alina Busygina|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:21|21|William Villeger|Melanie Potin|16|Minh Quang Pham|Milena Schnider|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:21|21|William Villeger|Melanie Potin|18|Minh Quang Pham|Milena Schnider|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:30|11|Yanis Gaudin|Camille Benetreau|21|Yann Orteu|Dounia Pelupessy|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:30|21|Yanis Gaudin|Camille Benetreau|16|Yann Orteu|Dounia Pelupessy|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:30|21|Yanis Gaudin|Camille Benetreau|13|Yann Orteu|Dounia Pelupessy|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:33|21|Fabien Delrue |Marig Brouxel|17|Andreas Bittner|Serena Au Yeong|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:33|25|Fabien Delrue |Marig Brouxel|23|Andreas Bittner|Serena Au Yeong|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:27|23|Samy Corvee|Sharone Bauer|21|Maxime Briot [2]|Marion Le Turdu|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:27|21|Samy Corvee|Sharone Bauer|16|Maxime Briot [2]|Marion Le Turdu|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:16|21|Hsieh Yu Ying |none|7|Tatiana Samburskaia|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:16|21|Hsieh Yu Ying |none|6|Tatiana Samburskaia|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Margot Lambert |none|18|Sabrina Herbst|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Margot Lambert |none|18|Sabrina Herbst|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Léonice Huet |none|14|Clara Cotte|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Léonice Huet |none|10|Clara Cotte|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929||Walkover Win|Dounia Pelupessy|none|Walkover Loss|Steffi Van De Vel|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|21|Jenjira Stadelmann |none|10|Hasini Nusaka Ambalangodage|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:21|21|Jenjira Stadelmann |none|12|Hasini Nusaka Ambalangodage|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:15|21|Melanie Potin|none|8|Sabine De Wit|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:15|21|Melanie Potin|none|12|Sabine De Wit|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:22|21|Milena Schnider|none|11|Alina Busygina|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:22|21|Milena Schnider|none|17|Alina Busygina|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|22|Julie Franconville|none|20|Raphaela Winkler|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|18|Julie Franconville|none|21|Raphaela Winkler|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:39|21|Julie Franconville|none|16|Raphaela Winkler|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:28|21|Elena Andreu |none|16|Marion Le Turdu|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:28|21|Elena Andreu |none|15|Marion Le Turdu|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Huang Yin Hsuan |none|17|Indira Dickhäuser|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:23|21|Huang Yin Hsuan |none|14|Indira Dickhäuser|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Romane Cloteaux-Foucault|none|18|Anais Begaud|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|24|Romane Cloteaux-Foucault|none|22|Anais Begaud|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:24|21|Freya Patel-Redfearn |none|12|Lisa Gagelin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:24|21|Freya Patel-Redfearn |none|8|Lisa Gagelin|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Ainoa Desmons|none|13|Joke De Langhe|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:26|21|Ainoa Desmons|none|16|Joke De Langhe|none|874FFFFF-1714-47B8-9077-99B7AA6998B9|singles
20170929|0:18|21|Robby Bronselaer|Senne Houthoofd|14|Victor Boulay|Rafael Gavois|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:18|21|Robby Bronselaer|Senne Houthoofd|18|Victor Boulay|Rafael Gavois|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:25|21|Kenji Lovang |William Villeger|17|Nicolas A. Mueller|Minh Quang Pham|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:25|21|Kenji Lovang |William Villeger|18|Nicolas A. Mueller|Minh Quang Pham|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:17|21|Andreas Bittner|Kilian Meusburger|11|Vladimir Orlov|Aleksei Shestirko|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:17|21|Andreas Bittner|Kilian Meusburger|10|Vladimir Orlov|Aleksei Shestirko|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:17|21|Eloi Adam |Samy Corvee|8|Robin Gerber|Nicolas Müller|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:17|21|Eloi Adam |Samy Corvee|10|Robin Gerber|Nicolas Müller|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:31|21|Clement Allain|Vincent Ziegler|14|Nicolas Gerber|Yann Orteu|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:31|19|Clement Allain|Vincent Ziegler|21|Nicolas Gerber|Yann Orteu|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:31|21|Clement Allain|Vincent Ziegler|15|Nicolas Gerber|Yann Orteu|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:22|21|Julien Carraggi |Jona Van Nieuwkerke|18|Calixte Courbon|Lalaina Ramanana-Rahary|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:22|21|Julien Carraggi |Jona Van Nieuwkerke|13|Calixte Courbon|Lalaina Ramanana-Rahary|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
20170929|0:21|21|Yanis Gaudin|Cyprien Samson|17|Georgii Lebedev|Artur Pechenkin|874FFFFF-1714-47B8-9077-99B7AA6998B9|doubles
