date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140618|0:29|21|Wilmer Josue Ramirez Cañizales|none|19|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:29|21|Wilmer Josue Ramirez Cañizales|none|18|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:29|21|Martin Guiffre|none|12|Franklin Alberto Torrealba Blanco|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:29|21|Martin Guiffre|none|13|Franklin Alberto Torrealba Blanco|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:44|19|Kerwyn Pantin|none|21|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:44|21|Kerwyn Pantin|none|11|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:44|21|Kerwyn Pantin|none|13|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:26|21|Kevin Jose Penalver Rivas|none|16|Lucio Coronato|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:26|21|Kevin Jose Penalver Rivas|none|6|Lucio Coronato|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:40|19|Leonard Uzcategui|none|21|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:40|21|Leonard Uzcategui|none|19|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:40|21|Leonard Uzcategui|none|15|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618||Walkover Win|Silva Pomoceno|none|Walkover Loss|Jose Lazo [4]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618||Walkover Win|Dino Delmastro|none|Walkover Loss|Rafael Jose Remwick Vargas|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618||Walkover Win|Jeison Jose Calanche Ramirez|none|Walkover Loss|Litvac Moreno Freddy Jose [2]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:16|21|Wilmer Josue Ramirez Cañizales|none|7|Jhonathan Marcial Bermudez Rabanal|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:16|21|Wilmer Josue Ramirez Cañizales|none|14|Jhonathan Marcial Bermudez Rabanal|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:20|21|Martin Guiffre|none|17|Peña Christopher|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140618|0:20|21|Martin Guiffre|none|9|Peña Christopher|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:29|21|Wilmer Josue Ramirez Cañizales|none|19|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:29|21|Wilmer Josue Ramirez Cañizales|none|18|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:29|21|Martin Guiffre|none|12|Franklin Alberto Torrealba Blanco|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:29|21|Martin Guiffre|none|13|Franklin Alberto Torrealba Blanco|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:44|19|Kerwyn Pantin|none|21|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:44|21|Kerwyn Pantin|none|11|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:44|21|Kerwyn Pantin|none|13|Ivan Elyouri Perozo [1]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:26|21|Kevin Jose Penalver Rivas|none|16|Lucio Coronato|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:26|21|Kevin Jose Penalver Rivas|none|6|Lucio Coronato|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:40|19|Leonard Uzcategui|none|21|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:40|21|Leonard Uzcategui|none|19|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:40|21|Leonard Uzcategui|none|15|Martínez Rodríguez Joel Augusto [3]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619||Walkover Win|Silva Pomoceno|none|Walkover Loss|Jose Lazo [4]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619||Walkover Win|Dino Delmastro|none|Walkover Loss|Rafael Jose Remwick Vargas|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619||Walkover Win|Jeison Jose Calanche Ramirez|none|Walkover Loss|Litvac Moreno Freddy Jose [2]|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:16|21|Wilmer Josue Ramirez Cañizales|none|7|Jhonathan Marcial Bermudez Rabanal|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:16|21|Wilmer Josue Ramirez Cañizales|none|14|Jhonathan Marcial Bermudez Rabanal|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:20|21|Martin Guiffre|none|17|Peña Christopher|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140619|0:20|21|Martin Guiffre|none|9|Peña Christopher|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140620|0:29|21|Wilmer Josue Ramirez Cañizales|none|19|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
20140620|0:29|21|Wilmer Josue Ramirez Cañizales|none|18|Sebastian Macias|none|8AB2DD02-D59F-4267-8C7E-425E4BFD9F25|singles
