date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171010||14|Andrey Parakhodin|none|21|Hannes Gerberich|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||22|Andrey Parakhodin|none|20|Hannes Gerberich|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Andrey Parakhodin|none|18|Hannes Gerberich|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Sean Vendy|Sarah Walker|17|Vladimir Malkov|Elena Komendrovskaja|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Sean Vendy|Sarah Walker|13|Vladimir Malkov|Elena Komendrovskaja|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Peter Lang|none|12|Christopher Skrzeba|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Peter Lang|none|17|Christopher Skrzeba|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Yukino Nakai|none|4|Georgina Bland|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Yukino Nakai|none|15|Georgina Bland|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Ilias Xanthou|none|2|Raymond Webster|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Ilias Xanthou|none|6|Raymond Webster|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Nikita Khakimov|Andrey Parakhodin|6|Lars Kros|Timo Stoffelen|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Nikita Khakimov|Andrey Parakhodin|13|Lars Kros|Timo Stoffelen|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Max Weisskirchen|none|11|Tobias Mund|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Max Weisskirchen|none|9|Tobias Mund|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Naoki Yamazawa|none|14|Phone Pyae Naing|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||15|Naoki Yamazawa|none|21|Phone Pyae Naing|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Naoki Yamazawa|none|9|Phone Pyae Naing|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Olga Arkhangelskaya|none|13|Cendrine Hantz|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||11|Olga Arkhangelskaya|none|21|Cendrine Hantz|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Olga Arkhangelskaya|none|19|Cendrine Hantz|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Ayla Huser|none|8|Zuzana Pavelkova|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||10|Ayla Huser|none|21|Zuzana Pavelkova|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Ayla Huser|none|14|Zuzana Pavelkova|none|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|singles
20171010||21|Freek Golinski|Lise Jaques|9|Alex Vlaar|Iris Tabeling|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Freek Golinski|Lise Jaques|17|Alex Vlaar|Iris Tabeling|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
20171010||21|Satwiksairaj Rankireddy|Ashwini Ponnappa|17|Richard Eidestedt|Clara Nistad|8D30BB85-24FF-44F0-AE76-65A3CFF9D9FD|doubles
