date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140409|0:17|21|Gareth Henry|none|5|Serafin Zayas|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:17|21|Gareth Henry|none|12|Serafin Zayas|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:29|21|Dylan Darmohoetomo|none|16|Lucio Coronato|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:29|21|Dylan Darmohoetomo|none|7|Lucio Coronato|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:25|21|Kevin Cordon|none|10|Sebastian Macias|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:25|21|Kevin Cordon|none|13|Sebastian Macias|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:35|21|Stefan Wojcikiewicz|none|18|Antonio Ocegueda|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:35|21|Stefan Wojcikiewicz|none|10|Antonio Ocegueda|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:29|22|Nyl Yakura|none|20|Pablo Macagno|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:29|21|Nyl Yakura|none|11|Pablo Macagno|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:30|21|Andy Lam|none|19|Cristian Araya|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:30|21|Andy Lam|none|15|Cristian Araya|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Leonardo Isa|none|Walkover Loss|Ivan Elyouri Perozo|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Brandon Samayoa|none|Walkover Loss|Kevin Jose Penalver Rivas|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Hugo Vasconcelos|none|Walkover Loss|Mauricio Casillas|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:27|21|Ruth Williams|none|9|Ines Castillo|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:27|21|Ruth Williams|none|15|Ines Castillo|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:15|21|Mario Cuba|Katherine Winder|8|Lucio Coronato|Florencia Bernatene|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:15|21|Mario Cuba|Katherine Winder|7|Lucio Coronato|Florencia Bernatene|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:30|21|Gareth Henry|Henry Geordine|14|Diego Mini|Paula La Torre Regal|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:30|22|Gareth Henry|Henry Geordine|24|Diego Mini|Paula La Torre Regal|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:30|21|Gareth Henry|Henry Geordine|13|Diego Mini|Paula La Torre Regal|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:27|21|Arturo Hernandez|Monserrat Soto|6|Ignacio Buraschi Correa|Flavia Stiglich Guzman|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:27|21|Arturo Hernandez|Monserrat Soto|11|Ignacio Buraschi Correa|Flavia Stiglich Guzman|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:27|21|Anibal Marroquin |none|16|Silva Pomoceno|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:27|21|Anibal Marroquin |none|19|Silva Pomoceno|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Lopez Andres|none|12|Alberto Raposo [3]|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Lopez Andres|none|10|Alberto Raposo [3]|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Kevin Cordon|none|Walkover Loss|Wilmer Josue Ramirez Cañizales|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Leonardo Isa|Ines Castillo|Walkover Loss|Kevin Jose Penalver Rivas|Martínez Machuca Michelle Zorileth|8E760E34-474C-4E4D-82A0-EEBF198CB39D|doubles
20140409|0:16|21|Gareth Henry|none|4|Agustin Klein|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:16|21|Gareth Henry|none|1|Agustin Klein|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Ygor Coelho De Oliveira|none|9|Dylan Darmohoetomo|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Ygor Coelho De Oliveira|none|9|Dylan Darmohoetomo|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Federico Diaz |none|13|Kenshin Shimabukuro|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:20|21|Federico Diaz |none|7|Kenshin Shimabukuro|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Stefan Wojcikiewicz|none|Walkover Loss|Daniel La Torre Regal|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409||Walkover Win|Nyl Yakura|none|Walkover Loss|Quijada Willfer|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:25|21|Andy Lam|none|19|Rodolfo Ausgusto Salles [8]|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
20140409|0:25|21|Andy Lam|none|10|Rodolfo Ausgusto Salles [8]|none|8E760E34-474C-4E4D-82A0-EEBF198CB39D|singles
