date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161018||21|Muhammad Irfan Saeed Bhatti|none|9|Hashir Bashir|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018||21|Muhammad Irfan Saeed Bhatti|none|9|Hashir Bashir|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:01|21|Azeem Sarwar|none|9|Husam Alnaies|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:01|21|Azeem Sarwar|none|1|Husam Alnaies|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:53|18|Amir Saeed|none|21|Chet Vin Wong|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:53|21|Amir Saeed|none|10|Chet Vin Wong|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:53|21|Amir Saeed|none|18|Chet Vin Wong|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:30|18|Zohaib Khan Khalil|none|21|Ryan Lebreton|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:30|21|Zohaib Khan Khalil|none|12|Ryan Lebreton|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:30|21|Zohaib Khan Khalil|none|10|Ryan Lebreton|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:32|21|Aljallad Ahmad|none|13|Shahmeer Iftikhar|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:32|21|Aljallad Ahmad|none|19|Shahmeer Iftikhar|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:31|21|Anjum Bashir|none|17|Bishnu Katwal|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:31|21|Anjum Bashir|none|17|Bishnu Katwal|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018||Walkover Win|Awais Zahid|none|Walkover Loss|Dipesh Dhami|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:20|21|Abdur Rehman|none|5|Mohammed Salim|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:20|21|Abdur Rehman|none|1|Mohammed Salim|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:25|21|Jamil Soban|none|8|Zheng Yao Zhang|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:25|21|Jamil Soban|none|11|Zheng Yao Zhang|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:32|21|Ratnajit Tamang|Nangsal Tamang|17|Muhammad Atique|Palwasha Bashir|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|doubles
20161018|0:32|25|Ratnajit Tamang|Nangsal Tamang|23|Muhammad Atique|Palwasha Bashir|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|doubles
20161018||Walkover Win|Murad Ali|Saba Rasheed|Walkover Loss|Al- Qazzaz Ali Muafaq Hadi|Basma Chasib|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|doubles
20161018|0:27|21|Sara Mohmand |none|19|Bushra Qayyum|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:27|21|Sara Mohmand |none|17|Bushra Qayyum|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:36|17|Saima Manzoor|none|21|Javeria Tahir|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:36|21|Saima Manzoor|none|11|Javeria Tahir|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:36|21|Saima Manzoor|none|18|Javeria Tahir|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:20|21|Khizra Rasheed|none|13|Sidra Hamad|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018|0:20|21|Khizra Rasheed|none|11|Sidra Hamad|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
20161018||Walkover Win|Anjum Bashir|Ghazala Saddique|Walkover Loss|Bikash Shrestha|Amita Giri|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|doubles
20161018|0:26|21|Syed Shabbar Hussain|none|11|Zohaib Khan Khalil|none|8EC38020-A57E-4EB8-9A5F-ADDDD2C813E6|singles
