date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170705|0:27|21|Nikita Lemeshko|none|10|Ivan Kuzaev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:27|21|Nikita Lemeshko|none|15|Ivan Kuzaev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:54|17|Mikk Järveoja|none|21|Vladimir Nikulov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:54|21|Mikk Järveoja|none|14|Vladimir Nikulov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:54|21|Mikk Järveoja|none|12|Vladimir Nikulov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:42|21|Daniel Pacheko|none|8|Vadim Arzumanov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:42|16|Daniel Pacheko|none|21|Vadim Arzumanov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:42|21|Daniel Pacheko|none|9|Vadim Arzumanov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:17|21|Karl Kert|none|7|Roman Loos|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:17|21|Karl Kert|none|9|Roman Loos|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:30|21|Alexandr Kozyrev|none|15|Marcus Lõo|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:30|21|Alexandr Kozyrev|none|16|Marcus Lõo|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:35|21|Dmitriy Supruniuk|none|13|Sergey Varfolomeev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:35|21|Dmitriy Supruniuk|none|19|Sergey Varfolomeev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:31|21|Ivan Medynskiy|none|19|Nikita Makoveev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:31|21|Ivan Medynskiy|none|18|Nikita Makoveev|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:33|22|Alexander Morari|none|20|Lev Barinov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:33|21|Alexander Morari|none|12|Lev Barinov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:55|21|Georgii Lebedev|none|12|Temur Turakhonov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:55|12|Georgii Lebedev|none|21|Temur Turakhonov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:55|23|Georgii Lebedev|none|21|Temur Turakhonov|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:31|21|Roman Timko|none|16|Filipp Sidoryuk|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:31|21|Roman Timko|none|13|Filipp Sidoryuk|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:25|21|Georgii Lebedev|Elena Filippova|17|Ivan Medynskiy|Valeriya Rudakova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:25|21|Georgii Lebedev|Elena Filippova|9|Ivan Medynskiy|Valeriya Rudakova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:37|21|Artyom Savatyugin|Alesia Zaitsava|12|Nikolai Baranov|Tatiana Samburskaia|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:37|21|Artyom Savatyugin|Alesia Zaitsava|23|Nikolai Baranov|Tatiana Samburskaia|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:37|21|Artyom Savatyugin|Alesia Zaitsava|8|Nikolai Baranov|Tatiana Samburskaia|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:36|21|Konstantin Abramov|Anastasia Chervyakova|19|Nikita Lemeshko|Anastasiia Semenova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:36|21|Konstantin Abramov|Anastasia Chervyakova|9|Nikita Lemeshko|Anastasiia Semenova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:38|21|Mykhaylo Makhnovskiy|Anastasiya Prozorova|17|Ilya Venediktov|Yulia Vasilyeva|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:38|24|Mykhaylo Makhnovskiy|Anastasiya Prozorova|22|Ilya Venediktov|Yulia Vasilyeva|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:30|21|Ryhor Varabyou|Viktoriia Vorobeva|14|Sergey Shumilkin|Danchenko Anastasiya|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:30|21|Ryhor Varabyou|Viktoriia Vorobeva|18|Sergey Shumilkin|Danchenko Anastasiya|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:24|21|Yaroslav Egerev|Alena Iakovleva|18|Egor Cherkasskikh|Ekaterina Kadochnikova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:24|22|Yaroslav Egerev|Alena Iakovleva|20|Egor Cherkasskikh|Ekaterina Kadochnikova|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|doubles
20170705|0:44|19|Eshita Raju. K|none|21|Anastasiia Boiarun|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
20170705|0:44|23|Eshita Raju. K|none|21|Anastasiia Boiarun|none|94DB9935-A1C7-4101-B68E-4ACDA5F35AD9|singles
