date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180208|0:45|21|Zsombor Dulcz|Rachel Cameron|15|Václav Palán|Lucie Krpatová|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:45|20|Zsombor Dulcz|Rachel Cameron|22|Václav Palán|Lucie Krpatová|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:45|30|Zsombor Dulcz|Rachel Cameron|29|Václav Palán|Lucie Krpatová|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:12|21|Alexander Raudsepp|Victoria Korobova|15|Joshua Apiliga|Rachel Sugden|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:12|7|Alexander Raudsepp|Victoria Korobova|5|Joshua Apiliga|Rachel Sugden|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:12|Walkover Win|Alexander Raudsepp|Victoria Korobova|Walkover Loss|Joshua Apiliga|Rachel Sugden|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208||Walkover Win|Jakub Horak|Mia Tarcalova|Walkover Loss|Josip Meglić|Inga Sadaić|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:44|22|Nicolas Rudolf|Serena Au Yeong|20|Patryk Kordek|Szubert Karolina|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:44|18|Nicolas Rudolf|Serena Au Yeong|21|Patryk Kordek|Szubert Karolina|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:44|21|Nicolas Rudolf|Serena Au Yeong|18|Patryk Kordek|Szubert Karolina|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Joao Chang|Teresa Lopes|17|Borna Vadlja|Barbara Janičić|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Joao Chang|Teresa Lopes|9|Borna Vadlja|Barbara Janičić|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:36|21|Mihajlo Tomic|Sara Loncar|14|Andrej Antoska|Alexandra Remenova|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:36|19|Mihajlo Tomic|Sara Loncar|21|Andrej Antoska|Alexandra Remenova|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:36|21|Mihajlo Tomic|Sara Loncar|19|Andrej Antoska|Alexandra Remenova|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Adam Pringle|Rachel Andrew|10|Daniel Popescu|Loredana Lungu|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Adam Pringle|Rachel Andrew|7|Daniel Popescu|Loredana Lungu|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Vít Kulíšek|Valentýna Sonnková|11|Klemen Lesničar|Neza Frank|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Vít Kulíšek|Valentýna Sonnková|16|Klemen Lesničar|Neza Frank|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:27|21|Tomáš Švejda|Kateřina Zuzáková|19|Szymon Stokfisz [4]|Magdalena Kulska|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:27|21|Tomáš Švejda|Kateřina Zuzáková|11|Szymon Stokfisz [4]|Magdalena Kulska|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:18|21|Domen Lonzarič|Zala Žuran|8|Luka Grubić|Mia Čerjan|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:18|21|Domen Lonzarič|Zala Žuran|10|Luka Grubić|Mia Čerjan|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Minh Quang Pham|Milena Schnider|10|Sebestyen Nagy|Petra Meszaros|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:22|21|Minh Quang Pham|Milena Schnider|16|Sebestyen Nagy|Petra Meszaros|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Blaž Smrkolj|Nike Brajkovič|17|Wiktor Trecki [3]|Zuzanna Parysz|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Blaž Smrkolj|Nike Brajkovič|19|Wiktor Trecki [3]|Zuzanna Parysz|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Jan Viktora|Tereza Kobyláková|15|Erik Bartos|Alzbeta Perunska|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Jan Viktora|Tereza Kobyláková|12|Erik Bartos|Alzbeta Perunska|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Ian Spiller |Petra Polanc|18|Simon Ofner|Raphaela Winkler|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Ian Spiller |Petra Polanc|5|Simon Ofner|Raphaela Winkler|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Kilian Meusburger|Sabrina Herbst|7|Miha Masten|Marusa Vračar|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:20|21|Kilian Meusburger|Sabrina Herbst|14|Miha Masten|Marusa Vračar|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|doubles
20180208|0:18|21|Rafael Gavois|none|12|Lukša Zlošilo|none|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|singles
20180208|0:18|21|Rafael Gavois|none|8|Lukša Zlošilo|none|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|singles
20180208||Walkover Win|Andrei Don|none|Walkover Loss|Francisco Oliveira|none|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|singles
20180208||Walkover Win|Nicolas Rudolf|none|Walkover Loss|Gergely Szita|none|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|singles
20180208|0:18|21|Joao Chang|none|11|Matyas Spiesz|none|94F45B03-8233-402A-A8B6-9FEEC0EE24B0|singles
