date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171204|0:13|21|Joshua Banda|none|10|Kenny Chisi|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:13|21|Joshua Banda|none|9|Kenny Chisi|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|22|James Miyambo|none|20|Moffat Masina|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|10|James Miyambo|none|21|Moffat Masina|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|21|James Miyambo|none|16|Moffat Masina|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:20|21|Robert Bwalya|none|15|Fred Simabambaya|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:20|21|Robert Bwalya|none|15|Fred Simabambaya|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:20|21|Nathan Bwalya Chishimba|none|16|Charles Banda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:20|21|Nathan Bwalya Chishimba|none|17|Charles Banda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|21|Gillan Katunasa|none|19|James Tembo|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|18|Gillan Katunasa|none|21|James Tembo|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:30|21|Gillan Katunasa|none|18|James Tembo|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:22|21|Ashton Kafunda|none|19|Owen Malela|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:22|12|Ashton Kafunda|none|21|Owen Malela|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:22|21|Ashton Kafunda|none|16|Owen Malela|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:15|21|Joshua Banda|none|12|Abraham Likala|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:15|21|Joshua Banda|none|13|Abraham Likala|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:11|21|Gilbert Mwiya|none|3|Martin Zulu|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:11|21|Gilbert Mwiya|none|7|Martin Zulu|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|22|James Miyambo|none|20|Jobline Kalandanya|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|21|James Miyambo|none|23|Jobline Kalandanya|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|21|James Miyambo|none|14|Jobline Kalandanya|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|14|Robert Bwalya|none|21|Moses Banda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|22|Robert Bwalya|none|20|Moses Banda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:23|21|Robert Bwalya|none|18|Moses Banda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|21|Nathan Bwalya Chishimba|none|17|Peter Zulu|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|17|Nathan Bwalya Chishimba|none|21|Peter Zulu|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|21|Nathan Bwalya Chishimba|none|16|Peter Zulu|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:18|21|Gillan Katunasa|none|15|Badara Nchimunya Mudenda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:18|21|Gillan Katunasa|none|15|Badara Nchimunya Mudenda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|20|Bwalya Chanda|none|22|Bright Kunda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|21|Bwalya Chanda|none|15|Bright Kunda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:35|21|Bwalya Chanda|none|13|Bright Kunda|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
20171204|0:08|21|Annet Njobvu|none|5|Janet Mwelwa|none|97287887-26F8-42CD-87A6-F9D9399EEAC7|singles
