date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181017|0:02|26|Jan-Niklas Pott|Helle Sofie Sagøy|24|Colin Leslie|Cathrine Rosengren|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:02|21|Jan-Niklas Pott|Helle Sofie Sagøy|11|Colin Leslie|Cathrine Rosengren|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:02|21|Rogério Júnior Xavier De Oliveira|Mary Wilson|7|Oleksandr Chyrkov|Ivanna Redka|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:02|23|Rogério Júnior Xavier De Oliveira|Mary Wilson|21|Oleksandr Chyrkov|Ivanna Redka|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Sukant Kadam |none|13|Rafiu Oyebanji Bello|none|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|singles
20181017|0:10|21|Sukant Kadam |none|19|Rafiu Oyebanji Bello|none|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|singles
20181017|0:10|21|Rickard Nilsson |none|5|Diogo Daniel|none|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|singles
20181017|0:10|21|Rickard Nilsson |none|10|Diogo Daniel|none|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|singles
20181017|0:10|21|Young-Chin Mi |Valeska Knoblauch|8|Jakub Sikorski|Ammu Mohan|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Young-Chin Mi |Valeska Knoblauch|5|Jakub Sikorski|Ammu Mohan|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|17|Marcelo Alves Conceição |Marcela Quinteros|21|Gobi Ranganathan|Henriett Koósz|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Marcelo Alves Conceição |Marcela Quinteros|7|Gobi Ranganathan|Henriett Koósz|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Marcelo Alves Conceição |Marcela Quinteros|13|Gobi Ranganathan|Henriett Koósz|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Marc Elmer |Elke Rongen|17|Harri Isomäki|Shaimaa Samy Abdellatif Gaber|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:10|21|Marc Elmer |Elke Rongen|6|Harri Isomäki|Shaimaa Samy Abdellatif Gaber|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|doubles
20181017|0:57|13|Marcel Adam|none|21|Pascal Lapointe|none|98FEFCF5-3BBF-4DC8-BFE0-B2F140F3C7AA|singles
