date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170615|0:21|21|Randriamalala Julio Keman|none|16|Kamlesh Bhoyroo|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:21|21|Randriamalala Julio Keman|none|15|Kamlesh Bhoyroo|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:15|21|Mohamed Ajfan Rasheed|none|2|Abdul Zaheer Beebeejaun|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:15|21|Mohamed Ajfan Rasheed|none|3|Abdul Zaheer Beebeejaun|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Hemraj Shibchurn|none|7|Narasimha Reddy Ramavathu|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Hemraj Shibchurn|none|9|Narasimha Reddy Ramavathu|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Giovanni Toti|none|2|Ved Callychurn|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Giovanni Toti|none|4|Ved Callychurn|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:30|15|Mevan Dewoo |none|21|Helvin Arnachellum|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:30|21|Mevan Dewoo |none|13|Helvin Arnachellum|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:30|21|Mevan Dewoo |none|8|Helvin Arnachellum|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|David Lo Yuen Cheong|none|15|Sulaiman Essackjee|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|David Lo Yuen Cheong|none|18|Sulaiman Essackjee|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:30|23|Ahmed Nibal|none|21|Faadil Sayed [6]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:30|21|Ahmed Nibal|none|19|Faadil Sayed [6]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:19|21|Nevin Lufor |none|4|Suhaib Khodabocus|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:19|21|Nevin Lufor |none|5|Suhaib Khodabocus|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:16|21|Soobhan Ajmeer|none|8|Sadashayanand Dumree|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:16|21|Soobhan Ajmeer|none|13|Sadashayanand Dumree|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:25|21|Soogun Z |none|17|Mohamed Arsalaan Ali|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:25|21|Soogun Z |none|17|Mohamed Arsalaan Ali|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Eric Renel |none|13|Janess Rujkoomar|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:18|21|Eric Renel |none|14|Janess Rujkoomar|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:25|21|Andrew Seeruthun|none|10|Kesaven Veerapen|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:25|21|Andrew Seeruthun|none|8|Kesaven Veerapen|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Adrian George|none|12|Giresh Kumar Rampersand [4]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Adrian George|none|19|Giresh Kumar Rampersand [4]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:22|21|Terry Sebastien Amedee|none|17|Ranbir Choolun [7]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:22|21|Terry Sebastien Amedee|none|8|Ranbir Choolun [7]|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Daren Pachee|none|7|Kooshal Pursun|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Daren Pachee|none|6|Kooshal Pursun|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Tamesh Dookhee |none|19|Ravin Anthi-Iya|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
20170615|0:20|21|Tamesh Dookhee |none|16|Ravin Anthi-Iya|none|9CDEA8C7-5471-4C50-BB6F-CCE6BD565858|singles
