date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140905|0:19|11|Sean Leith|Rebecca Getty|7|Jack Davies|Emily Darby|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:19|10|Sean Leith|Rebecca Getty|11|Jack Davies|Emily Darby|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:19|11|Sean Leith|Rebecca Getty|6|Jack Davies|Emily Darby|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:19|11|Sean Leith|Rebecca Getty|7|Jack Davies|Emily Darby|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:15|11|Tobias Kunzi|Chantal Von Rotz|3|Curtis Presho|Megan Bredin|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:15|11|Tobias Kunzi|Chantal Von Rotz|10|Curtis Presho|Megan Bredin|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:15|11|Tobias Kunzi|Chantal Von Rotz|5|Curtis Presho|Megan Bredin|A2525421-DF5E-4E2B-96EF-385836EBA9F8|doubles
20140905|0:29|11|Sam Mckay|none|9|Sean Chal|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:29|11|Sam Mckay|none|8|Sean Chal|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:29|9|Sam Mckay|none|11|Sean Chal|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:29|11|Sam Mckay|none|10|Sean Chal|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Flurin Furrer|none|5|Liam Pingree|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Flurin Furrer|none|5|Liam Pingree|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Flurin Furrer|none|4|Liam Pingree|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:21|10|Adam Šařec|none|11|Silvan Furrer|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:21|11|Adam Šařec|none|5|Silvan Furrer|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:21|11|Adam Šařec|none|10|Silvan Furrer|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:21|11|Adam Šařec|none|9|Silvan Furrer|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:11|11|Luke Pearce|none|8|Callum Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:11|11|Luke Pearce|none|0|Callum Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:11|11|Luke Pearce|none|6|Callum Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:14|11|Wolfgang Gnedt |none|3|Royal Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:14|11|Wolfgang Gnedt |none|3|Royal Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:14|11|Wolfgang Gnedt |none|0|Royal Thomas|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Benjamin Richard Gallgaher-Lynch|none|9|Marek Kufa|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|7|Benjamin Richard Gallgaher-Lynch|none|11|Marek Kufa|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Benjamin Richard Gallgaher-Lynch|none|7|Marek Kufa|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
20140905|0:20|11|Benjamin Richard Gallgaher-Lynch|none|10|Marek Kufa|none|A2525421-DF5E-4E2B-96EF-385836EBA9F8|singles
