date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180801|0:28|21|Oleg Amosov|none|16|Yevhenii Stolovoi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:28|21|Oleg Amosov|none|16|Yevhenii Stolovoi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:30|23|Dmytro Sinitsa|none|21|Nawaf Alghamdi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:30|21|Dmytro Sinitsa|none|15|Nawaf Alghamdi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:23|21|Danylo Skrynnik|none|8|Muath Alghamdi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:23|21|Danylo Skrynnik|none|14|Muath Alghamdi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:20|21|Danylo Shevchenko|none|5|Nikita Filipenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:20|21|Danylo Shevchenko|none|15|Nikita Filipenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:23|21|Bogdan Deremeshko|none|12|Mykola Kozubenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:23|21|Bogdan Deremeshko|none|11|Mykola Kozubenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:18|21|Igor Kalinichenko|none|4|Abdullah Alharthi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:18|21|Igor Kalinichenko|none|12|Abdullah Alharthi|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801||Walkover Win|Harry Morgan|none|Walkover Loss|Danylo Burkovskiy|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801||Walkover Win|Andrei Don|none|Walkover Loss|Volodymyr Repiakh|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:18|21|Ivan Skurikhin|none|7|Vladyslav Yemets|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:18|21|Ivan Skurikhin|none|4|Vladyslav Yemets|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:17|21|Oleksii Titov|none|10|Abdulaziz Alothman|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:17|21|Oleksii Titov|none|17|Abdulaziz Alothman|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:15|21|Artem Nosov|none|2|Anton Fuen-Jan-Then|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:15|21|Artem Nosov|none|3|Anton Fuen-Jan-Then|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801||Walkover Win|Ivan Tryskyba|none|Walkover Loss|Andrei Terentiev|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:15|21|Anastasiia Prokopovych|none|16|Oleksandra Kiselyova|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:15|21|Anastasiia Prokopovych|none|9|Oleksandra Kiselyova|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:27|21|Varvara Frolova|none|19|Yuliia Miroshnychenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
20180801|0:27|21|Varvara Frolova|none|19|Yuliia Miroshnychenko|none|A3A785DC-F786-4B08-93A2-D84510A11994|singles
