date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140117|0:17|21|Jiri Louda|Magdalena Lajdova|19|Richard Smatlak|Katarina Vargova|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:17|21|Jiri Louda|Magdalena Lajdova|8|Richard Smatlak|Katarina Vargova|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:24|21|Piotr Wasiluk|Karolina Janowska|16|Maksym Kosovan|Vladyslava Lesnaya|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:24|21|Piotr Wasiluk|Karolina Janowska|18|Maksym Kosovan|Vladyslava Lesnaya|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:38|17|Jan Hubacek|Dominika Kurzova|21|Kristaps Janis Gulbis|Jekaterina Romanova|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:38|21|Jan Hubacek|Dominika Kurzova|18|Kristaps Janis Gulbis|Jekaterina Romanova|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:38|21|Jan Hubacek|Dominika Kurzova|12|Kristaps Janis Gulbis|Jekaterina Romanova|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:20|21|Jimmy Noblecourt|Flavie Souillard|15|Miha Ivanic|Ema Cizelj|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:20|22|Jimmy Noblecourt|Flavie Souillard|20|Miha Ivanic|Ema Cizelj|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:25|21|Dominik Ziętek|Paulina Kaczorowska|16|Heiko Zoober|Helina Rüütel|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:25|22|Dominik Ziętek|Paulina Kaczorowska|20|Heiko Zoober|Helina Rüütel|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:36|21|Jan Louda|Kristyna Brunatova|10|Aleksander Jabłoński|Kornelia Marczak|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:36|17|Jan Louda|Kristyna Brunatova|21|Aleksander Jabłoński|Kornelia Marczak|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:36|21|Jan Louda|Kristyna Brunatova|18|Aleksander Jabłoński|Kornelia Marczak|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:40|16|Jan Somerlik|Dominika Budzelova|21|Andrej Serov|Janine Lais|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
20140117|0:40|21|Jan Somerlik|Dominika Budzelova|15|Andrej Serov|Janine Lais|A42C1375-5F43-420B-9329-39AC72B7B7C8|doubles
