date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181016|0:35|21|Ferneel Hazael Sompie|Freeisy Ester Sompie|14|Eng Keat Wesley Koh|Xiao Fei Ashley Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:35|19|Ferneel Hazael Sompie|Freeisy Ester Sompie|21|Eng Keat Wesley Koh|Xiao Fei Ashley Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:35|21|Ferneel Hazael Sompie|Freeisy Ester Sompie|14|Eng Keat Wesley Koh|Xiao Fei Ashley Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:34|24|Chooi Kah Ming|Wan Win Ng|22|Han Zhuo Toh|Zhi Rui Bernice Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:34|10|Chooi Kah Ming|Wan Win Ng|21|Han Zhuo Toh|Zhi Rui Bernice Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:34|21|Chooi Kah Ming|Wan Win Ng|13|Han Zhuo Toh|Zhi Rui Bernice Lim|A45AFC65-1A62-43FB-B63F-4C40447056F2|doubles
20181016|0:31|21|Chan Yin Chak |none|16|Muhammad Naim Ahmad Fairuzly|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:31|21|Chan Yin Chak |none|9|Muhammad Naim Ahmad Fairuzly|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:45|21|Muhammad Sufiyuddin Mohamed Shafei|none|19|Jaspar Woon Chai Yu|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:45|21|Muhammad Sufiyuddin Mohamed Shafei|none|23|Jaspar Woon Chai Yu|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:45|21|Muhammad Sufiyuddin Mohamed Shafei|none|8|Jaspar Woon Chai Yu|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:40|21|Muhammad Imran Khan |none|17|Eveshgaran Vasigaran|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:40|24|Muhammad Imran Khan |none|22|Eveshgaran Vasigaran|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:47|21|Chin Yong Chian|none|17|Kachain Buarung|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:47|12|Chin Yong Chian|none|21|Kachain Buarung|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:47|21|Chin Yong Chian|none|17|Kachain Buarung|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
20181016|0:22|21|Datu Mohd Shah Eizlan Sardik|none|12|Tejraj Pultoo|none|A45AFC65-1A62-43FB-B63F-4C40447056F2|singles
