date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180824|0:25|21|Leonid Stojanov|none|19|Aleksander Nestorov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:25|21|Leonid Stojanov|none|12|Aleksander Nestorov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:23|21|Giuseppe Terny|none|13|Theodoros Papadopoulos|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:23|21|Giuseppe Terny|none|7|Theodoros Papadopoulos|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:16|21|Nikolaos Athanasopoulos|none|11|Stilian Merdzhanov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:16|21|Nikolaos Athanasopoulos|none|9|Stilian Merdzhanov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:38|21|Mihnea Craciun|none|17|Artur Manukian|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:38|15|Mihnea Craciun|none|21|Artur Manukian|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:38|21|Mihnea Craciun|none|10|Artur Manukian|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:23|21|Artur Pechenkin|none|12|Stivan Nikolaev|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:23|21|Artur Pechenkin|none|13|Stivan Nikolaev|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:21|21|Baris Ozkan|none|9|Georgi Dimov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:21|21|Baris Ozkan|none|18|Georgi Dimov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:25|21|Kristian Dukov|none|14|Hristo Yordanov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:25|21|Kristian Dukov|none|19|Hristo Yordanov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:30|21|Evgeni Panev|none|13|Teodor Ioan Cioroboiu|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:30|21|Evgeni Panev|none|7|Teodor Ioan Cioroboiu|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
20180824|0:38|21|Hakan Muhsin Hocaoğullari|none|16|Pavel Dimitrov|none|A5C72616-CDA7-4063-B138-684ED0691CB5|singles
