date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160121||24|Kalle Koljonen |none|22|Daniel Ojaaar|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Kalle Koljonen |none|17|Daniel Ojaaar|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Rasmus Messerschmidt|none|7|Erik Angervall|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Rasmus Messerschmidt|none|9|Erik Angervall|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Anton Kaisti |none|17|Andy Tsai|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Anton Kaisti |none|12|Andy Tsai|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Luis Ramon Garrido |none|17|Jacob Nilsson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Luis Ramon Garrido |none|18|Jacob Nilsson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Mattias Borg |none|13|Alexandre Hammer|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Mattias Borg |none|19|Alexandre Hammer|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Henri Aarnio|none|10|Carl Harrbacka|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Henri Aarnio|none|9|Carl Harrbacka|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Hermansyah .|none|16|Mikael Westerback [11]|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||5|Hermansyah .|none|21|Mikael Westerback [11]|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Hermansyah .|none|10|Mikael Westerback [11]|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Mattias Borg |none|16|Vincent Medina|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Mattias Borg |none|10|Vincent Medina|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Henri Aarnio|none|12|Sakti Kusuma|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Henri Aarnio|none|11|Sakti Kusuma|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Julie Dawall Jakobsen|none|11|Johanna Magnusson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Julie Dawall Jakobsen|none|15|Johanna Magnusson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Isabel Fernandez|none|14|Rebecka Kuhl|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||18|Isabel Fernandez|none|21|Rebecka Kuhl|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Isabel Fernandez|none|16|Rebecka Kuhl|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Nick Fransman |none|16|Pit Seng Low|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Nick Fransman |none|8|Pit Seng Low|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Chang Ya Lan|none|19|Elin Svensson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Chang Ya Lan|none|19|Elin Svensson|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||11|Anna Narel|none|4|Matilda Petersen|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||Walkover Win|Anna Narel|none|Walkover Loss|Matilda Petersen|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||22|Kalle Koljonen |none|20|Mikkel Enghøj|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Kalle Koljonen |none|8|Mikkel Enghøj|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Dinuka Karunaratna|none|15|Pierrick Cajot|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||24|Dinuka Karunaratna|none|22|Pierrick Cajot|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Pierrick Cajot|none|15|Martin Forssberg|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Pierrick Cajot|none|18|Martin Forssberg|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||21|Mikkel Enghøj|none|16|Albin Hjelm|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
20160121||19|Mikkel Enghøj|none|21|Albin Hjelm|none|A6189AA6-D097-49B9-B158-A84E7343EEC7|singles
