date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180926|0:31|21|Yonatan Linarez|none|15|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:31|13|Yonatan Linarez|none|21|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:31|21|Yonatan Linarez|none|8|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:20|21|Cleyson Nobre Santos|none|14|Nicolas Macias|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:20|21|Cleyson Nobre Santos|none|12|Nicolas Macias|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:17|21|Christopher Kan|none|15|Jose Espnoza|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:17|21|Christopher Kan|none|11|Jose Espnoza|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:44|17|Matteo Bellucci|none|21|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:44|21|Matteo Bellucci|none|14|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:44|21|Matteo Bellucci|none|15|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:25|21|Ruben Castellanos|none|11|Kyle Alexander Munoz Seixas|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:25|21|Ruben Castellanos|none|10|Kyle Alexander Munoz Seixas|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:24|21|Nelson Javier|none|9|Francisco Hau Liu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:24|21|Nelson Javier|none|10|Francisco Hau Liu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:21|21|Daniel Esteban Dieguez Escobar|none|6|Pedro Aguilar Gonzalez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:21|21|Daniel Esteban Dieguez Escobar|none|8|Pedro Aguilar Gonzalez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:26|21|Santiago De La Oliva Alzamora|none|14|Erwin Sarmiento|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:26|21|Santiago De La Oliva Alzamora|none|18|Erwin Sarmiento|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:26|21|Joshua Hurlburt-Yu|none|12|Carlos Daniel Albanes Cordon|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:26|21|Joshua Hurlburt-Yu|none|17|Carlos Daniel Albanes Cordon|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:47|21|Timothy Lam |none|14|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:47|16|Timothy Lam |none|21|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:47|21|Timothy Lam |none|17|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:30|21|Kyle Golding|none|16|Yeison Esleiter Del Cid Alvarez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:30|12|Kyle Golding|none|21|Yeison Esleiter Del Cid Alvarez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:30|21|Kyle Golding|none|14|Yeison Esleiter Del Cid Alvarez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926||Walkover Win|Humberto Aguirre Fajardo|none|Walkover Loss|Lucas Alves Pinto|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:15|21|Cleyson Nobre Santos|none|6|Christopher Kan|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:15|21|Cleyson Nobre Santos|none|11|Christopher Kan|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:38|18|Cesar Adonis Brito Gonzalez |none|21|Matteo Bellucci|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:38|21|Cesar Adonis Brito Gonzalez |none|11|Matteo Bellucci|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:38|21|Cesar Adonis Brito Gonzalez |none|17|Matteo Bellucci|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:32|21|Ruben Castellanos|none|12|Nelson Javier|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:32|21|Ruben Castellanos|none|13|Nelson Javier|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:29|21|Daniel Esteban Dieguez Escobar|none|4|Santiago De La Oliva Alzamora|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:29|21|Daniel Esteban Dieguez Escobar|none|17|Santiago De La Oliva Alzamora|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:29|22|Timothy Lam |none|20|Joshua Hurlburt-Yu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:29|21|Timothy Lam |none|17|Joshua Hurlburt-Yu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:40|9|Kyle Golding|none|21|Humberto Aguirre Fajardo|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:40|21|Kyle Golding|none|17|Humberto Aguirre Fajardo|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180926|0:40|21|Kyle Golding|none|19|Humberto Aguirre Fajardo|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:31|21|Yonatan Linarez|none|15|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:31|13|Yonatan Linarez|none|21|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:31|21|Yonatan Linarez|none|8|Antonio Emanuel Ortiz|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:20|21|Cleyson Nobre Santos|none|14|Nicolas Macias|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:20|21|Cleyson Nobre Santos|none|12|Nicolas Macias|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:17|21|Christopher Kan|none|15|Jose Espnoza|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:17|21|Christopher Kan|none|11|Jose Espnoza|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:44|17|Matteo Bellucci|none|21|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:44|21|Matteo Bellucci|none|14|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:44|21|Matteo Bellucci|none|15|Jose Luis Granados Morales|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:25|21|Ruben Castellanos|none|11|Kyle Alexander Munoz Seixas|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:25|21|Ruben Castellanos|none|10|Kyle Alexander Munoz Seixas|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:24|21|Nelson Javier|none|9|Francisco Hau Liu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:24|21|Nelson Javier|none|10|Francisco Hau Liu|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:21|21|Daniel Esteban Dieguez Escobar|none|6|Pedro Aguilar Gonzalez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:21|21|Daniel Esteban Dieguez Escobar|none|8|Pedro Aguilar Gonzalez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:26|21|Santiago De La Oliva Alzamora|none|14|Erwin Sarmiento|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:26|21|Santiago De La Oliva Alzamora|none|18|Erwin Sarmiento|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:26|21|Joshua Hurlburt-Yu|none|12|Carlos Daniel Albanes Cordon|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:26|21|Joshua Hurlburt-Yu|none|17|Carlos Daniel Albanes Cordon|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:47|21|Timothy Lam |none|14|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:47|16|Timothy Lam |none|21|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:47|21|Timothy Lam |none|17|Mathieu Morneau|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:30|21|Kyle Golding|none|16|Yeison Esleiter Del Cid Alvarez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
20180927|0:30|12|Kyle Golding|none|21|Yeison Esleiter Del Cid Alvarez|none|ABAC6FB2-6E72-4941-B9D2-50803FF01BF7|singles
