date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150113|0:23|21|Setthanan Piyawatcharavijit|none|13|Peeranut Sangsomporn|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:23|21|Setthanan Piyawatcharavijit|none|15|Peeranut Sangsomporn|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:25|21|Chun Cheng Chen|none|13|Piyapat Wannalee|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:25|21|Chun Cheng Chen|none|9|Piyapat Wannalee|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:25|21|Chenphop Chanphum|none|10|Thanakrit Phuraesri|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:25|21|Chenphop Chanphum|none|14|Thanakrit Phuraesri|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:17|21|Mek Narongrit |none|12|Phutanet Kessarin|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:17|21|Mek Narongrit |none|7|Phutanet Kessarin|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|21|Chaiyasit Sukasem|none|16|Sarinthorn Ingkasith|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|23|Chaiyasit Sukasem|none|21|Sarinthorn Ingkasith|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|21|Soravis Pijitpalakad|none|9|Natthanate Jenrod|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|21|Soravis Pijitpalakad|none|16|Natthanate Jenrod|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:30|21|Jia Wei Tan|none|14|Teerawin Phansirichod|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:30|21|Jia Wei Tan|none|9|Teerawin Phansirichod|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:16|21|Kantaphon Wangcharoen |none|7|Kunanon Promchienrut|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:16|21|Kantaphon Wangcharoen |none|5|Kunanon Promchienrut|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:22|21|Loismalvin Christian Andrianto|none|6|Sansoen Prasertsirakul|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:22|21|Loismalvin Christian Andrianto|none|8|Sansoen Prasertsirakul|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|17|Natthanan Phraengam|none|21|Panthorn Saengvanich|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|21|Natthanan Phraengam|none|15|Panthorn Saengvanich|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:33|21|Natthanan Phraengam|none|17|Panthorn Saengvanich|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:36|25|Chutiwat Plianpakdee|none|23|Su Po-Wei|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:36|21|Chutiwat Plianpakdee|none|17|Su Po-Wei|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:18|21|Zii Jia Lee |none|10|Thaneth Tarathikhamporn|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
20150113|0:18|21|Zii Jia Lee |none|7|Thaneth Tarathikhamporn|none|ADF8ACC5-9B14-46DD-B80C-28558D6E8218|singles
