date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141120|0:19|21|Emre Lale |none|9|Heming Lin|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:19|21|Emre Lale |none|12|Heming Lin|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:41|21|Manuel Vasquez|none|18|Mark Mohr Laursen Damgaard|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:41|7|Manuel Vasquez|none|21|Mark Mohr Laursen Damgaard|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:41|21|Manuel Vasquez|none|15|Mark Mohr Laursen Damgaard|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:24|21|Jesse Lehtimaki|none|18|Che Leong Soong|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:24|21|Jesse Lehtimaki|none|18|Che Leong Soong|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:25|21|Mihkel Laanes|none|15|Pauli Saarinen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:25|21|Mihkel Laanes|none|17|Pauli Saarinen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:29|21|Muhammed Ali Kurt|none|13|Blai Ramirez|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:29|21|Muhammed Ali Kurt|none|17|Blai Ramirez|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120||Walkover Win|Daniel Martinez|none|Walkover Loss|Vladimir Nikulov|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:22|21|Baskjaer Mathias Moldt|none|13|Arttu Mahonen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:22|21|Baskjaer Mathias Moldt|none|7|Arttu Mahonen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120||Walkover Win|Roni Lyytinen|none|Walkover Loss|Vladimir Rusin [5]|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:40|18|Valtteri Nieminen|none|21|Huseyin Oruc|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:40|21|Valtteri Nieminen|none|4|Huseyin Oruc|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:40|18|Valtteri Nieminen|none|8|Huseyin Oruc|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:40|Walkover Win|Valtteri Nieminen|none|Walkover Loss|Huseyin Oruc|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:15|21|Victor Svendsen|none|5|Marcus Jansson|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:15|21|Victor Svendsen|none|7|Marcus Jansson|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:34|22|Joel Eipe|none|24|Tommi Saksa|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:34|21|Joel Eipe|none|8|Tommi Saksa|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:34|21|Joel Eipe|none|11|Tommi Saksa|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:23|21|Rasmus Rylander|none|10|Simon Knutsson|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:23|21|Rasmus Rylander|none|8|Simon Knutsson|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:20|21|Nikolaj Persson|none|7|Heikki Vaisanen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:20|21|Nikolaj Persson|none|13|Heikki Vaisanen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:36|21|Swierczynski Mateusz|none|4|Sami Pajunen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:36|5|Swierczynski Mateusz|none|21|Sami Pajunen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:36|21|Swierczynski Mateusz|none|12|Sami Pajunen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:20|21|Rasmus Thier|none|10|Boxiao Pan|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:20|21|Rasmus Thier|none|10|Boxiao Pan|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:28|21|Anders Antonsen|none|15|Arto Lahtinen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:28|21|Anders Antonsen|none|6|Arto Lahtinen|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
20141120|0:24|21|Philip Seerup|none|6|Christopher Massey|none|AE183B12-107E-4926-9E87-5D708CB63E96|singles
