date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171013||20|Natasja P. Anthonisen|Joachim Anneberg|22|Sofia Macsali|Jonas Østhassel|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Natasja P. Anthonisen|Joachim Anneberg|7|Sofia Macsali|Jonas Østhassel|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Natasja P. Anthonisen|Joachim Anneberg|12|Sofia Macsali|Jonas Østhassel|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Mathilde Houe|Oliver Ørum-Petersen|8|Xenia Kölmel|Bennet Peters|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Mathilde Houe|Oliver Ørum-Petersen|10|Xenia Kölmel|Bennet Peters|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Nele Swerts Knudsen|Mouritz Troels Munk|14|Alexandra Oprisan|Toby Leung|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Nele Swerts Knudsen|Mouritz Troels Munk|18|Alexandra Oprisan|Toby Leung|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Emilie Ravn|Casper Thyrring|14|Flavie Vallet|Calixte Courbon|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||23|Emilie Ravn|Casper Thyrring|21|Flavie Vallet|Calixte Courbon|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||18|Maria Leith|Josh Mckay|21|Jenny Rajkumar|Danila Gataullin|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Maria Leith|Josh Mckay|18|Jenny Rajkumar|Danila Gataullin|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Maria Leith|Josh Mckay|15|Jenny Rajkumar|Danila Gataullin|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||23|Miranda Johansson|Max Svensson|21|Kiara Henry|Jack Taylor|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||22|Miranda Johansson|Max Svensson|20|Kiara Henry|Jack Taylor|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Maria Kuse|Leander Adam|11|Erin Waddell|Callum Smith|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Maria Kuse|Leander Adam|12|Erin Waddell|Callum Smith|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Jannica Monnberg|Joakim Oldorff|14|Clara Paoli|Thomas Fourcade|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||29|Jannica Monnberg|Joakim Oldorff|27|Clara Paoli|Thomas Fourcade|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Cecilia Wang|Joel Hansson|8|Marie Mørk|Jonas Tønnesen|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||21|Cecilia Wang|Joel Hansson|7|Marie Mørk|Jonas Tønnesen|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
20171013||22|Lisa Gagelin|Yanis Gaudin|20|Judith Mair|Marco Bailetti|B29231A3-60B6-4491-9892-0E6AE760D2E8|doubles
