date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171102|0:29|21|Emil Lauritzen|Anne Fuglsang|9|Timo Stoffelen|Kelly Van Buiten|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:29|21|Emil Lauritzen|Anne Fuglsang|19|Timo Stoffelen|Kelly Van Buiten|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:40|20|Philip Skou Ernstsen|Julie Gundertofte|22|Andreas Zbinden|Cera Samuels|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:40|21|Philip Skou Ernstsen|Julie Gundertofte|13|Andreas Zbinden|Cera Samuels|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:40|21|Philip Skou Ernstsen|Julie Gundertofte|13|Andreas Zbinden|Cera Samuels|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:33|21|David Hong|Molly Chapman|12|Christian Kepp Stennicke|Anne Gyde|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:33|21|David Hong|Molly Chapman|15|Christian Kepp Stennicke|Anne Gyde|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:50|19|Tobias Middelbo Eigtved|Eva Pedersen|21|Melker Z-Bexell|Lydia Demetriades|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:50|21|Tobias Middelbo Eigtved|Eva Pedersen|18|Melker Z-Bexell|Lydia Demetriades|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:50|21|Tobias Middelbo Eigtved|Eva Pedersen|14|Melker Z-Bexell|Lydia Demetriades|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:49|21|Gijs Duijs|Alyssa Tirtosentono|19|Oliver Kiner|Jenni Olesen|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:49|12|Gijs Duijs|Alyssa Tirtosentono|21|Oliver Kiner|Jenni Olesen|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:49|21|Gijs Duijs|Alyssa Tirtosentono|15|Oliver Kiner|Jenni Olesen|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:34|21|Jack Macgregor|Basia Grodynska|11|Andreas Bøgebjerg|Louise Thorsager|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:34|25|Jack Macgregor|Basia Grodynska|23|Andreas Bøgebjerg|Louise Thorsager|B53308A3-09D6-4631-806B-BD5AC1416E39|doubles
20171102|0:34|21|Philip Illum Klindt|none|11|Brian Holtschke|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
20171102|0:34|21|Philip Illum Klindt|none|15|Brian Holtschke|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
20171102|0:25|21|Philip Skou Ernstsen|none|11|Andy Schneider|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
20171102|0:25|21|Philip Skou Ernstsen|none|11|Andy Schneider|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
20171102|0:44|17|Ethan Van Leeuwen|none|21|Nicklas Vinter Pedersen|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
20171102|0:44|21|Ethan Van Leeuwen|none|18|Nicklas Vinter Pedersen|none|B53308A3-09D6-4631-806B-BD5AC1416E39|singles
