date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181123|0:40|21|David Brandt|Sofie Nyvang|13|Jiří Vajsejtl|Soňa Hořínková|B69D7720-F8B0-468E-BB35-047C3D9D341A|doubles
20181123|0:40|21|David Brandt|Sofie Nyvang|23|Jiří Vajsejtl|Soňa Hořínková|B69D7720-F8B0-468E-BB35-047C3D9D341A|doubles
20181123|0:40|21|David Brandt|Sofie Nyvang|12|Jiří Vajsejtl|Soňa Hořínková|B69D7720-F8B0-468E-BB35-047C3D9D341A|doubles
20181123|0:19|21|Theo Vaur|Emilie Vercelot|9|Luka Grubić|Mia Čerjan|B69D7720-F8B0-468E-BB35-047C3D9D341A|doubles
20181123|0:19|21|Theo Vaur|Emilie Vercelot|15|Luka Grubić|Mia Čerjan|B69D7720-F8B0-468E-BB35-047C3D9D341A|doubles
20181123|0:13|21|Tadeáš Brázda|none|8|Jakub Waloszek|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:13|21|Tadeáš Brázda|none|6|Jakub Waloszek|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:23|21|Thomas Fourcade |none|14|Ivan Skurikhin|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:23|21|Thomas Fourcade |none|12|Ivan Skurikhin|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:28|21|Christian Kepp Stennicke|none|18|Martin Dostál|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:28|21|Christian Kepp Stennicke|none|18|Martin Dostál|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:16|21|Brian Holtschke |none|4|Martin Chumchal|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:16|21|Brian Holtschke |none|4|Martin Chumchal|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:31|21|Mikhail Shepyrev|none|17|Josip Meglić [6]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:31|21|Mikhail Shepyrev|none|19|Josip Meglić [6]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:20|21|Borna Vadlja|none|13|Michal Urban|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:20|21|Borna Vadlja|none|17|Michal Urban|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:41|18|Adam Ehm|none|21|Lenny Sudarma [10]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:41|21|Adam Ehm|none|11|Lenny Sudarma [10]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:41|21|Adam Ehm|none|15|Lenny Sudarma [10]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Amaury Lievre|none|10|Piotr Wiercigroch|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Amaury Lievre|none|12|Piotr Wiercigroch|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:32|21|Leo Van Gysel|none|19|Alvaro Leal [3]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:32|21|Leo Van Gysel|none|16|Alvaro Leal [3]|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:15|21|Tony Lindelöf|none|2|Mykhailo Selivanov|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:15|21|Tony Lindelöf|none|10|Mykhailo Selivanov|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Georgii Lebedev |none|5|Vratislav Erhart|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Georgii Lebedev |none|9|Vratislav Erhart|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:38|21|Yevhen Kobzar|none|18|Vsevolod Pchelintsev|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:38|21|Yevhen Kobzar|none|16|Vsevolod Pchelintsev|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:36|21|Zsombor Dulcz |none|11|David Smutný|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:36|17|Zsombor Dulcz |none|21|David Smutný|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:36|21|Zsombor Dulcz |none|5|David Smutný|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:37|21|Matěj Ehm|none|15|Martin Slíva|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:37|17|Matěj Ehm|none|21|Martin Slíva|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:37|22|Matěj Ehm|none|20|Martin Slíva|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:22|21|Mikolaj Piorkowski|none|12|Adam Šulc|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:22|21|Mikolaj Piorkowski|none|8|Adam Šulc|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:25|21|Simon Ofner |none|13|Jakub Láznička|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:25|22|Simon Ofner |none|20|Jakub Láznička|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Kaylan Jensen|none|9|Lukáš Franek|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:18|21|Kaylan Jensen|none|11|Lukáš Franek|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:23|21|Clement Allain |none|11|Gustav Andree|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:23|21|Clement Allain |none|7|Gustav Andree|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:22|21|Alina Busygina|none|18|Soňa Hořínková|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:22|21|Alina Busygina|none|16|Soňa Hořínková|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:21|21|Marek Aubus |none|11|Luka Grubić|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:21|21|Marek Aubus |none|11|Luka Grubić|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
20181123|0:39|20|Aleksei Shestirko|none|22|Dominik Kopřiva|none|B69D7720-F8B0-468E-BB35-047C3D9D341A|singles
