date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170323|0:24|21|Varun Kapur |none|12|Ares Kattirtzi|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:24|21|Varun Kapur |none|13|Ares Kattirtzi|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:29|21|Idan Schneidman |none|12|Constantinos Symeonides|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:29|21|Idan Schneidman |none|19|Constantinos Symeonides|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:20|21|Artem Nosov |none|4|Idan Silvester|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:20|21|Artem Nosov |none|4|Idan Silvester|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:18|21|Alex Dillingham |none|6|Manin Bohdan|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:18|21|Alex Dillingham |none|3|Manin Bohdan|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|21|Constantinos Hadjigeorgiou|none|13|Mark Aronchik|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|21|Constantinos Hadjigeorgiou|none|23|Mark Aronchik|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|21|Constantinos Hadjigeorgiou|none|17|Mark Aronchik|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:26|21|Guy Moses|none|14|Andreas Mestanas|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:26|21|Guy Moses|none|16|Andreas Mestanas|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|24|Kirill Perstenkov|none|22|Nikolay Alexandrov [5/8]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|18|Kirill Perstenkov|none|21|Nikolay Alexandrov [5/8]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:43|21|Kirill Perstenkov|none|16|Nikolay Alexandrov [5/8]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:22|21|Eyal Hochman|none|12|Antoni Podkański [5/8]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:22|21|Eyal Hochman|none|9|Antoni Podkański [5/8]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:18|21|Veranika Tarusava |none|3|Ioanna Alexandrou|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:18|21|Veranika Tarusava |none|4|Ioanna Alexandrou|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:19|21|Heli Neiman |none|10|Teona Batiashvili|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:19|21|Heli Neiman |none|3|Teona Batiashvili|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:37|21|Weronika Szemplinska |none|16|Maria Khachaturyan|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:37|7|Weronika Szemplinska |none|21|Maria Khachaturyan|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:37|21|Weronika Szemplinska |none|13|Maria Khachaturyan|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:27|21|Anastasiia Kosenchuk|none|10|Panayiota Hadjiantoni [3/4]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
20170323|0:27|21|Anastasiia Kosenchuk|none|17|Panayiota Hadjiantoni [3/4]|none|B7FB449B-B277-4615-8BC7-252AE98758BA|singles
