date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190215|0:22|21|Kobe Huyghe|Lotte Geerts|17|Aris Kattirtzi|Chara Michael|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:22|21|Kobe Huyghe|Lotte Geerts|11|Aris Kattirtzi|Chara Michael|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Rens Lagrouw|Iris Van Leijsen|17|Simon Bailoni|Anna Maria Schneider|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Rens Lagrouw|Iris Van Leijsen|10|Simon Bailoni|Anna Maria Schneider|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:40|14|Edgar Roux|Andrea Ortuno|21|William Atkin|Lisa Curtin|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:40|21|Edgar Roux|Andrea Ortuno|18|William Atkin|Lisa Curtin|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:40|21|Edgar Roux|Andrea Ortuno|15|William Atkin|Lisa Curtin|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:24|21|Mathias Picard|Karla Henry|18|Armin Sarosi|Johanna Doppelreiter|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:24|21|Mathias Picard|Karla Henry|15|Armin Sarosi|Johanna Doppelreiter|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:38|22|Benjamin Kemp|Cara Collins|24|Marcos Rodriguez|Rio Abril|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:38|21|Benjamin Kemp|Cara Collins|14|Marcos Rodriguez|Rio Abril|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:38|21|Benjamin Kemp|Cara Collins|16|Marcos Rodriguez|Rio Abril|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Eric Ramstedt|Elin Boman|17|Wolf Hoebeke|Caitlyn De Bree|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Eric Ramstedt|Elin Boman|10|Wolf Hoebeke|Caitlyn De Bree|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:22|21|Simon Baron-Vezilier|Anouk Nambot|18|Liam Bauwens|Luisa Pagliara|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:22|21|Simon Baron-Vezilier|Anouk Nambot|14|Liam Bauwens|Luisa Pagliara|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:24|21|Arthur Wakhevitsch|Floriane Nurit|11|Jonathan Li|Kirsten De Wit|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:24|22|Arthur Wakhevitsch|Floriane Nurit|20|Jonathan Li|Kirsten De Wit|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:34|14|Martin Zuazola|Maria Otegui|21|Ivan Kovacevic|Marine Gassion|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:34|21|Martin Zuazola|Maria Otegui|19|Ivan Kovacevic|Marine Gassion|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:34|21|Martin Zuazola|Maria Otegui|18|Ivan Kovacevic|Marine Gassion|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:37|21|Aymeric Tores|Gwenhael Dolou|7|Wannes Soenen|Mare Van Britsom|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:37|20|Aymeric Tores|Gwenhael Dolou|22|Wannes Soenen|Mare Van Britsom|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:37|21|Aymeric Tores|Gwenhael Dolou|14|Wannes Soenen|Mare Van Britsom|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:42|21|Iljo Van Delsen|Lien Lammertyn|16|Nadeem Dalvi|Sophie Hillman|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:42|12|Iljo Van Delsen|Lien Lammertyn|21|Nadeem Dalvi|Sophie Hillman|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:42|21|Iljo Van Delsen|Lien Lammertyn|15|Nadeem Dalvi|Sophie Hillman|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:18|21|Tao Delorge|Kaena Ratelet|8|Adrian Joliat|Cloé Brand|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:18|21|Tao Delorge|Kaena Ratelet|10|Adrian Joliat|Cloé Brand|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Jonathan Dresp|Michelle Kanschik|11|Kimi Lovang|Noemie Poulbot|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:20|21|Jonathan Dresp|Michelle Kanschik|8|Kimi Lovang|Noemie Poulbot|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:19|21|Gil Fabre|Julie Manaranche|6|Til Gatzsche|Anna Mejikovskiy|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:19|21|Gil Fabre|Julie Manaranche|17|Til Gatzsche|Anna Mejikovskiy|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:26|22|Dyon Van Wijlick|Diede Odijk|20|Jaromir Fojtasek|Candela Antequera|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
20190215|0:26|21|Dyon Van Wijlick|Diede Odijk|13|Jaromir Fojtasek|Candela Antequera|B8F8BAE2-7000-4F74-B119-F353FE160C83|doubles
