date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141003|0:07|21|Nicolas Rudolf|none|5|Marin Hrženjak|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:07|21|Nicolas Rudolf|none|6|Marin Hrženjak|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:39|21|Ian Spiller|none|10|Lukša Zlošilo|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:39|21|Ian Spiller|none|9|Lukša Zlošilo|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:40|21|Yoan Gargov |none|10|Filip Bačić|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:40|21|Yoan Gargov |none|15|Filip Bačić|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:58|21|Tej Kolar|none|17|Jannik Maczejka|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:58|21|Tej Kolar|none|12|Jannik Maczejka|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|1:07|21|Luka Ban |none|14|Enrico Baroni|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|1:07|18|Luka Ban |none|21|Enrico Baroni|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|1:07|22|Luka Ban |none|20|Enrico Baroni|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:30|21|Kilian Meusburger|none|12|Tzvetomir Stoyanov|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:30|21|Kilian Meusburger|none|10|Tzvetomir Stoyanov|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:34|21|Dorian Cvijanović |none|15|Miha Arih|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:34|22|Dorian Cvijanović |none|20|Miha Arih|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:37|21|Simon Ofner|none|17|Yavor Yankov|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:37|21|Simon Ofner|none|15|Yavor Yankov|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:36|21|Dino Ivčević |none|17|Anej Cizelj|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:36|22|Dino Ivčević |none|20|Anej Cizelj|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:28|21|Patrik Burnić|none|19|Marco Baroni|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:28|21|Patrik Burnić|none|16|Marco Baroni|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:44|21|Iliyan Stoynov|none|10|Klemen Lesničar [5/8]|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:44|23|Iliyan Stoynov|none|25|Klemen Lesničar [5/8]|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:44|21|Iliyan Stoynov|none|11|Klemen Lesničar [5/8]|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:51|22|Daniel Witzmann|none|24|Tine Ivanič|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:51|23|Daniel Witzmann|none|21|Tine Ivanič|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:51|21|Daniel Witzmann|none|18|Tine Ivanič|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:31|21|Giovanni Toti|none|13|Luka Grubić [5/8]|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:31|21|Giovanni Toti|none|19|Luka Grubić [5/8]|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:46|18|Jaka Ivančič|none|21|Fran Pipunić|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:46|21|Jaka Ivančič|none|12|Fran Pipunić|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:46|21|Jaka Ivančič|none|19|Fran Pipunić|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003||Walkover Win|Josip Meglić |none|Walkover Loss|Paul Guggenbichler|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:27|21|Grega Šuštar|none|16|Daniel Schenk|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:27|21|Grega Šuštar|none|16|Daniel Schenk|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:27|21|Miha Ivančič |none|19|Yanko Hadjiev|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:27|23|Miha Ivančič |none|21|Yanko Hadjiev|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:25|21|Dominik Doko |none|16|Ajet Džemaili|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:25|21|Dominik Doko |none|16|Ajet Džemaili|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:24|21|Philipp Haidinger|none|14|Vid Babič|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
20141003|0:24|21|Philipp Haidinger|none|11|Vid Babič|none|BADE551A-2678-4D00-9906-02A6C62C1A3C|singles
