date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190307||21|Christopher Grimley|Eleanor O'Donnell|16|Robert Cybulski|Aleksandra Goszczynska|BB21DE20-7675-4401-AD16-485FEAD06DC2|doubles
20190307||15|Christopher Grimley|Eleanor O'Donnell|21|Robert Cybulski|Aleksandra Goszczynska|BB21DE20-7675-4401-AD16-485FEAD06DC2|doubles
20190307||21|Christopher Grimley|Eleanor O'Donnell|12|Robert Cybulski|Aleksandra Goszczynska|BB21DE20-7675-4401-AD16-485FEAD06DC2|doubles
20190307||21|Peter Correl|none|8|Ivan Panev|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Peter Correl|none|11|Ivan Panev|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|B. R. Sankeerth |none|12|Peyo Boichinov|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|B. R. Sankeerth |none|12|Peyo Boichinov|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Alvaro Vazquez|none|10|Joonas Korhonen|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Alvaro Vazquez|none|16|Joonas Korhonen|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||12|Collins Valentine Filimon |none|21|Mikkel Enghøj|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Collins Valentine Filimon |none|10|Mikkel Enghøj|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Collins Valentine Filimon |none|16|Mikkel Enghøj|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|David Kim|none|7|Adi Pratama|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||25|David Kim|none|23|Adi Pratama|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Dimitar Yanakiev |none|19|David Jones|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Dimitar Yanakiev |none|23|David Jones|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Dimitar Yanakiev |none|18|David Jones|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||22|Steven Stallwood|Lizzie Tolman|20|Jona Van Nieuwkerke|Flore Vandenhoucke|BB21DE20-7675-4401-AD16-485FEAD06DC2|doubles
20190307||21|Steven Stallwood|Lizzie Tolman|10|Jona Van Nieuwkerke|Flore Vandenhoucke|BB21DE20-7675-4401-AD16-485FEAD06DC2|doubles
20190307||21|Talar Laa|none|15|Johnnie Torjussen|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Talar Laa|none|16|Johnnie Torjussen|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Ditlev Jaeger Holm|none|8|Rowan Scheurkogel|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
20190307||21|Ditlev Jaeger Holm|none|17|Rowan Scheurkogel|none|BB21DE20-7675-4401-AD16-485FEAD06DC2|singles
