date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181018|0:23|21|Michelle Alexandra Guzman Moreno|none|7|Liseth Sosa|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:23|21|Michelle Alexandra Guzman Moreno|none|18|Liseth Sosa|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:22|21|Mendoza Daibelis|none|9|Megan Garrido|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:22|21|Mendoza Daibelis|none|7|Megan Garrido|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|19|Mileiky Acosta|none|21|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|21|Mileiky Acosta|none|14|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|21|Mileiky Acosta|none|19|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:19|21|Tiffany Sánchez|none|9|Kahina Lucero Vasquez Ferreras|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:19|21|Tiffany Sánchez|none|7|Kahina Lucero Vasquez Ferreras|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:26|21|Manuel Estefano Quijada Moreno|none|19|Esmerlin Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:26|23|Manuel Estefano Quijada Moreno|none|21|Esmerlin Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:42|21|Joiser Calanche|none|16|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:42|17|Joiser Calanche|none|21|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:42|21|Joiser Calanche|none|19|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:35|21|Daniel Antonio Acosta Hilario |none|10|Anthony Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:35|21|Daniel Antonio Acosta Hilario |none|13|Anthony Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:18|21|Nairoby Abigail Jimenez |none|11|Michelle Alexandra Guzman Moreno|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:18|21|Nairoby Abigail Jimenez |none|4|Michelle Alexandra Guzman Moreno|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|17|Mendoza Daibelis|none|21|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|21|Mendoza Daibelis|none|17|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:40|21|Mendoza Daibelis|none|9|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:14|21|Clarisa Pie|none|16|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:14|17|Clarisa Pie|none|21|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:14|2|Clarisa Pie|none|1|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:14|Walkover Win|Clarisa Pie|none|Walkover Loss|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:22|21|Tiffany Sánchez|none|8|Alisa Juleisy Acosta [2]|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:22|21|Tiffany Sánchez|none|10|Alisa Juleisy Acosta [2]|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181018|0:25|21|Nairoby Abigail Jimenez|Clarisa Pie|7|Daniela Acosta|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:25|21|Nairoby Abigail Jimenez|Clarisa Pie|18|Daniela Acosta|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:28|21|Mendoza Daibelis|Tiffany Sánchez|13|Michelle Alexandra Guzman Moreno|Kahina Lucero Vasquez Ferreras|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:28|21|Mendoza Daibelis|Tiffany Sánchez|11|Michelle Alexandra Guzman Moreno|Kahina Lucero Vasquez Ferreras|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:26|21|Manuel Estefano Quijada Moreno|Mendoza Daibelis|16|Esmerlin Ortiz|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:26|21|Manuel Estefano Quijada Moreno|Mendoza Daibelis|14|Esmerlin Ortiz|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:19|21|Joiser Calanche|Tiffany Sánchez|16|Jefry Peña|Alisa Juleisy Acosta|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181018|0:19|21|Joiser Calanche|Tiffany Sánchez|15|Jefry Peña|Alisa Juleisy Acosta|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181019|0:23|21|Michelle Alexandra Guzman Moreno|none|7|Liseth Sosa|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:23|21|Michelle Alexandra Guzman Moreno|none|18|Liseth Sosa|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:22|21|Mendoza Daibelis|none|9|Megan Garrido|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:22|21|Mendoza Daibelis|none|7|Megan Garrido|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|19|Mileiky Acosta|none|21|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|21|Mileiky Acosta|none|14|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|21|Mileiky Acosta|none|19|Daniela Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:19|21|Tiffany Sánchez|none|9|Kahina Lucero Vasquez Ferreras|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:19|21|Tiffany Sánchez|none|7|Kahina Lucero Vasquez Ferreras|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:26|21|Manuel Estefano Quijada Moreno|none|19|Esmerlin Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:26|23|Manuel Estefano Quijada Moreno|none|21|Esmerlin Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:42|21|Joiser Calanche|none|16|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:42|17|Joiser Calanche|none|21|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:42|21|Joiser Calanche|none|19|Jefry Peña|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:35|21|Daniel Antonio Acosta Hilario |none|10|Anthony Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:35|21|Daniel Antonio Acosta Hilario |none|13|Anthony Ortiz|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:18|21|Nairoby Abigail Jimenez |none|11|Michelle Alexandra Guzman Moreno|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:18|21|Nairoby Abigail Jimenez |none|4|Michelle Alexandra Guzman Moreno|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|17|Mendoza Daibelis|none|21|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|21|Mendoza Daibelis|none|17|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:40|21|Mendoza Daibelis|none|9|Lia Lockward|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:14|21|Clarisa Pie|none|16|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:14|17|Clarisa Pie|none|21|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:14|2|Clarisa Pie|none|1|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:14|Walkover Win|Clarisa Pie|none|Walkover Loss|Mileiky Acosta|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:22|21|Tiffany Sánchez|none|8|Alisa Juleisy Acosta [2]|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:22|21|Tiffany Sánchez|none|10|Alisa Juleisy Acosta [2]|none|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|singles
20181019|0:25|21|Nairoby Abigail Jimenez|Clarisa Pie|7|Daniela Acosta|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181019|0:25|21|Nairoby Abigail Jimenez|Clarisa Pie|18|Daniela Acosta|Liseth Sosa|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181019|0:28|21|Mendoza Daibelis|Tiffany Sánchez|13|Michelle Alexandra Guzman Moreno|Kahina Lucero Vasquez Ferreras|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
20181019|0:28|21|Mendoza Daibelis|Tiffany Sánchez|11|Michelle Alexandra Guzman Moreno|Kahina Lucero Vasquez Ferreras|BB74C907-D2B8-4010-97CD-AF4EEAF1C014|doubles
