date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171116|0:32|21|Mickey Lykkegren|none|13|Ikmal Hussain Jaafar|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:32|21|Mickey Lykkegren|none|16|Ikmal Hussain Jaafar|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Felix Nandin|none|12|Tobias Krømke|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Felix Nandin|none|14|Tobias Krømke|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:22|21|Peter Correl |none|11|Martin Forssberg|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:22|21|Peter Correl |none|7|Martin Forssberg|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Oskar Westerlund|none|14|Karl Ødegård|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Oskar Westerlund|none|10|Karl Ødegård|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:36|21|Andy Tsai |none|15|Mitchell Maynard|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:36|21|Andy Tsai |none|17|Mitchell Maynard|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:29|21|Daniel Gholiof|none|15|Jorgen Rosenlund|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:29|21|Daniel Gholiof|none|11|Jorgen Rosenlund|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:32|21|Oskar Johansson|none|11|Tovannakasem Samatcha [16]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:32|21|Oskar Johansson|none|19|Tovannakasem Samatcha [16]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|1:02|21|Jesper Toft|none|11|Talar Laa|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|1:02|21|Jesper Toft|none|23|Talar Laa|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|1:02|21|Jesper Toft|none|16|Talar Laa|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:26|21|Elias Nicolaou |none|16|Kristofer Darri Finnsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:26|21|Elias Nicolaou |none|19|Kristofer Darri Finnsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:33|21|Julien Scheiwiller|none|17|Jesper De Waal|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:33|21|Julien Scheiwiller|none|14|Jesper De Waal|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Torjus Flaatten|none|8|Max Gotfredsen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Torjus Flaatten|none|8|Max Gotfredsen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Joshua Eipe|none|7|Ole Herman Imset|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Joshua Eipe|none|14|Ole Herman Imset|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:32|21|Adrian Dziolko|none|13|Jeppe Bruun [8]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:32|21|Adrian Dziolko|none|16|Jeppe Bruun [8]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|21|Karel Eriksson|none|14|Carl Christian Møller|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|21|Karel Eriksson|none|16|Carl Christian Møller|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:30|21|Leon Seiwald |none|12|Rik Hermans|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:30|21|Leon Seiwald |none|8|Rik Hermans|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:16|21|Kevin Arokia Walter|none|9|Patrick Mørkøv Petersen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:16|21|Kevin Arokia Walter|none|8|Patrick Mørkøv Petersen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Alvaro Vazquez|none|12|Julian Edhofer|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Alvaro Vazquez|none|8|Julian Edhofer|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:18|21|David Kim |none|7|Christoffer Hamnes|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:18|21|David Kim |none|6|Christoffer Hamnes|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:36|10|Emil Hasselberg|none|21|Alan Ostrowski|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:36|21|Emil Hasselberg|none|14|Alan Ostrowski|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:36|21|Emil Hasselberg|none|8|Alan Ostrowski|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:22|21|Krzysztof Jakowczuk |none|9|Benjamin Norden|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:22|21|Krzysztof Jakowczuk |none|15|Benjamin Norden|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:18|21|Markus Barth|none|5|David Bjarni Bjornsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:18|21|Markus Barth|none|6|David Bjarni Bjornsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Mattias Wigardt |none|7|Mattias Xu|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:21|21|Mattias Wigardt |none|8|Mattias Xu|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:27|21|Mateusz Swierczynski|none|14|Nils Ihse|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:27|21|Mateusz Swierczynski|none|13|Nils Ihse|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:15|21|Joonas Korhonen |none|8|Johannes Orri Olafsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:15|21|Joonas Korhonen |none|6|Johannes Orri Olafsson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:15|21|Marton Szerecz|none|3|Patryk Kopec|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:15|21|Marton Szerecz|none|6|Patryk Kopec|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:40|16|Mateusz Danielak |none|21|Quentin Filliettaz|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:40|21|Mateusz Danielak |none|11|Quentin Filliettaz|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:40|21|Mateusz Danielak |none|9|Quentin Filliettaz|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:19|21|Karl Thor Søndergaard|none|3|Martin Grøtterud|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:19|21|Karl Thor Søndergaard|none|5|Martin Grøtterud|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|22|Viktor Aglinder|none|20|Michael Giesinger [7]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|21|Viktor Aglinder|none|12|Michael Giesinger [7]|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:39|20|Alex Alcala Dominguez|none|22|Mads Marum|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:39|21|Alex Alcala Dominguez|none|11|Mads Marum|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:39|21|Alex Alcala Dominguez|none|16|Mads Marum|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Emil Johansson|none|14|Jiawen Shi|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Emil Johansson|none|15|Jiawen Shi|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Miguel Barbado|none|12|Thomas Sibbald|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:23|21|Miguel Barbado|none|15|Thomas Sibbald|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Rüdiger Gnedt |none|4|Toheed Ahmad Saeed|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Rüdiger Gnedt |none|11|Toheed Ahmad Saeed|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Johanna Magnusson|none|8|Liana Lencevica|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Johanna Magnusson|none|8|Liana Lencevica|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:43|21|Alda Karen Jonsdottir|none|14|Anne Klyve|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:43|19|Alda Karen Jonsdottir|none|21|Anne Klyve|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:43|24|Alda Karen Jonsdottir|none|22|Anne Klyve|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116||Walkover Win|Malin Anderson|none|Walkover Loss|Anna Thea Madsen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116||Walkover Win|Oliwia Socha|none|Walkover Loss|Bianka Bukoviczki|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:24|21|Vera Ellingsen|none|17|Salisa Chayruksa|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:24|21|Vera Ellingsen|none|13|Salisa Chayruksa|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:38|21|Katrin Neudolt|none|16|Madeleine Persson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:38|21|Katrin Neudolt|none|18|Madeleine Persson|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|17|Thea Kristina Johansen|none|21|Emelie Borgstedt|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|21|Thea Kristina Johansen|none|17|Emelie Borgstedt|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:31|21|Thea Kristina Johansen|none|10|Emelie Borgstedt|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116||Walkover Win|Marie Christensen|none|Walkover Loss|Michelle Skødstrup|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Frida Lindstrom|none|6|Emilia Petersen Norberg|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:20|21|Frida Lindstrom|none|13|Emilia Petersen Norberg|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:29|22|Arna Karen Johannsdottir|none|20|Stine Andersen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:29|21|Arna Karen Johannsdottir|none|11|Stine Andersen|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:25|21|Nathalie Wang|none|12|Emma Wåland|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116|0:25|21|Nathalie Wang|none|17|Emma Wåland|none|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|singles
20171116||Walkover Win|Torjus Flaatten|Peter Roenn Stensaeth|Walkover Loss|Viktor Aglinder [1]|Emil Johansson|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|doubles
20171116|0:15|21|Erik Angervall|Mitchell Maynard|8|Karel Eriksson|Alexander Landberg|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|doubles
20171116|0:15|21|Erik Angervall|Mitchell Maynard|14|Karel Eriksson|Alexander Landberg|BBB786CE-CE27-45F5-BA77-1C3DBF2B1DC7|doubles
