date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161115||21|Maxim Tayganov|none|17|David Gosyn|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||11|Maxim Tayganov|none|21|David Gosyn|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Maxim Tayganov|none|13|David Gosyn|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Timur Umurzakov|none|7|Danyal Abdysaev|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Timur Umurzakov|none|2|Danyal Abdysaev|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||19|Abzal Rafkhat|none|21|Danila Rublyov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Abzal Rafkhat|none|14|Danila Rublyov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Abzal Rafkhat|none|14|Danila Rublyov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Matvey Grishenko|none|11|Andrey Nedbaylo|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Matvey Grishenko|none|18|Andrey Nedbaylo|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Zahar Dolbussin|none|5|Mark Zverikov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Zahar Dolbussin|none|15|Mark Zverikov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Makhsut Tajibullayev|none|14|Nikita Vasiliyev|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Makhsut Tajibullayev|none|10|Nikita Vasiliyev|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Dias Aldabergen|none|16|Vladislav Pavkin|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Dias Aldabergen|none|8|Vladislav Pavkin|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Damir Batkayev|none|16|Roman Muratov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Damir Batkayev|none|14|Roman Muratov|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Veronika Vitman|none|18|Elene Ambarian [1]|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||12|Veronika Vitman|none|21|Elene Ambarian [1]|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Veronika Vitman|none|17|Elene Ambarian [1]|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Dilyara Dzhumadilova|none|10|Aigerim Yessenali|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Dilyara Dzhumadilova|none|9|Aigerim Yessenali|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Nargiza Rakhmetullayeva|none|11|Madina Kaimova|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Nargiza Rakhmetullayeva|none|16|Madina Kaimova|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Alina Ermolenko|none|10|Yeva Butpayeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Alina Ermolenko|none|13|Yeva Butpayeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Sabina Zholdasbekova|none|17|Dilnara Baktigaliyeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Sabina Zholdasbekova|none|14|Dilnara Baktigaliyeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Valeria Kim|none|18|Anastasia Bushaeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Valeria Kim|none|19|Anastasia Bushaeva|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
20161115||21|Daria Moiseenko|none|8|Antonina Porotnikova|none|BE7826E5-6385-4C2C-B95E-C872FF0AAC58|singles
