date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190404|0:20|21|Szymon Slepecki|Daria Zimnol|12|Kristof Toth|Petra Meszaros|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:20|21|Szymon Slepecki|Daria Zimnol|15|Kristof Toth|Petra Meszaros|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:25|21|Tauri Kilk|Catlyn Kruus|9|Amir Shapira|Heli Neiman|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:25|21|Tauri Kilk|Catlyn Kruus|17|Amir Shapira|Heli Neiman|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:25|21|Sebastian Kadlec|Olivia Kadlecova|18|Filip Antunović|Sunčica Sertić|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:25|21|Sebastian Kadlec|Olivia Kadlecova|19|Filip Antunović|Sunčica Sertić|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:21|21|Vratislav Erhart|Ema Staňková|15|Rouven Wulandoko|Lilli Cramer|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:21|21|Vratislav Erhart|Ema Staňková|11|Rouven Wulandoko|Lilli Cramer|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:17|21|Mikhail Kartashov|Elizaveta Baranova|8|Peter Radoczi|Natalia Tomcova|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:17|21|Mikhail Kartashov|Elizaveta Baranova|17|Peter Radoczi|Natalia Tomcova|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:30|23|Jakub Diviš|Adéla Klapalová|21|Mario Kirisma|Mia Kask|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:30|17|Jakub Diviš|Adéla Klapalová|21|Mario Kirisma|Mia Kask|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:30|22|Jakub Diviš|Adéla Klapalová|20|Mario Kirisma|Mia Kask|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:22|21|Oskar Männik|Johanna Violet Meier|16|Lukas Bihler|Sandora Göhlich|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:22|21|Oskar Männik|Johanna Violet Meier|13|Lukas Bihler|Sandora Göhlich|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:20|21|Andrey Antropov|Ekaterina Kazantseva|17|Simeon Suchy|Sofia Slosiarikova|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:20|21|Andrey Antropov|Ekaterina Kazantseva|19|Simeon Suchy|Sofia Slosiarikova|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:31|23|Boris Karpjak|Julia Chmurovicova|21|Michal Szczypka|Julia Wojcik|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:31|16|Boris Karpjak|Julia Chmurovicova|21|Michal Szczypka|Julia Wojcik|C11C550F-0226-40C0-A461-D4614C60019D|doubles
20190404|0:31|21|Boris Karpjak|Julia Chmurovicova|18|Michal Szczypka|Julia Wojcik|C11C550F-0226-40C0-A461-D4614C60019D|doubles
