date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181207|0:25|21|Georgii Lebedev|none|5|Markus Kivistik|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:25|21|Georgii Lebedev|none|5|Markus Kivistik|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Joakim Oldorff|none|8|Martin Barbado|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Joakim Oldorff|none|13|Martin Barbado|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Hampus Boldt|none|14|Laurynas Borusas|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Hampus Boldt|none|18|Laurynas Borusas|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Leo Hölzmer|none|11|Teemu Lahtinen|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|23|Leo Hölzmer|none|21|Teemu Lahtinen|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:20|21|Matias Blomberg|none|5|Artjom Tarassov|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:20|21|Matias Blomberg|none|9|Artjom Tarassov|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Evgeny Chertilin|none|17|Adam Twardzik|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Evgeny Chertilin|none|14|Adam Twardzik|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Petr Borovikov|none|16|Jonas Petkus|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:31|21|Petr Borovikov|none|15|Jonas Petkus|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:33|21|Viktoriia Kozyreva|none|18|Cecilia Wang|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:33|21|Viktoriia Kozyreva|none|17|Cecilia Wang|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:24|21|Vilena Asfandiiarova|none|9|Vitalija Movsovic|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:24|21|Vilena Asfandiiarova|none|13|Vitalija Movsovic|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
20181207|0:44|7|Miranda Johansson|none|21|Karina Kapanen|none|C3872C82-D597-45DD-B31E-41C09CD3BC85|singles
