date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181024|0:55|16|Joakim Nordgren|none|21|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:55|21|Joakim Nordgren|none|15|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:55|21|Joakim Nordgren|none|19|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:20|21|Dmitriy Supruniuk|none|9|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:20|21|Dmitriy Supruniuk|none|17|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:23|21|Oswald Fung|none|7|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:23|21|Oswald Fung|none|8|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:25|21|Mykhaylo Makhnovskiy|none|10|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:25|21|Mykhaylo Makhnovskiy|none|14|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:59|21|Rotem Mogilner|none|14|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:59|22|Rotem Mogilner|none|24|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:59|21|Rotem Mogilner|none|15|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:40|21|Flurin Furrer |none|16|Joakim Nordgren|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:40|22|Flurin Furrer |none|20|Joakim Nordgren|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:30|21|Dmitriy Supruniuk|none|19|Shai Yanai|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:30|21|Dmitriy Supruniuk|none|13|Shai Yanai|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:23|21|Oswald Fung|none|7|Mykhaylo Makhnovskiy|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:23|21|Oswald Fung|none|13|Mykhaylo Makhnovskiy|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:33|21|Jorgen Rosenlund |none|15|Rotem Mogilner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181024|0:33|21|Jorgen Rosenlund |none|16|Rotem Mogilner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:55|16|Joakim Nordgren|none|21|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:55|21|Joakim Nordgren|none|15|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:55|21|Joakim Nordgren|none|19|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:20|21|Dmitriy Supruniuk|none|9|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:20|21|Dmitriy Supruniuk|none|17|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:23|21|Oswald Fung|none|7|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:23|21|Oswald Fung|none|8|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:25|21|Mykhaylo Makhnovskiy|none|10|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:25|21|Mykhaylo Makhnovskiy|none|14|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:59|21|Rotem Mogilner|none|14|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:59|22|Rotem Mogilner|none|24|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:59|21|Rotem Mogilner|none|15|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:40|21|Flurin Furrer |none|16|Joakim Nordgren|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:40|22|Flurin Furrer |none|20|Joakim Nordgren|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:30|21|Dmitriy Supruniuk|none|19|Shai Yanai|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:30|21|Dmitriy Supruniuk|none|13|Shai Yanai|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:23|21|Oswald Fung|none|7|Mykhaylo Makhnovskiy|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:23|21|Oswald Fung|none|13|Mykhaylo Makhnovskiy|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:33|21|Jorgen Rosenlund |none|15|Rotem Mogilner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181025|0:33|21|Jorgen Rosenlund |none|16|Rotem Mogilner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:55|16|Joakim Nordgren|none|21|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:55|21|Joakim Nordgren|none|15|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:55|21|Joakim Nordgren|none|19|Ami Abekasis|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:20|21|Dmitriy Supruniuk|none|9|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:20|21|Dmitriy Supruniuk|none|17|Michael Yonin|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:23|21|Oswald Fung|none|7|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:23|21|Oswald Fung|none|8|Oleg Khutoraner|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:25|21|Mykhaylo Makhnovskiy|none|10|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:25|21|Mykhaylo Makhnovskiy|none|14|Ori Shapira|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:59|21|Rotem Mogilner|none|14|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:59|22|Rotem Mogilner|none|24|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
20181026|0:59|21|Rotem Mogilner|none|15|Nicolas Müller|none|C44E2E90-372D-422D-8568-C5A167B377F6|singles
