date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170907|0:33|21|Jakarin Homhaul |Amnouy Wetwithan|13|Hiroshi Murayama|Etsuko Kobayashi|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:33|21|Jakarin Homhaul |Amnouy Wetwithan|12|Hiroshi Murayama|Etsuko Kobayashi|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:26|21|Lee Dong Seop |Kim Yeon Sim|12|Yu-Yu Ong|I-Chen Yang|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:26|21|Lee Dong Seop |Kim Yeon Sim|11|Yu-Yu Ong|I-Chen Yang|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:40|21|Junthong Dumnern |Sujirat Pookkham|18|Mamoru Oe|Rie Ogura|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:40|21|Junthong Dumnern |Sujirat Pookkham|18|Mamoru Oe|Rie Ogura|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Martin Rooke|Cynthia Mathez|8|Piero Rosario Suma|Chiemi Ogata|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Martin Rooke|Cynthia Mathez|8|Piero Rosario Suma|Chiemi Ogata|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:21|21|David Toupe |Karin Suter-Erath|2|Richard Joseph Engles|Guang-Chiou Hu|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:21|21|David Toupe |Karin Suter-Erath|5|Richard Joseph Engles|Guang-Chiou Hu|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:11|21|Lucas Mazur |Faustine Noel|7|En-Chuan Yeh|Celine Aurelie Vinot|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:11|21|Lucas Mazur |Faustine Noel|2|En-Chuan Yeh|Celine Aurelie Vinot|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Toshiaki Suenaga |Akiko Sugino|10|Dillaswar Rao Gadela|Kaede Kameyama|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Toshiaki Suenaga |Akiko Sugino|11|Dillaswar Rao Gadela|Kaede Kameyama|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Marcel Adam |Katrin Seibert|14|Hugo Saumier|Veronique Braud|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Marcel Adam |Katrin Seibert|14|Hugo Saumier|Veronique Braud|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Tetsuo Ura |Asami Yamada|11|Hardik Makkar|Manasi Girishchandra Joshi|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Tetsuo Ura |Asami Yamada|9|Hardik Makkar|Manasi Girishchandra Joshi|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:22|21|Siripong Teamarrom |Nipada Seangsupa|8|Corrie Keith Robinson|Caitlin Dransfield|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:22|21|Siripong Teamarrom |Nipada Seangsupa|7|Corrie Keith Robinson|Caitlin Dransfield|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:41|21|Wie Ou|Hefang Cheng|14|Pricha Somsiri|Darunee Henpraiwan|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:41|19|Wie Ou|Hefang Cheng|21|Pricha Somsiri|Darunee Henpraiwan|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:41|21|Wie Ou|Hefang Cheng|17|Pricha Somsiri|Darunee Henpraiwan|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:22|21|Daisuke Fujihara |Mamiko Toyoda|7|Laurent Scatabelli|Sarika Sarika|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:22|21|Daisuke Fujihara |Mamiko Toyoda|12|Laurent Scatabelli|Sarika Sarika|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Seiji Yamami|Yoko Egami|18|Chatchai Kornpekanok|Elke Rongen|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Seiji Yamami|Yoko Egami|14|Chatchai Kornpekanok|Elke Rongen|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Kim Jung Jun |Kim Seung Suk|15|Stephen Durand|Esther Torres|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Kim Jung Jun |Kim Seung Suk|14|Stephen Durand|Esther Torres|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:30|21|Amir Levi|Nina Gorodetzky|11|Javier Fernandez|Marcela Quinteros|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:30|21|Amir Levi|Nina Gorodetzky|15|Javier Fernandez|Marcela Quinteros|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Osamu Nagashima |Yuma Yamazaki|5|Laurent Bellia|Audrey Bellia-Sauvage|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Osamu Nagashima |Yuma Yamazaki|5|Laurent Bellia|Audrey Bellia-Sauvage|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:50|21|Atsuya Watanabe|Ikumi Fuke|11|Choi Jung Man|Kim Dae Young|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:50|17|Atsuya Watanabe|Ikumi Fuke|21|Choi Jung Man|Kim Dae Young|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:50|21|Atsuya Watanabe|Ikumi Fuke|15|Choi Jung Man|Kim Dae Young|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Taku Hiroi|Haruka Fujino|16|Bobby Griffin|Mary Margaret Wilson|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Taku Hiroi|Haruka Fujino|10|Bobby Griffin|Mary Margaret Wilson|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:42|15|Horonobu Kawabata |Parul Dalsukhbhai Parmar|21|Colin Leslie|Astrid Lilhav Riis|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:42|21|Horonobu Kawabata |Parul Dalsukhbhai Parmar|13|Colin Leslie|Astrid Lilhav Riis|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:42|24|Horonobu Kawabata |Parul Dalsukhbhai Parmar|22|Colin Leslie|Astrid Lilhav Riis|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:17|21|Umesh Vikram Kumar|Qiuxia Yang|3|Xavier Debavelaere|Jyoti Jangra|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:17|21|Umesh Vikram Kumar|Qiuxia Yang|8|Xavier Debavelaere|Jyoti Jangra|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:18|21|Chawarat Kitichokwattana |Chanida Srinavakul|8|Tomohiro Ito|Noriko Ito|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:18|21|Chawarat Kitichokwattana |Chanida Srinavakul|11|Tomohiro Ito|Noriko Ito|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Mark Joseph Dharmai|Kobie Jane Donovan|13|Yohei Hatakeyama|Simone Emilie Meyer Larsen|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:20|21|Mark Joseph Dharmai|Kobie Jane Donovan|8|Yohei Hatakeyama|Simone Emilie Meyer Larsen|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:24|21|Niall Mcveigh|Rachel Choong|10|Sun Jong Lie|Maria Bartusz|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:24|21|Niall Mcveigh|Rachel Choong|12|Sun Jong Lie|Maria Bartusz|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:39|21|Lee Sam Seop |Emmanuelle Ott|19|Young-Chin Mi|Valeska Knoblauch|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:39|6|Lee Sam Seop |Emmanuelle Ott|21|Young-Chin Mi|Valeska Knoblauch|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:39|21|Lee Sam Seop |Emmanuelle Ott|16|Young-Chin Mi|Valeska Knoblauch|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Gobi Ranganathan|Laura Lee Jenkins|4|Alessandro Bernardi|Ammu Mohan|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:27|21|Gobi Ranganathan|Laura Lee Jenkins|12|Alessandro Bernardi|Ammu Mohan|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Ho Yuen Chan |Man-Kei To|14|Jakub Tomasz Sikorski|Tatiana Gureeva|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Ho Yuen Chan |Man-Kei To|8|Jakub Tomasz Sikorski|Tatiana Gureeva|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:28|21|Hiroshi Murayama|Etsuko Kobayashi|13|Jose Guillermo Lama Seco|Maria Begona Gago|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:28|21|Hiroshi Murayama|Etsuko Kobayashi|6|Jose Guillermo Lama Seco|Maria Begona Gago|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
20170907|0:25|21|Yu-Yu Ong|I-Chen Yang|7|Kouhei Kobayashi|Midori Shimada|C54AF342-9213-452F-AA5A-386E6EED6BA3|doubles
