date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140206|0:21|21|Artem Tkachuk|Anna Mikhalkova|12|Richard Smatlak|Lucia Grencikova|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:21|21|Artem Tkachuk|Anna Mikhalkova|9|Richard Smatlak|Lucia Grencikova|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:36|10|Urban Herman|Nastja Stovanje|21|Haktan Dogan|Aliye Demirbag|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:36|21|Urban Herman|Nastja Stovanje|14|Haktan Dogan|Aliye Demirbag|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:36|21|Urban Herman|Nastja Stovanje|19|Haktan Dogan|Aliye Demirbag|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:18|21|Halambage Kamod Rashmitha|Hendahewa Thilini Promodika|9|Philip Birker|Carina Meinke|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:18|21|Halambage Kamod Rashmitha|Hendahewa Thilini Promodika|16|Philip Birker|Carina Meinke|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:26|21|Emre Comert|Emine Demirtas|17|Dominik Doko|Nika Arih|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:26|21|Emre Comert|Emine Demirtas|15|Dominik Doko|Nika Arih|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:16|21|Ivan Panev|Michaela Neycheva|4|Maksym Kosovan|Vladyslava Lesnaya|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:16|11|Ivan Panev|Michaela Neycheva|5|Maksym Kosovan|Vladyslava Lesnaya|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:16|Walkover Win|Ivan Panev|Michaela Neycheva|Walkover Loss|Maksym Kosovan|Vladyslava Lesnaya|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:14|21|Tanguy Citron|Verlaine Faulmann|5|Jan Balucha|Lenka Drotarova|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:14|21|Tanguy Citron|Verlaine Faulmann|5|Jan Balucha|Lenka Drotarova|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:19|21|Fran Galjer|Katarina Galenic|16|Konrad Ploch|Wiktoria Adamek|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:19|21|Fran Galjer|Katarina Galenic|11|Konrad Ploch|Wiktoria Adamek|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:30|21|Alejandro Gonzales|Min Zhao|12|Malik Tymoteusz|Izabella Pajek|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:30|21|Alejandro Gonzales|Min Zhao|12|Malik Tymoteusz|Izabella Pajek|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:20|21|Andraz Krapez|Lia Salehar|11|Daniel Kalfalvy|Vivien Bango|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:20|21|Andraz Krapez|Lia Salehar|19|Daniel Kalfalvy|Vivien Bango|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|doubles
20140206|0:33|21|Dias Sachin|none|9|Melih Turgut|none|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|singles
20140206|0:33|22|Dias Sachin|none|20|Melih Turgut|none|C5DF29C6-AE8F-4C4A-86DB-C8E320E2BB1B|singles
