date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190329|0:24|21|Georgii Petrov|Daria Kharlampovich|14|Carl Claesson|Valeriya Isaeva|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:24|21|Georgii Petrov|Daria Kharlampovich|15|Carl Claesson|Valeriya Isaeva|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:09|21|Vitaliy Reva|Yana Sobko|13|Artem Kamalov|Alisa Kironda|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:09|21|Vitaliy Reva|Yana Sobko|15|Artem Kamalov|Alisa Kironda|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:23|21|Steven Pärnasalu|Ramona Üprus|14|Gustavs Davids Brecs|Arina Babre|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:23|21|Steven Pärnasalu|Ramona Üprus|8|Gustavs Davids Brecs|Arina Babre|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:11|21|Jonas Ozalas|Urte Rakstyte|7|Oskars Saulitis|Eiprila Briede|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:11|21|Jonas Ozalas|Urte Rakstyte|14|Oskars Saulitis|Eiprila Briede|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|doubles
20190329|0:46|22|Danylo Shevchuk|none|20|Rannar Zirk|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:46|19|Danylo Shevchuk|none|21|Rannar Zirk|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:46|21|Danylo Shevchuk|none|11|Rannar Zirk|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:15|21|Mario Kirisma|none|10|Arturs Dzirkalis|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:15|21|Mario Kirisma|none|2|Arturs Dzirkalis|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:15|21|Albin Nilsson|none|3|Patriks Kandis|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:15|21|Albin Nilsson|none|5|Patriks Kandis|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:11|21|Albert Bikmukhametov|none|13|Davis Strazdins|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
20190329|0:11|21|Albert Bikmukhametov|none|10|Davis Strazdins|none|C8FAB4AA-D83E-435F-9F78-6D998AA8D820|singles
