date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140522|0:47|21|Alberto Zapico|Haidee Ojeda|16|Juan Manuel Fernandez Quiles|Laura Molina|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:47|25|Alberto Zapico|Haidee Ojeda|27|Juan Manuel Fernandez Quiles|Laura Molina|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:47|21|Alberto Zapico|Haidee Ojeda|18|Juan Manuel Fernandez Quiles|Laura Molina|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:25|21|Mortensen Frederik Sogaard|Maiken Fruergaard|8|Duran David|Lorena Usle|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:25|21|Mortensen Frederik Sogaard|Maiken Fruergaard|13|Duran David|Lorena Usle|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:24|21|Alejandro Toro |Diaz Manuela|10|Javier Sanchez Soler|Marina Fernandez Pastor|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:24|23|Alejandro Toro |Diaz Manuela|21|Javier Sanchez Soler|Marina Fernandez Pastor|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:38|15|Pablo Abian|Blanca Ibeas|21|Daniel Benz|Annika Horbach|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:38|21|Pablo Abian|Blanca Ibeas|13|Daniel Benz|Annika Horbach|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:38|21|Pablo Abian|Blanca Ibeas|13|Daniel Benz|Annika Horbach|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522||Walkover Win|David Aboal Salvador|Laura Primo|Walkover Loss|Arseniy Fistin|Viktoriia Vorobeva|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:32|21|Soren Gravholt |Sara Thygesen|13|Javier Abian|Noelia Jimenez|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:32|21|Soren Gravholt |Sara Thygesen|15|Javier Abian|Noelia Jimenez|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:46|21|Iikka Heino|Mathilda Lindholm|17|Vicent Riera|Laura Samaniego|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
20140522|0:46|19|Iikka Heino|Mathilda Lindholm|21|Vicent Riera|Laura Samaniego|CD76FFC3-ECE2-4915-A4DF-262677169D4C|doubles
