date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170811|0:13|21|Vashisht Jagurnath|none|5|Suhaib Mahamdee|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:13|21|Vashisht Jagurnath|none|17|Suhaib Mahamdee|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:15|21|Suhail Mahamdee|none|10|Rikshen Pyneeandee|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:15|21|Suhail Mahamdee|none|6|Rikshen Pyneeandee|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:32|21|Abhay Chandra Russom|none|17|Dinen Jumnah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:32|8|Abhay Chandra Russom|none|21|Dinen Jumnah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:32|21|Abhay Chandra Russom|none|12|Dinen Jumnah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:20|21|Oliver Gausmann|none|13|Neelkanth Bissoonauth-Booth|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:20|21|Oliver Gausmann|none|16|Neelkanth Bissoonauth-Booth|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:15|21|Arshath Mohamed Nazurudheen Vaheed|none|3|Hans Isserheeah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:15|21|Arshath Mohamed Nazurudheen Vaheed|none|5|Hans Isserheeah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:16|21|Laurent Carver|none|10|Rohissen Soobramanien|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:16|21|Laurent Carver|none|12|Rohissen Soobramanien|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:20|21|Rayan Emamdhully|none|15|Aarav Nundah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:20|21|Rayan Emamdhully|none|11|Aarav Nundah|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:25|21|Jason Francois|none|13|Vaishnav Russean|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
20170811|0:25|21|Jason Francois|none|19|Vaishnav Russean|none|CE186D90-5914-43EF-AB74-9FDB484ABF52|singles
