date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151001|0:18|21|Joiser Calanche|none|2|Guzmán Jean P|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:18|21|Joiser Calanche|none|5|Guzmán Jean P|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:32|21|Hernández Alexander|none|19|Chirino Ricardo|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:32|17|Hernández Alexander|none|21|Chirino Ricardo|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:32|21|Hernández Alexander|none|15|Chirino Ricardo|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Abinadi Contreras Burgos|none|Walkover Loss|Melendez Samuel|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:23|21|Barrios William|none|17|Marín Andri|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:23|21|Barrios William|none|14|Marín Andri|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:21|21|Franklin Alberto Torrealba Blanco|none|15|Castellano Andres|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:21|21|Franklin Alberto Torrealba Blanco|none|11|Castellano Andres|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Silva Eduin|none|18|Guido Fratta|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Silva Eduin|none|8|Guido Fratta|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:27|21|Salinas Ruben|none|11|Salas Jorman|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:27|21|Salinas Ruben|none|16|Salas Jorman|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:25|21|Ojeda Ariana|none|15|Contreras Celenny|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:25|21|Ojeda Ariana|none|16|Contreras Celenny|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:01|Walkover Win|Araujo Mariam|none|Walkover Loss|Calanche Mayra|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:16|21|Hurtado Adriana|none|7|Najeeran Jahoor|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:16|21|Hurtado Adriana|none|8|Najeeran Jahoor|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Naranjo Alejandro|Contreras Celenny|Walkover Loss|Melendez Samuel|Amelia Hernandez|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:02|Walkover Win|Hernández Alexander|Campos Adriana|Walkover Loss|Chirino Ricardo|Calanche Mayra|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:20|21|Spinel Johnathan|Araujo Mariam|13|Marín Andri|Arandia Arleddy|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:20|21|Spinel Johnathan|Araujo Mariam|17|Marín Andri|Arandia Arleddy|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:19|21|Bryan Veliz Arbolay |none|5|Spinel Johnathan|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:19|21|Bryan Veliz Arbolay |none|5|Spinel Johnathan|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:25|21|Joiser Calanche|none|10|Frank Barrios|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:25|21|Joiser Calanche|none|16|Frank Barrios|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:22|21|Quijada Willfer |none|7|Hernández Alexander|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:22|24|Quijada Willfer |none|22|Hernández Alexander|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:38|20|Abinadi Contreras Burgos|none|22|Naranjo Alejandro|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:38|21|Abinadi Contreras Burgos|none|14|Naranjo Alejandro|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:38|21|Abinadi Contreras Burgos|none|15|Naranjo Alejandro|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Barrios William|none|8|Sánchez Eduard|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Barrios William|none|16|Sánchez Eduard|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Franklin Alberto Torrealba Blanco|none|Walkover Loss|Angel Herrera Rodríguez [4]|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:28|21|Gómez Wilmer|none|19|Silva Eduin|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:28|14|Gómez Wilmer|none|21|Silva Eduin|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:28|21|Gómez Wilmer|none|16|Silva Eduin|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Ivan Elyouri Perozo |none|5|Salinas Ruben|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Ivan Elyouri Perozo |none|10|Salinas Ruben|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Adriana Artiz Ataury |none|Walkover Loss|Lobo Delgado Celena Jose|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:23|21|Rivas Moreno Adriana|none|12|Arandia Arleddy|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:23|21|Rivas Moreno Adriana|none|17|Arandia Arleddy|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:16|21|Casadiego Edith|none|5|Machado Aiskel|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:16|21|Casadiego Edith|none|4|Machado Aiskel|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:35|21|Yosimar Ortega|none|17|Ojeda Ariana|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:35|21|Yosimar Ortega|none|15|Ojeda Ariana|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:19|21|Tiffany Sánchez|none|8|Araujo Mariam|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:19|21|Tiffany Sánchez|none|7|Araujo Mariam|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Campos Adriana|none|Walkover Loss|Martínez Rodríguez Katherine Andreina [3]|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:15|21|Hurtado Adriana|none|3|Chirino Sthephania|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:15|21|Hurtado Adriana|none|10|Chirino Sthephania|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001||Walkover Win|Damaris Mercedes Ortiz Parada |none|Walkover Loss|Amelia Hernandez|none|CE39A36E-3A52-4595-81B5-1585AC4133AB|singles
20151001|0:20|21|Castellano Andres|Rivas Moreno Adriana|13|Salas Jorman|Machado Aiskel|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:20|21|Castellano Andres|Rivas Moreno Adriana|16|Salas Jorman|Machado Aiskel|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001||Walkover Win|Ivan Elyouri Perozo |Damaris Mercedes Ortiz Parada|Walkover Loss|Salinas Ruben|Lobo Delgado Celena Jose|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
20151001|0:24|21|Joiser Calanche|Tiffany Sánchez|10|Franklin Alberto Torrealba Blanco|Hurtado Adriana|CE39A36E-3A52-4595-81B5-1585AC4133AB|doubles
