date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150727||21|Michael Lin|none|17|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Michael Lin|none|16|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Clay Tobaw Gilmour|none|12|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Clay Tobaw Gilmour|none|18|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Mitch, Aubrey Nai Chung Tong |none|16|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Mitch, Aubrey Nai Chung Tong |none|9|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Michael Lin|none|18|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Michael Lin|none|10|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||18|Clay Tobaw Gilmour|none|21|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||28|Clay Tobaw Gilmour|none|26|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150727||21|Clay Tobaw Gilmour|none|13|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Michael Lin|none|17|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Michael Lin|none|16|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Clay Tobaw Gilmour|none|12|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Clay Tobaw Gilmour|none|18|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Mitch, Aubrey Nai Chung Tong |none|16|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Mitch, Aubrey Nai Chung Tong |none|9|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Michael Lin|none|18|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Michael Lin|none|10|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||18|Clay Tobaw Gilmour|none|21|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||28|Clay Tobaw Gilmour|none|26|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150728||21|Clay Tobaw Gilmour|none|13|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Michael Lin|none|17|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Michael Lin|none|16|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Clay Tobaw Gilmour|none|12|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Clay Tobaw Gilmour|none|18|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Mitch, Aubrey Nai Chung Tong |none|16|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Mitch, Aubrey Nai Chung Tong |none|9|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Michael Lin|none|18|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Michael Lin|none|10|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||18|Clay Tobaw Gilmour|none|21|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||28|Clay Tobaw Gilmour|none|26|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150729||21|Clay Tobaw Gilmour|none|13|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Michael Lin|none|17|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Michael Lin|none|16|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Clay Tobaw Gilmour|none|12|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Clay Tobaw Gilmour|none|18|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Mitch, Aubrey Nai Chung Tong |none|16|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Mitch, Aubrey Nai Chung Tong |none|9|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Michael Lin|none|18|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Michael Lin|none|10|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||18|Clay Tobaw Gilmour|none|21|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||28|Clay Tobaw Gilmour|none|26|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150730||21|Clay Tobaw Gilmour|none|13|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Michael Lin|none|17|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Michael Lin|none|16|Alexander Gonsalves|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Clay Tobaw Gilmour|none|12|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Clay Tobaw Gilmour|none|18|Kevin Thanh Lam|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Mitch, Aubrey Nai Chung Tong |none|16|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Mitch, Aubrey Nai Chung Tong |none|9|Simeon Tong|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Michael Lin|none|18|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Michael Lin|none|10|Gianpiero Cavallotti [1]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||18|Clay Tobaw Gilmour|none|21|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||28|Clay Tobaw Gilmour|none|26|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
20150731||21|Clay Tobaw Gilmour|none|13|Mitch, Aubrey Nai Chung Tong [2]|none|D00739C8-390E-4279-83D8-0CBE26B42AE2|singles
