date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150826|0:20|21|Chistopher Bastardo|none|10|Cy Gilding|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:20|21|Chistopher Bastardo|none|16|Cy Gilding|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:18|21|Marcos Morales Mercado|none|4|Matthew Godson|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:18|21|Marcos Morales Mercado|none|9|Matthew Godson|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:20|21|Edinson Paulino|none|17|Dominick Scantlebury|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:20|21|Edinson Paulino|none|9|Dominick Scantlebury|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:35|15|Reece Marcano|none|21|Kael Sosa|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:35|21|Reece Marcano|none|18|Kael Sosa|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:35|21|Reece Marcano|none|19|Kael Sosa|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:30|21|Kevin Karg|none|7|Timothy Marshall|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:30|21|Kevin Karg|none|19|Timothy Marshall|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:25|21|Keenan Scantlebury|none|18|Oswald Rosa Pinet|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:25|21|Keenan Scantlebury|none|12|Oswald Rosa Pinet|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:20|21|Angel Suero Matos|none|13|Pedro Aguilar Gonzalez|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:20|21|Angel Suero Matos|none|12|Pedro Aguilar Gonzalez|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
20150826|0:35|13|Russell Butcher|none|21|Tijae Hinds|none|D40789F5-967C-460F-A4D4-18455F3AD2D1|singles
