date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150623|0:16|21|Nicholas Waller|none|5|Connor Tannas|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:16|21|Nicholas Waller|none|10|Connor Tannas|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Jonathan Lai|none|Walkover Loss|Alan Shekhtman|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:22|14|Renaldas Sileris|none|21|Byron Holcek|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:22|9|Renaldas Sileris|none|11|Byron Holcek|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Jason Anthony Ho-Shue|none|Walkover Loss|Imran Wadia|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Loss|Timothy Lam|none|Walkover Win|Sergiy Shatenko|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:25|21|Behnaz Pirzamanbein|none|17|Erin O'Donoghue|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:25|21|Behnaz Pirzamanbein|none|17|Erin O'Donoghue|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Melinda Sun|none|Walkover Loss|Monika Szoke|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Li Yun|none|Walkover Loss|Lalita Dahiya|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Yaying Shen|none|Walkover Loss|Gadde Ruthvika Shivani|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:33|22|Chen Hsiao Huan|none|20|Hsuan-Yu Wendy Chen [4]|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:33|21|Chen Hsiao Huan|none|10|Hsuan-Yu Wendy Chen [4]|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Nicholas Waller|none|Walkover Loss|Jakob Kryczka|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:38|21|Kevin Barkman|none|14|Renaldas Sileris|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:38|15|Kevin Barkman|none|21|Renaldas Sileris|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:38|21|Kevin Barkman|none|15|Renaldas Sileris|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:28|21|Kyleigh O’Donoghue|none|12|Chan Ya Lan|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:28|21|Kyleigh O’Donoghue|none|16|Chan Ya Lan|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Yuka Kusunose|none|Walkover Loss|Disha Gupta|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Yuka Kusunose|none|Walkover Loss|Disha Gupta|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|1
20150623||Walkover Win|Jhe-Huei Lee|Yang Lee|Walkover Loss|Austin Bauer|Graydon Robb|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:21|21|Chan Tsz Kit|Law Cheuk Him|17|Alan Chow|Austin Liaw|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:21|21|Chan Tsz Kit|Law Cheuk Him|11|Alan Chow|Austin Liaw|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:20|21|Li Yun|none|8|Joanne Yu Chen|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:20|21|Li Yun|none|7|Joanne Yu Chen|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623||Walkover Win|Logan Campbell|Darren Hong|Walkover Loss|Alan Shekhtman|Nicholas Waller|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:34|13|Hsiao-Lin Wu|Hsieh Pei Chen|21|Wang Sijie|Zhu Mai Ci|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:34|21|Hsiao-Lin Wu|Hsieh Pei Chen|17|Wang Sijie|Zhu Mai Ci|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:34|21|Hsiao-Lin Wu|Hsieh Pei Chen|12|Wang Sijie|Zhu Mai Ci|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623||Walkover Win|Chan Tsz Kit|Law Cheuk Him|Walkover Loss|Byron Holcek|Jakob Kryczka|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:17|21|Baptiste Careme|Sabrina Jaquet|11|Nathan Osborne|Josephine Wu|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:17|21|Baptiste Careme|Sabrina Jaquet|11|Nathan Osborne|Josephine Wu|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623||Walkover Win|Logan Campbell|Kyleigh O’Donoghue|Walkover Loss|Dinesh Chaudhry|Lalita Dahiya|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:26|21|Yaying Shen|none|8|Chen Hsiao Huan|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:26|21|Yaying Shen|none|13|Chen Hsiao Huan|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:23|21|Jason Anthony Ho-Shue|Jonathan Lai|14|Andy Ko|Nathan Osborne|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:23|21|Jason Anthony Ho-Shue|Jonathan Lai|19|Andy Ko|Nathan Osborne|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:18|21|Lu Jin-Song|Yang Po-Hsuan|10|Antonio Li|Imran Wadia|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:18|21|Lu Jin-Song|Yang Po-Hsuan|9|Antonio Li|Imran Wadia|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623||Walkover Win|Austin Bauer|Joanne Yu Chen|Walkover Loss|Liang Jui Wei [1]|Cheng Chi Ya|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:25|21|Yuka Kusunose|none|11|Kyleigh O’Donoghue|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:25|21|Yuka Kusunose|none|8|Kyleigh O’Donoghue|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:41|6|Behnaz Pirzamanbein|none|21|Melinda Sun|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:41|21|Behnaz Pirzamanbein|none|14|Melinda Sun|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:41|25|Behnaz Pirzamanbein|none|23|Melinda Sun|none|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|singles
20150623|0:17|21|Jhe-Huei Lee|Yang Lee|10|Alex Lin|Andrew Zhuang|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:17|21|Jhe-Huei Lee|Yang Lee|12|Alex Lin|Andrew Zhuang|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:18|21|Law Cheuk Him|Yuen Sin Ying|18|Darren Hong|Erin O'Donoghue|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:18|21|Law Cheuk Him|Yuen Sin Ying|4|Darren Hong|Erin O'Donoghue|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:23|21|Jason Anthony Ho-Shue|Jonathan Lai|17|Logan Campbell|Darren Hong|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:23|21|Jason Anthony Ho-Shue|Jonathan Lai|16|Logan Campbell|Darren Hong|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
20150623|0:21|21|Daniel Guda|Joy Lai|13|Andy Ko|Valerie Cheung|D44D9F8D-9646-49A5-BF0E-C98068AF6E65|doubles
