date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171208|0:33|6|Marcus Lõo|Inalotta Suutarinen|11|Dmitrii Klimenko|Ulyana Zakharava|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:33|11|Marcus Lõo|Inalotta Suutarinen|8|Dmitrii Klimenko|Ulyana Zakharava|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:33|11|Marcus Lõo|Inalotta Suutarinen|6|Dmitrii Klimenko|Ulyana Zakharava|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:33|11|Marcus Lõo|Inalotta Suutarinen|8|Dmitrii Klimenko|Ulyana Zakharava|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|11|Michael Lebedev|Anastasia Osiyanenko|8|Eero Lauri|Jannica Monnberg|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|11|Michael Lebedev|Anastasia Osiyanenko|9|Eero Lauri|Jannica Monnberg|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|11|Michael Lebedev|Anastasia Osiyanenko|9|Eero Lauri|Jannica Monnberg|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208||Walkover Win|Hans-Kristjan Pilve|Arina Krõlova|Walkover Loss|Ilya Larushyn|Yelizaveta Kaminskaya|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Ties Van Der Lecq|Milou Lugters|9|Lev Barinov|Anastasiia Boiarun|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Ties Van Der Lecq|Milou Lugters|7|Lev Barinov|Anastasiia Boiarun|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Ties Van Der Lecq|Milou Lugters|6|Lev Barinov|Anastasiia Boiarun|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Vladimir Shipilenko|Alena Iakovleva|8|Joao Chang|Teresa Lopes|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Vladimir Shipilenko|Alena Iakovleva|7|Joao Chang|Teresa Lopes|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Vladimir Shipilenko|Alena Iakovleva|7|Joao Chang|Teresa Lopes|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:29|11|Wessel Van De Aar|Alyssa Tirtosentono|9|Konstantin Vardosanidze|Vilena Asfandiiarova|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:29|11|Wessel Van De Aar|Alyssa Tirtosentono|2|Konstantin Vardosanidze|Vilena Asfandiiarova|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:29|9|Wessel Van De Aar|Alyssa Tirtosentono|11|Konstantin Vardosanidze|Vilena Asfandiiarova|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:29|11|Wessel Van De Aar|Alyssa Tirtosentono|4|Konstantin Vardosanidze|Vilena Asfandiiarova|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:22|11|Alexander Raudsepp|Merit Mägi|5|Tomas Abraham|Vendula Štroblová|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:22|11|Alexander Raudsepp|Merit Mägi|6|Tomas Abraham|Vendula Štroblová|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:22|11|Alexander Raudsepp|Merit Mägi|9|Tomas Abraham|Vendula Štroblová|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Juha Honkanen|Liisa-Lotta Tannik|4|Simao Ferreira|Joana Eduardo|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Juha Honkanen|Liisa-Lotta Tannik|7|Simao Ferreira|Joana Eduardo|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:21|11|Juha Honkanen|Liisa-Lotta Tannik|6|Simao Ferreira|Joana Eduardo|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|11|Petr Borovikov|Sofya Potapovich|5|Joona Puro|Julia Salonen|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|11|Petr Borovikov|Sofya Potapovich|3|Joona Puro|Julia Salonen|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:23|15|Petr Borovikov|Sofya Potapovich|14|Joona Puro|Julia Salonen|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|6|Matis Kaart|Hannaliina Piho|11|Brian Wassink|Charissa Kuiper|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Matis Kaart|Hannaliina Piho|7|Brian Wassink|Charissa Kuiper|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Matis Kaart|Hannaliina Piho|8|Brian Wassink|Charissa Kuiper|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:27|11|Matis Kaart|Hannaliina Piho|4|Brian Wassink|Charissa Kuiper|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208||Walkover Win|Miika Lahtinen|Henna-Leena Lindberg|Walkover Loss|Ihar Bondarau|Hanna Bandarenka|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|doubles
20171208|0:20|11|Anastasiia Shapovalova|none|1|Una Berga|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Anastasiia Shapovalova|none|8|Una Berga|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Anastasiia Shapovalova|none|6|Una Berga|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Nerea Diaz|none|5|Arina Krõlova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Nerea Diaz|none|5|Arina Krõlova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Nerea Diaz|none|5|Arina Krõlova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|11|Victoria Korobova|none|4|Yuliia Miroshnychenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|11|Victoria Korobova|none|6|Yuliia Miroshnychenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|9|Victoria Korobova|none|11|Yuliia Miroshnychenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|11|Victoria Korobova|none|2|Yuliia Miroshnychenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Elena Andreu|none|1|Yelizaveta Kaminskaya|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Elena Andreu|none|1|Yelizaveta Kaminskaya|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:15|11|Elena Andreu|none|5|Yelizaveta Kaminskaya|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:23|11|Valeriya Rudakova|none|8|Julia Bitsoukova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:23|14|Valeriya Rudakova|none|12|Julia Bitsoukova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:23|11|Valeriya Rudakova|none|7|Julia Bitsoukova|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Karina Kapanen|none|8|Teresa Lopes|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Karina Kapanen|none|7|Teresa Lopes|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Karina Kapanen|none|4|Teresa Lopes|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Amy Tan|none|4|Vendula Štroblová|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Amy Tan|none|4|Vendula Štroblová|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Amy Tan|none|1|Vendula Štroblová|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Anastasia Osiyanenko|none|4|Joana Eduardo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Anastasia Osiyanenko|none|5|Joana Eduardo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:17|11|Anastasia Osiyanenko|none|6|Joana Eduardo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Vilena Asfandiiarova|none|5|Merit Mägi|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|14|Vilena Asfandiiarova|none|15|Merit Mägi|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Vilena Asfandiiarova|none|6|Merit Mägi|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Vilena Asfandiiarova|none|2|Merit Mägi|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:36|11|Ulyana Zakharava|none|7|Julia Salonen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:36|14|Ulyana Zakharava|none|15|Julia Salonen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:36|11|Ulyana Zakharava|none|7|Julia Salonen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:36|11|Ulyana Zakharava|none|5|Julia Salonen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Madouc Linders|none|7|Hannaliina Piho|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Madouc Linders|none|6|Hannaliina Piho|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Madouc Linders|none|6|Hannaliina Piho|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208||Walkover Loss|Maija Krzywacki|none|Walkover Win|Katsiaryna Zablotskaya|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Petra Polanc|none|6|Kirsika Joon|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Petra Polanc|none|6|Kirsika Joon|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Petra Polanc|none|0|Kirsika Joon|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:32|7|Alena Iakovleva|none|11|Hanna Bandarenka|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:32|11|Alena Iakovleva|none|2|Hanna Bandarenka|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:32|6|Alena Iakovleva|none|11|Hanna Bandarenka|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:32|11|Alena Iakovleva|none|6|Hanna Bandarenka|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:32|11|Alena Iakovleva|none|6|Hanna Bandarenka|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|11|Daniel Popescu|none|8|Marcus Lõo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|3|Daniel Popescu|none|11|Marcus Lõo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|14|Daniel Popescu|none|12|Marcus Lõo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|9|Daniel Popescu|none|11|Marcus Lõo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|11|Daniel Popescu|none|9|Marcus Lõo|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|11|Yu Sheng Po|none|8|Juha Honkanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|11|Yu Sheng Po|none|2|Juha Honkanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|11|Yu Sheng Po|none|9|Juha Honkanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Brian Holtschke|none|13|Dmitrii Klimenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Brian Holtschke|none|9|Dmitrii Klimenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|10|Brian Holtschke|none|12|Dmitrii Klimenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Brian Holtschke|none|6|Dmitrii Klimenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Brian Holtschke|none|2|Dmitrii Klimenko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:34|11|Anton Monnberg|none|6|Lloyd Holland|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:34|11|Anton Monnberg|none|3|Lloyd Holland|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:34|9|Anton Monnberg|none|11|Lloyd Holland|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:34|11|Anton Monnberg|none|7|Lloyd Holland|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:25|12|Markus Barth|none|10|Carlos Piris|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:25|11|Markus Barth|none|3|Carlos Piris|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:25|11|Markus Barth|none|2|Carlos Piris|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Danylo Bosniuk|none|2|Ivan Kuzaev|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Danylo Bosniuk|none|5|Ivan Kuzaev|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Danylo Bosniuk|none|7|Ivan Kuzaev|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Domen Lonzarič|none|4|Mairis Loiko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Domen Lonzarič|none|8|Mairis Loiko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:18|11|Domen Lonzarič|none|4|Mairis Loiko|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Tomas Toledano|none|6|Finn Achthoven|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Tomas Toledano|none|7|Finn Achthoven|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|12|Tomas Toledano|none|10|Finn Achthoven|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:29|11|Matthew Grimley|none|7|Ernesto Baschwitz|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:29|11|Matthew Grimley|none|5|Ernesto Baschwitz|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:29|9|Matthew Grimley|none|11|Ernesto Baschwitz|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:29|11|Matthew Grimley|none|7|Ernesto Baschwitz|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|14|Karl Kert|none|12|Mate Balint|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|11|Karl Kert|none|7|Mate Balint|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:24|11|Karl Kert|none|5|Mate Balint|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Enrique Rodriguez|none|13|Ivan Medynskiy|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Enrique Rodriguez|none|6|Ivan Medynskiy|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Enrique Rodriguez|none|5|Ivan Medynskiy|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:39|11|Enrique Rodriguez|none|5|Ivan Medynskiy|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Joan Monroy|none|7|Malte Wagner|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Joan Monroy|none|6|Malte Wagner|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Joan Monroy|none|5|Malte Wagner|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Petr Borovikov|none|3|Aleksander Bazanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|6|Petr Borovikov|none|11|Aleksander Bazanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Petr Borovikov|none|9|Aleksander Bazanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Petr Borovikov|none|4|Aleksander Bazanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|12|Miha Masten|none|10|Vadim Arzumanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Miha Masten|none|4|Vadim Arzumanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:22|11|Miha Masten|none|7|Vadim Arzumanov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:33|9|Hans-Kristjan Pilve|none|11|Glib Beketov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:33|12|Hans-Kristjan Pilve|none|10|Glib Beketov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:33|11|Hans-Kristjan Pilve|none|6|Glib Beketov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:33|9|Hans-Kristjan Pilve|none|11|Glib Beketov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:33|11|Hans-Kristjan Pilve|none|8|Glib Beketov|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|11|Klemen Lesničar|none|8|Tomas Abraham|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|11|Klemen Lesničar|none|5|Tomas Abraham|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|5|Klemen Lesničar|none|11|Tomas Abraham|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:31|11|Klemen Lesničar|none|7|Tomas Abraham|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Huang Yin Hsuan |none|3|Mari Ann Karjus|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Huang Yin Hsuan |none|6|Mari Ann Karjus|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Huang Yin Hsuan |none|4|Mari Ann Karjus|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Ulyana Zakharava|none|3|Kadi Kaljurand|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Ulyana Zakharava|none|8|Kadi Kaljurand|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Ulyana Zakharava|none|2|Kadi Kaljurand|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Léonice Huet |none|6|Karina Kapanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Léonice Huet |none|3|Karina Kapanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:20|11|Léonice Huet |none|7|Karina Kapanen|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Amy Tan|none|5|Jannica Monnberg|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Amy Tan|none|6|Jannica Monnberg|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:19|11|Amy Tan|none|6|Jannica Monnberg|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:37|15|Anastasiia Shapovalova|none|14|Reka Madarasz [3]|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:37|8|Anastasiia Shapovalova|none|11|Reka Madarasz [3]|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:37|11|Anastasiia Shapovalova|none|7|Reka Madarasz [3]|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:37|14|Anastasiia Shapovalova|none|12|Reka Madarasz [3]|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|11|Nerea Diaz|none|9|Sofya Potapovich|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
20171208|0:21|11|Nerea Diaz|none|8|Sofya Potapovich|none|D53BB5C8-2CC5-4ACD-BC76-7778BDB21CBA|singles
