date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170831|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Thomas Rouglios|none|11|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Thomas Rouglios|none|18|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Georgios Ktenas|none|9|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Georgios Ktenas|none|11|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:31|21|Panagiotis Skarlatos|none|12|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:31|21|Panagiotis Skarlatos|none|16|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:14|21|Oskar Johansson|none|4|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:14|21|Oskar Johansson|none|7|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:26|21|Ivan Panev|none|18|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:26|21|Ivan Panev|none|12|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Johan Azelius|none|10|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Johan Azelius|none|6|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:17|21|Nikolaos Lakakis|none|12|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:17|21|Nikolaos Lakakis|none|10|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Mihail Rami Panagiotou|none|6|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Mihail Rami Panagiotou|none|9|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:21|21|Grammatoula Sotiriou|none|13|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:21|21|Grammatoula Sotiriou|none|9|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:21|21|Gorkem Esra Ergincan|none|7|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:21|21|Gorkem Esra Ergincan|none|11|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Dimitar Yanakiev |none|8|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Dimitar Yanakiev |none|7|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:19|21|Thomas Rouglios|none|9|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:19|21|Thomas Rouglios|none|15|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Petros Tentas |none|16|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Petros Tentas |none|15|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Oskar Johansson|none|16|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:27|21|Oskar Johansson|none|19|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831||Walkover Win|Georgios Tsiolis|none|Walkover Loss|Gurusaidutt R. M. V. [3]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831||Walkover Win|Georgia Anastasiou |none|Walkover Loss|Mariana Dima|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Lemonia Amberiadou|none|13|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:18|21|Lemonia Amberiadou|none|17|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831||Walkover Win|Grammatoula Sotiriou|none|Walkover Loss|Stavroula Prifti|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:25|21|Gorkem Esra Ergincan|none|18|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:25|21|Gorkem Esra Ergincan|none|8|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170831|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Thomas Rouglios|none|11|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Thomas Rouglios|none|18|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Georgios Ktenas|none|9|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Georgios Ktenas|none|11|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:31|21|Panagiotis Skarlatos|none|12|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:31|21|Panagiotis Skarlatos|none|16|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:14|21|Oskar Johansson|none|4|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:14|21|Oskar Johansson|none|7|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:26|21|Ivan Panev|none|18|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:26|21|Ivan Panev|none|12|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Johan Azelius|none|10|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Johan Azelius|none|6|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:17|21|Nikolaos Lakakis|none|12|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:17|21|Nikolaos Lakakis|none|10|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Mihail Rami Panagiotou|none|6|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Mihail Rami Panagiotou|none|9|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:21|21|Grammatoula Sotiriou|none|13|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:21|21|Grammatoula Sotiriou|none|9|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:21|21|Gorkem Esra Ergincan|none|7|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:21|21|Gorkem Esra Ergincan|none|11|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Dimitar Yanakiev |none|8|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Dimitar Yanakiev |none|7|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:19|21|Thomas Rouglios|none|9|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:19|21|Thomas Rouglios|none|15|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Petros Tentas |none|16|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Petros Tentas |none|15|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Oskar Johansson|none|16|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:27|21|Oskar Johansson|none|19|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901||Walkover Win|Georgios Tsiolis|none|Walkover Loss|Gurusaidutt R. M. V. [3]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901||Walkover Win|Georgia Anastasiou |none|Walkover Loss|Mariana Dima|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Lemonia Amberiadou|none|13|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:18|21|Lemonia Amberiadou|none|17|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901||Walkover Win|Grammatoula Sotiriou|none|Walkover Loss|Stavroula Prifti|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:25|21|Gorkem Esra Ergincan|none|18|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:25|21|Gorkem Esra Ergincan|none|8|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170901|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Thomas Rouglios|none|11|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Thomas Rouglios|none|18|Dimitris Orlis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Georgios Ktenas|none|9|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Georgios Ktenas|none|11|Vasileios Vasilopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:31|21|Panagiotis Skarlatos|none|12|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:31|21|Panagiotis Skarlatos|none|16|Andreas Bittner|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:14|21|Oskar Johansson|none|4|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:14|21|Oskar Johansson|none|7|Konstantinos Athanasopoulos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:26|21|Ivan Panev|none|18|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:26|21|Ivan Panev|none|12|Georgios Orfeas Tsamousiadis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Swarnaraj Bora|none|5|Kiriakos Moutevelidis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Georgios Tsiolis|none|15|Christos Kaniouras|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Johan Azelius|none|10|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Johan Azelius|none|6|George Galvas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:17|21|Nikolaos Lakakis|none|12|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:17|21|Nikolaos Lakakis|none|10|Panagiotis Tortorelis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Mihail Rami Panagiotou|none|6|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Mihail Rami Panagiotou|none|9|Maximos Paloukas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:21|21|Grammatoula Sotiriou|none|13|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:21|21|Grammatoula Sotiriou|none|9|Betty Anna Strati|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:21|21|Gorkem Esra Ergincan|none|7|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:21|21|Gorkem Esra Ergincan|none|11|Christina Delivoria|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Dimitar Yanakiev |none|8|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Dimitar Yanakiev |none|7|Marios Michail Boulios|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:19|21|Thomas Rouglios|none|9|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:19|21|Thomas Rouglios|none|15|Nikiforos Stratis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Petros Tentas |none|16|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Petros Tentas |none|15|Georgios Ktenas|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Oskar Johansson|none|16|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:27|21|Oskar Johansson|none|19|Panagiotis Skarlatos|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902||Walkover Win|Georgios Tsiolis|none|Walkover Loss|Gurusaidutt R. M. V. [3]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:25|21|Johan Azelius|none|8|Nikolaos Lakakis|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:20|21|Mihail Rami Panagiotou|none|15|Salim Ben Boudinar [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902||Walkover Win|Georgia Anastasiou |none|Walkover Loss|Mariana Dima|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Lemonia Amberiadou|none|13|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:18|21|Lemonia Amberiadou|none|17|Theodora Fragoulidou [2]|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902||Walkover Win|Grammatoula Sotiriou|none|Walkover Loss|Stavroula Prifti|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:25|21|Gorkem Esra Ergincan|none|18|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:25|21|Gorkem Esra Ergincan|none|8|Dimitra Kalomira Kroystalli|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170902|0:30|21|Swarnaraj Bora|none|15|Ivan Panev|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
20170903|0:20|21|Marios Michail Boulios|none|5|Nikolaos Kalaitzoglou|none|D5933BCD-7E8B-4153-98A9-DD717BC97C24|singles
