date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170119|0:21|21|Anastasiya Prozorova|none|11|Alexandra Remenova|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:21|21|Anastasiya Prozorova|none|14|Alexandra Remenova|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:22|22|Nathalie Wang|none|20|Dagmara Pekala|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:22|21|Nathalie Wang|none|14|Dagmara Pekala|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:17|21|Kordian Kobylnik|none|18|Francisco Oliveira|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:17|21|Kordian Kobylnik|none|3|Francisco Oliveira|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119||Walkover Win|Wojciech Sajdok|none|Walkover Loss|Sebastian Bilbin|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:23|21|Nestor Gabrysiak|none|18|Maciej Gomola|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:23|21|Nestor Gabrysiak|none|12|Maciej Gomola|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:26|21|Norbert Swierk|none|19|Zsombor Dulcz|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:26|21|Norbert Swierk|none|16|Zsombor Dulcz|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:36|17|Piotr Gajda|none|21|Bartosz Frontczak|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:36|21|Piotr Gajda|none|16|Bartosz Frontczak|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:36|21|Piotr Gajda|none|10|Bartosz Frontczak|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:21|21|Oskar Svensson|none|14|Jan Lewandowski|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:21|21|Oskar Svensson|none|5|Jan Lewandowski|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
20170119|0:17|21|Michal Gomola|none|10|Michal Baranski|none|D6C824C1-1456-41F0-A27F-0B0A1A57AE84|singles
