date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161214|0:22|21|Muhammed Can Hacioğlu|none|12|Emre Türk|none|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|singles
20161214|0:22|21|Muhammed Can Hacioğlu|none|18|Emre Türk|none|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|singles
20161214|0:19|21|Nurullah Saraç|Merve Demir|9|Batuhan Yilmaz|Umran Sağlam|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:19|21|Nurullah Saraç|Merve Demir|8|Batuhan Yilmaz|Umran Sağlam|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:20|21|Enes Odabasi|Zeynep Özgen|17|Ismail Boğa|Didem Nur Elek|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:20|21|Enes Odabasi|Zeynep Özgen|19|Ismail Boğa|Didem Nur Elek|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:16|21|Yasin Torun|Edanur Alan|7|Anil Ulaç Atan|Elmas Nur Şencan|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:16|21|Yasin Torun|Edanur Alan|12|Anil Ulaç Atan|Elmas Nur Şencan|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:22|21|Egemen Isen|Canan Çetin|15|Ozturk Orçun|Ayca Özgür|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:22|23|Egemen Isen|Canan Çetin|21|Ozturk Orçun|Ayca Özgür|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:13|21|Berkay Cicen|Betul Soner|3|Ogulcan Genç|Sude Naz Baysal|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
20161214|0:13|21|Berkay Cicen|Betul Soner|9|Ogulcan Genç|Sude Naz Baysal|D9661CF3-DF53-4A19-BB3E-0AAEF4BAE1C6|doubles
