date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180809|0:47|21|Mario Ribeiro|none|11|Renan Augusto Rosso|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:47|16|Mario Ribeiro|none|21|Renan Augusto Rosso|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:47|21|Mario Ribeiro|none|17|Renan Augusto Rosso|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Jonathan Cardoso|none|14|Serafim Eudes De Oliveira Marcelo|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Jonathan Cardoso|none|15|Serafim Eudes De Oliveira Marcelo|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:13|21|Leonardo Zuffo|none|4|Gabriel De Oliveira Silva|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:13|21|Leonardo Zuffo|none|3|Gabriel De Oliveira Silva|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:17|21|Luiz Henrique Santos|none|6|Wanderson Rodrigues Monteiro|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:17|21|Luiz Henrique Santos|none|5|Wanderson Rodrigues Monteiro|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Carlos Alberto Hessel Rodrigues|none|13|Caio Goncalves|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Carlos Alberto Hessel Rodrigues|none|13|Caio Goncalves|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|17|Rogerio Lima|none|21|Joao Carlos Bezerra Lemos|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|21|Rogerio Lima|none|7|Joao Carlos Bezerra Lemos|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|21|Rogerio Lima|none|18|Joao Carlos Bezerra Lemos|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:27|21|Marcelo Alves Conceicao |none|2|Osvaldo Crema Junior|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:27|21|Marcelo Alves Conceicao |none|14|Osvaldo Crema Junior|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Hiroshi Murayama |none|8|Francisco Motero|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Hiroshi Murayama |none|12|Francisco Motero|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Sukant Kadam |none|8|Maximiliano Avila Sosa|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Sukant Kadam |none|8|Maximiliano Avila Sosa|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|21|Nils Boening|none|14|Cleto Eugenio|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|19|Nils Boening|none|21|Cleto Eugenio|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:39|21|Nils Boening|none|15|Cleto Eugenio|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:31|22|Jan-Niklas Pott|none|20|Rogerio Junior Xavier De Oliveira [2]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:31|21|Jan-Niklas Pott|none|18|Rogerio Junior Xavier De Oliveira [2]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:20|21|Anand Kumar Boregowda|none|7|Angel Gabriel Gomez Vazquez|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:20|21|Anand Kumar Boregowda|none|9|Angel Gabriel Gomez Vazquez|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:26|21|Rodolfo Cano |none|4|Joaquin Isaac Palma Pineiro|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:26|21|Rodolfo Cano |none|10|Joaquin Isaac Palma Pineiro|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:27|21|Mamoru Oe |none|4|Edivaldo Portela De Oliveira|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:27|21|Mamoru Oe |none|4|Edivaldo Portela De Oliveira|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Kouhei Kobayashi |none|3|Mikhail Bilenki|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Kouhei Kobayashi |none|4|Mikhail Bilenki|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:22|21|Silvaldo De Souza|none|7|Leonardo Da Mota Cardoso Oliveira|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:22|21|Silvaldo De Souza|none|2|Leonardo Da Mota Cardoso Oliveira|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:20|21|Tim Haller |none|3|Edvaldo Brito|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:20|21|Tim Haller |none|6|Edvaldo Brito|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Pablo Cesar Cueto|none|14|Richard Alcaraz|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:24|21|Pablo Cesar Cueto|none|14|Richard Alcaraz|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Johann Breno |none|19|Eric Johnson|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Johann Breno |none|12|Eric Johnson|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:25|21|Pascal Lapointe|none|15|Renzo Diquez Bances Morales|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:25|21|Pascal Lapointe|none|7|Renzo Diquez Bances Morales|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Dhiego Vidal Guimares|none|4|Angel Samuel Gonzalez Ramirez|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:21|21|Dhiego Vidal Guimares|none|1|Angel Samuel Gonzalez Ramirez|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:29|21|Julio Cesar Godoy|none|16|Romulo Junio Soares [2]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:29|21|Julio Cesar Godoy|none|12|Romulo Junio Soares [2]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:15|21|Thomas Jakobs|none|4|Pablo Emilio Pimentel Villasmil|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:15|21|Thomas Jakobs|none|5|Pablo Emilio Pimentel Villasmil|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:17|21|Pedro Nogueira Filho|none|3|Carlos Alberto Gomes|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:17|21|Pedro Nogueira Filho|none|3|Carlos Alberto Gomes|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:51|21|Francois Nalborczyk|none|6|Miguel Angel Castaneda Matos [3/4]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:51|17|Francois Nalborczyk|none|21|Miguel Angel Castaneda Matos [3/4]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:51|21|Francois Nalborczyk|none|9|Miguel Angel Castaneda Matos [3/4]|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
20180809|0:17|21|Miles Krajewski |none|11|Pablo Manuel Coloma Puga|none|DFA536DC-4FCE-4DFA-9D75-9751A75D07C8|singles
