date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150218||16|Vladimir Rusin|Ekaterina Kut|21|Anthony Dumartheray|Cendrine Hantz|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|doubles
20150218||22|Vladimir Rusin|Ekaterina Kut|20|Anthony Dumartheray|Cendrine Hantz|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|doubles
20150218||21|Vladimir Rusin|Ekaterina Kut|18|Anthony Dumartheray|Cendrine Hantz|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|doubles
20150218||21|Natalia Koch Rohde|none|12|Yang Manlin|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Natalia Koch Rohde|none|18|Yang Manlin|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Jonathan Persson|none|18|Josip Uglesic|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||22|Jonathan Persson|none|20|Josip Uglesic|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Adi Pratama |none|15|Patrick Kaemnitz|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Adi Pratama |none|10|Patrick Kaemnitz|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Nikolaj Persson|none|11|Anthony Dumartheray|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Nikolaj Persson|none|17|Anthony Dumartheray|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Daniel Font|none|16|Put Marijn|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||24|Daniel Font|none|22|Put Marijn|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Firman Abdul Kholik |none|18|Yu Chen|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Firman Abdul Kholik |none|15|Yu Chen|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||Walkover Win|Christian Kirchmayr|none|Walkover Loss|Kari Gunnarsson|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Martina Repiska |none|18|Ekaterina Kut|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Martina Repiska |none|19|Ekaterina Kut|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||19|Isabel Fernandez|none|21|Lucie Cerna [4]|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||22|Isabel Fernandez|none|20|Lucie Cerna [4]|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Isabel Fernandez|none|19|Lucie Cerna [4]|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Adi Pratama |none|12|Nikolaj Persson|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||14|Adi Pratama |none|21|Nikolaj Persson|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
20150218||21|Adi Pratama |none|18|Nikolaj Persson|none|E28C30BF-FAF6-49A4-B8C6-139D1E3F1901|singles
