date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151112||Walkover Win|Jonathan Persson|none|Walkover Loss|Nelson Javier|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Job Castillo|none|5|Luis Perez Justiniano|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Job Castillo|none|5|Luis Perez Justiniano|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Matej Hlinican|none|11|Roman Aleandro|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Matej Hlinican|none|12|Roman Aleandro|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Alex Yuwan Tjong|none|14|Arturo Hernandez|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Alex Yuwan Tjong|none|13|Arturo Hernandez|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Gareth Henry|none|13|Raynaldo Vargas Carmenatty|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Gareth Henry|none|18|Raynaldo Vargas Carmenatty|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jan Frohlich|none|19|Gergely Krausz|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jan Frohlich|none|19|Gergely Krausz|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||18|Giovanni Greco|none|21|Jarolim Vicen|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Giovanni Greco|none|15|Jarolim Vicen|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Giovanni Greco|none|17|Jarolim Vicen|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112|0:50|21|Ioanna Karkantzia|none|19|Ana Paula Campos|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112|0:50|19|Ioanna Karkantzia|none|21|Ana Paula Campos|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112|0:50|21|Ioanna Karkantzia|none|16|Ana Paula Campos|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Kevin Cordon |none|10|Matteo Bellucci|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||19|Kevin Cordon |none|21|Matteo Bellucci|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Kevin Cordon |none|16|Matteo Bellucci|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jonathan Persson|none|1|Joshua Soler Román|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jonathan Persson|none|4|Joshua Soler Román|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Job Castillo|none|12|Daniel Paiola [3]|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Job Castillo|none|9|Daniel Paiola [3]|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Rosario Maddaloni|none|16|Matej Hlinican|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||19|Rosario Maddaloni|none|21|Matej Hlinican|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Rosario Maddaloni|none|12|Matej Hlinican|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Alex Yuwan Tjong|none|12|Pedro Zapata|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Alex Yuwan Tjong|none|6|Pedro Zapata|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||18|Gareth Henry|none|21|Lino Munoz [4]|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Gareth Henry|none|19|Lino Munoz [4]|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Gareth Henry|none|19|Lino Munoz [4]|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jan Frohlich|none|8|Bastian Lizama|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jan Frohlich|none|9|Bastian Lizama|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Howard Shu |none|14|Giovanni Greco|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Howard Shu |none|11|Giovanni Greco|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||17|Lohaynny Vicente |none|21|Haramara Gaitan|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Lohaynny Vicente |none|11|Haramara Gaitan|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Lohaynny Vicente |none|12|Haramara Gaitan|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||15|Mariana Ugalde|none|21|Melinda Sun|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Mariana Ugalde|none|13|Melinda Sun|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Mariana Ugalde|none|11|Melinda Sun|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Laura Sarosi |none|5|Yuneyshka Guzmán Rosa|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Laura Sarosi |none|1|Yuneyshka Guzmán Rosa|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Telma Santos|none|8|Saribel Caceres|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Telma Santos|none|9|Saribel Caceres|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Sabrina Solis|none|18|Ioanna Karkantzia|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Sabrina Solis|none|19|Ioanna Karkantzia|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Fabiana Silva |none|8|Genesis Valentin|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Fabiana Silva |none|4|Genesis Valentin|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||Walkover Win|Vitmary Rivera Rodriguez|none|Walkover Loss|Zuzana Pavelkova|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jeanine Cicognini |none|7|Disha Gupta|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Jeanine Cicognini |none|12|Disha Gupta|none|E5A79E53-C722-4ED9-B772-C07BD8192B59|singles
20151112||21|Daniel Paiola|Alex Yuwan Tjong|14|Luis Perez Justiniano|Joshua Soler Román|E5A79E53-C722-4ED9-B772-C07BD8192B59|doubles
