date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180501|0:49|23|Paddy Kizza Kasirye|Elizabeth Mwesigwa|25|Kofi Acheampong|Zinabu Issah|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:49|21|Paddy Kizza Kasirye|Elizabeth Mwesigwa|17|Kofi Acheampong|Zinabu Issah|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:49|21|Paddy Kizza Kasirye|Elizabeth Mwesigwa|15|Kofi Acheampong|Zinabu Issah|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:18|21|Chukwuebuka Sunday Eze|Chinyere Lucky Okoro|7|Kizza Edward Kabonge|Lilian Namarome|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:18|21|Chukwuebuka Sunday Eze|Chinyere Lucky Okoro|5|Kizza Edward Kabonge|Lilian Namarome|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:36|21|Edwin Muruah Mwangi|Asha Kipwene Munene|7|Charles Kizza|Prossy Nakalema|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:36|18|Edwin Muruah Mwangi|Asha Kipwene Munene|21|Charles Kizza|Prossy Nakalema|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:36|21|Edwin Muruah Mwangi|Asha Kipwene Munene|11|Charles Kizza|Prossy Nakalema|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:21|21|Felix Acheampong|Akosua Nkansah|10|Bismark Kyei|Safia Furkan|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:21|21|Felix Acheampong|Akosua Nkansah|19|Bismark Kyei|Safia Furkan|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:25|21|Zakareia Ayoub|Khadija Khamuka|6|Azumah Salih Mohammed|Naomi Sarpong|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:25|22|Zakareia Ayoub|Khadija Khamuka|20|Azumah Salih Mohammed|Naomi Sarpong|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:15|21|Jeremiah Ngungi Maringa|none|1|Hanan Mohamed|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:15|21|Jeremiah Ngungi Maringa|none|1|Hanan Mohamed|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:35|13|Mona Ghallab|none|21|Ruth Mueni Nzioka|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:35|21|Mona Ghallab|none|8|Ruth Mueni Nzioka|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:35|21|Mona Ghallab|none|8|Ruth Mueni Nzioka|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:24|21|Nasr Elsayed|Shaimaa Samy Abdellatif|9|John Munialo|Fidelis Wanjiru Wanjuu|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:24|21|Nasr Elsayed|Shaimaa Samy Abdellatif|9|John Munialo|Fidelis Wanjiru Wanjuu|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:25|21|Atef Mahmoud|Asiya Mohammed Sururu|14|Bismark Kyei|Safia Furkan|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:25|21|Atef Mahmoud|Asiya Mohammed Sururu|14|Bismark Kyei|Safia Furkan|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:15|21|Edwin Muruah Mwangi|none|7|Bosco Olanya Kidega|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:15|21|Edwin Muruah Mwangi|none|8|Bosco Olanya Kidega|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:17|21|Julius Masereka |none|11|Ronald Pimundu|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:17|21|Julius Masereka |none|12|Ronald Pimundu|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:20|21|Kofi Acheampong|none|13|Richard Ayella|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:20|21|Kofi Acheampong|none|11|Richard Ayella|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:27|21|Nasr Elsayed|Shaimaa Samy Abdellatif|19|Felix Acheampong|Akosua Nkansah|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:27|21|Nasr Elsayed|Shaimaa Samy Abdellatif|14|Felix Acheampong|Akosua Nkansah|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|doubles
20180501|0:19|21|Paddy Kizza Kasirye |none|6|Abdu Walukagga|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:19|21|Paddy Kizza Kasirye |none|11|Abdu Walukagga|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:28|21|Kizza Edward Kabonge|none|12|Wilson Samuel Mutua Kingola|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:28|21|Kizza Edward Kabonge|none|17|Wilson Samuel Mutua Kingola|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:16|21|Ismail Rembe |none|12|Hamdan Kitutu|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:16|21|Ismail Rembe |none|7|Hamdan Kitutu|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:15|21|Chukwuebuka Sunday Eze|none|6|Moses K. Mayazi|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:15|21|Chukwuebuka Sunday Eze|none|3|Moses K. Mayazi|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:10|21|Benjamin Kibulo|none|10|Bashir Mutyaba [3/4]|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
20180501|0:10|21|Benjamin Kibulo|none|6|Bashir Mutyaba [3/4]|none|E5B5A3A1-E640-4DB3-A047-B5A9BDD4776A|singles
