date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140508||Walkover Win|Pal Padar|Daniella Gonda|Walkover Loss|Matevz Bajuk|Sabina Magyar|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Sergey Molodov |none|23|Primoz Flis|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||24|Sergey Molodov |none|22|Primoz Flis|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||22|Sergey Molodov |none|20|Primoz Flis|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Matic Ivancic|Janz Omerzu|13|Alexander Kantioler|Daniel Scanferla|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Matic Ivancic|Janz Omerzu|15|Alexander Kantioler|Daniel Scanferla|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Wolfgang Gnedt |none|13|Mathias Bonny|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Wolfgang Gnedt |none|13|Mathias Bonny|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||19|Vladyslava Lesnaya|none|21|Tina Kodric|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Vladyslava Lesnaya|none|14|Tina Kodric|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Vladyslava Lesnaya|none|17|Tina Kodric|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Kaja Stankovic |none|5|Olga Rogova|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Kaja Stankovic |none|7|Olga Rogova|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Luka Petric|none|16|Vladislav Soloviev|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||19|Luka Petric|none|21|Vladislav Soloviev|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Luka Petric|none|18|Vladislav Soloviev|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||22|Philip Pawlowski|none|20|Rüdiger Gnedt [8]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Philip Pawlowski|none|17|Rüdiger Gnedt [8]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Vilson Vattanirappel |none|17|Kyryll Nesterenko|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Vilson Vattanirappel |none|12|Kyryll Nesterenko|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||13|Alexander Verner|Olga Rogova|21|Urban Turk|Bajuk Jerca|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Alexander Verner|Olga Rogova|10|Urban Turk|Bajuk Jerca|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Alexander Verner|Olga Rogova|16|Urban Turk|Bajuk Jerca|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Miha (Jnr) Sepec|none|4|Andraz Krapez|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Miha (Jnr) Sepec|none|19|Andraz Krapez|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Andrew Smith|none|13|Stilian Makarski [2]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Andrew Smith|none|12|Stilian Makarski [2]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Dominik Stipsits |Roman Zirnwald|12|Oliver Baczala|James Lauder|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||23|Dominik Stipsits |Roman Zirnwald|21|Oliver Baczala|James Lauder|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||22|Maria Dmitrieva |none|20|Vladyslava Lesnaya|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Maria Dmitrieva |none|16|Vladyslava Lesnaya|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Kek Jamnik |none|16|Shokhzod Gulomzoda|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Kek Jamnik |none|17|Shokhzod Gulomzoda|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Sergey Sirant |none|15|Miha (Jnr) Sepec|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||Walkover Win|Sergey Sirant |none|Walkover Loss|Miha (Jnr) Sepec|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Bonsels Jamie|none|18|Lukas Zevl [11]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Bonsels Jamie|none|16|Lukas Zevl [11]|none|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|singles
20140508||21|Paul Demmelmayer |Anna Demmelmayer|10|Janz Omerzu|Repse Ziva|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
20140508||21|Paul Demmelmayer |Anna Demmelmayer|9|Janz Omerzu|Repse Ziva|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|doubles
