date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151204|0:20|22|Teodors Kerimovs|Jekaterina Romanova|20|Marcus Lõo|Inalotta Suutarinen|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:20|21|Teodors Kerimovs|Jekaterina Romanova|15|Marcus Lõo|Inalotta Suutarinen|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204||Walkover Win|Mihkel Laanes|Sale - Liis Teesalu|Walkover Loss|Erik Angervall|Elin Svensson|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:34|17|Radoslaw Wrobel|Izabela Pajek|21|Mikk Ounmaa|Sigrid Laura Moora|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:34|21|Radoslaw Wrobel|Izabela Pajek|16|Mikk Ounmaa|Sigrid Laura Moora|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:34|21|Radoslaw Wrobel|Izabela Pajek|18|Mikk Ounmaa|Sigrid Laura Moora|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:20|21|Eero Lauri|Maija Krzywacki|17|Kaspar Suvi|Eliise Kikas|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:20|21|Eero Lauri|Maija Krzywacki|18|Kaspar Suvi|Eliise Kikas|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|doubles
20151204|0:28|21|Dmitrii Klimenko|none|17|Jan Pasanen|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:28|22|Dmitrii Klimenko|none|20|Jan Pasanen|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:24|21|Karl Kert|none|13|Mark Sames|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:24|21|Karl Kert|none|13|Mark Sames|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:25|21|Mateusz Danielak|none|18|Alexandre Lallemand|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:25|21|Mateusz Danielak|none|19|Alexandre Lallemand|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:16|21|Patryk Kopec|none|13|Martin Maipuu|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:16|21|Patryk Kopec|none|7|Martin Maipuu|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:36|18|Mikael Kuusisto|none|21|Kaspar Suvi|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:36|21|Mikael Kuusisto|none|13|Kaspar Suvi|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:36|21|Mikael Kuusisto|none|18|Kaspar Suvi|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:34|12|Miika Lahtinen|none|21|Leanid Mironenko|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:34|21|Miika Lahtinen|none|12|Leanid Mironenko|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:34|21|Miika Lahtinen|none|16|Leanid Mironenko|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:40|24|Karolis Eimutaitis|none|26|Juha Honkanen|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
20151204|0:40|21|Karolis Eimutaitis|none|16|Juha Honkanen|none|FB2ABB4F-682E-4048-858F-258C6A9C5BC1|singles
