date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190418||21|Marvin Datko |Maria Kuse|18|Collins Valentine Filimon|Maria Alexandra Dutu|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Marvin Datko |Maria Kuse|18|Collins Valentine Filimon|Maria Alexandra Dutu|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Michael Giesinger |none|17|Miha Ivančič|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Michael Giesinger |none|15|Miha Ivančič|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||15|Jakob Stage|none|21|Rüdiger Gnedt [16]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Jakob Stage|none|18|Rüdiger Gnedt [16]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Jakob Stage|none|13|Rüdiger Gnedt [16]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||26|Christoffer Elbrønd |none|24|Jesper De Waal|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Christoffer Elbrønd |none|10|Jesper De Waal|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Mateusz Danielak |none|15|Simon Sandholm|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Mateusz Danielak |none|19|Simon Sandholm|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Szymon Stokfisz|none|17|Danila Gataullin|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Szymon Stokfisz|none|18|Danila Gataullin|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Joanna Podedworny|none|10|Maria Alexandra Dutu|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||22|Joanna Podedworny|none|20|Maria Alexandra Dutu|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Lukas Resch|none|12|Rasmus Careø Christensen|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Lukas Resch|none|14|Rasmus Careø Christensen|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Rahul Patel|none|14|Jonas Schwarz|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Rahul Patel|none|19|Jonas Schwarz|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||20|Enrico Baroni |none|22|Shaun Ekengren|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Enrico Baroni |none|10|Shaun Ekengren|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Enrico Baroni |none|15|Shaun Ekengren|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||19|Giovanni Toti |none|21|Daniel Johannesson|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Giovanni Toti |none|13|Daniel Johannesson|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Giovanni Toti |none|12|Daniel Johannesson|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Sara Loncar|none|17|Lina Pipan|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Sara Loncar|none|19|Lina Pipan|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Victor Ramstedt|Anton Tjulin|18|Luka Grubić|Borna Vadlja|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||22|Victor Ramstedt|Anton Tjulin|20|Luka Grubić|Borna Vadlja|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Giovanni Toti |none|17|Iliyan Stoynov|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||12|Giovanni Toti |none|21|Iliyan Stoynov|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Giovanni Toti |none|15|Iliyan Stoynov|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||12|Milena Schnider|none|21|Veronika Dobiášová [2]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Milena Schnider|none|11|Veronika Dobiášová [2]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Milena Schnider|none|16|Veronika Dobiášová [2]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Filip Suwanphingkha|none|16|Michael Giesinger [11]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||18|Filip Suwanphingkha|none|21|Michael Giesinger [11]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||22|Filip Suwanphingkha|none|20|Michael Giesinger [11]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Markus Barth|none|14|Enrico Baroni [7]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Markus Barth|none|14|Enrico Baroni [7]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Marija Sudimac|none|12|Aline Müller|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||22|Marija Sudimac|none|20|Aline Müller|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Sergej Lukic|Mihajlo Tomic|16|Shaun Ekengren [3]|Alexander Rydstrom|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Sergej Lukic|Mihajlo Tomic|11|Shaun Ekengren [3]|Alexander Rydstrom|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Lukas Resch|none|14|Giovanni Toti [12]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Lukas Resch|none|12|Giovanni Toti [12]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Iliyan Stoynov|Hristomira Popovska|18|Folke Bosund|Alice Lindhe|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Iliyan Stoynov|Hristomira Popovska|10|Folke Bosund|Alice Lindhe|FCC4DCB8-6C2E-41B2-9798-88714E210746|doubles
20190418||21|Josip Uglesic|none|19|Jiří Král|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Josip Uglesic|none|19|Jiří Král|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Shaun Ekengren|none|12|Kristofer Darri Finnsson|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Shaun Ekengren|none|17|Kristofer Darri Finnsson|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Martin Bundgaard |none|8|Bryan Lun Ping Low|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Martin Bundgaard |none|11|Bryan Lun Ping Low|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||20|Borko Petrovic|none|22|Mattias Sonderskov [14]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||22|Borko Petrovic|none|20|Mattias Sonderskov [14]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Borko Petrovic|none|17|Mattias Sonderskov [14]|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Philip Illum Klindt |none|14|Anton Tjulin|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Philip Illum Klindt |none|13|Anton Tjulin|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Maria Kuse|none|18|Althea Ljungqvist|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
20190418||21|Maria Kuse|none|18|Althea Ljungqvist|none|FCC4DCB8-6C2E-41B2-9798-88714E210746|singles
