date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151016|0:35|21|Rodolfo Cano|Joanne Lee|17|Jaime Aranguiz|Catalina Jimeno|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|doubles
20151016|0:35|21|Rodolfo Cano|Joanne Lee|14|Jaime Aranguiz|Catalina Jimeno|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|doubles
20151016|0:21|21|Pedro Pablo De Vinatea |none|14|Edwar Ordonez|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:21|21|Pedro Pablo De Vinatea |none|7|Edwar Ordonez|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:16|21|Leonardo Zuffo |none|9|Enrique Rispa Ramirez|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:16|21|Leonardo Zuffo |none|12|Enrique Rispa Ramirez|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:55|15|Pablo Cesar Cueto Izquierdo|none|21|Ysabelino Apaza Chambilla|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:55|21|Pablo Cesar Cueto Izquierdo|none|15|Ysabelino Apaza Chambilla|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:55|21|Pablo Cesar Cueto Izquierdo|none|17|Ysabelino Apaza Chambilla|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:25|21|Carlos Alberto Hessel Rodrigues|Maria Gilda Dos Santos|11|Ronald Stalin Miranda Montero|Pilar Jaurequi Cancino|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|doubles
20151016|0:25|21|Carlos Alberto Hessel Rodrigues|Maria Gilda Dos Santos|12|Ronald Stalin Miranda Montero|Pilar Jaurequi Cancino|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|doubles
20151016|0:25|21|Marcelo Alves Conceicao |none|0|Alexis Caballero|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:25|21|Marcelo Alves Conceicao |none|1|Alexis Caballero|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
20151016|0:15|21|Rolando Bello Rodriguez |none|14|Emmanuel Javier|none|FE204D73-5EF3-4D95-9E1C-E2A35FD7E00B|singles
